product_name,link,product_images,price,details,category,gender
WORKOUT T-SHIRT,https://www.zara.com/in/en/workout-t-shirt-p05320450.html,https://static.zara.net/photos///2023/I/0/2/p/5320/450/250/2/w/448/5320450250_1_1_1.jpg?ts=1688985619667,32.06,T-shirt made of lightweight textured stretch fabric that moves in every direction.- Round neck T-shirt with short sleeves.- Printed logo detail on the hem.Zara Athleticz.View more,ZARA ATHLETICZ,men
SPORTS BACKPACK,https://www.zara.com/in/en/sports-backpack-p13210220.html,https://static.zara.net/photos///2023/I/1/2/p/3210/220/700/2/3210220700_16_1_1/w/448/poster.jpg?ts=1689664622831,64.26,Multi-pocket backpack. Combination of materials and colours on the upper. The main compartment has two zip fastenings at different heights (the top access to the pocket is adjustable on each side thanks to two technical fasteners). Two adjustable mesh pockets on the sides. Top handle and two adjustable shoulder straps. Ergonomic padded back for improved comfort during use. Adjustable strap to the chest with clip buckle fastening.Height x Length x Width 45 x 32 x 17 cm. / 17.7 x 12.5 x 6.6″ATHLETICZ Collection.View more,ZARA ATHLETICZ,men
COMPACT COTTON T-SHIRT,https://www.zara.com/in/en/compact-cotton-t-shirt-p05643400.html,https://static.zara.net/photos///2023/I/0/2/p/5643/400/712/2/w/448/5643400712_1_1_1.jpg?ts=1687950693638,32.06,Loose-fitting T-shirt made of compact cotton. Round neckline and short sleeves. Contrast logo print on the hem.Zara Athleticz.,ZARA ATHLETICZ,men
TANK TOP WITH SLOGAN,https://www.zara.com/in/en/tank-top-with-slogan-p06224374.html,https://static.zara.net/photos///2023/I/0/2/p/6224/374/701/2/w/448/6224374701_1_1_1.jpg?ts=1687950692782,27.86,Loose-fitting T-shirt made of cotton. Round neck and short sleeves. Contrast slogan print on the front.Zara Athleticz.,ZARA ATHLETICZ,men
TRAINING SOCKS,https://www.zara.com/in/en/training-socks-p02496309.html,https://static.zara.net/photos///2023/I/0/2/p/2496/309/121/2/w/448/2496309121_6_1_1.jpg?ts=1687938651972,13.86,Pack of 2 pairs of seamless mesh socks with ribbed trims.,ZARA ATHLETICZ,men
TRAINING TANK TOP,https://www.zara.com/in/en/training-tank-top-p04387408.html,https://static.zara.net/photos///2023/I/0/2/p/4387/408/712/2/w/448/4387408712_1_1_1.jpg?ts=1687950693624,27.86,Loose-fitting T-shirt made of lightweight technical stretch fabric that moves in every direction.- Sleeveless with a round neck.- Front vents at the hem.- Logo print on the hem.Zara Athleticz.View more,ZARA ATHLETICZ,men
BASIC TRAINING T-SHIRT,https://www.zara.com/in/en/basic-training-t-shirt-p04387401.html,https://static.zara.net/photos///2023/I/0/2/p/4387/401/428/2/w/448/4387401428_1_1_1.jpg?ts=1690369387056,26.46,"T-shirt made of a technical, lightweight and stretch fabric. - Round neck and short sleeves. - Flat seams, more resistant and ideal for movement.- Printed logo detail.View more",ZARA ATHLETICZ,men
COMFORT WORKOUT T-SHIRT,https://www.zara.com/in/en/comfort-workout-t-shirt-p02888402.html,https://static.zara.net/photos///2023/I/0/2/p/2888/402/982/2/w/448/2888402982_1_1_1.jpg?ts=1692362141492,26.46,"T-shirt made of a lightweight and elastic fabric in every direction.- Round neck T-shirt with short sleeves.- Flat seams, more resistant and ideal for movement.- Printed logo detail.Zara Athleticz.View more",ZARA ATHLETICZ,men
JOGGER BERMUDA SHORTS WITH EMBROIDERY,https://www.zara.com/in/en/jogger-bermuda-shorts-with-embroidery-p00761307.html,https://static.zara.net/photos///2023/I/0/2/p/0761/307/800/2/w/448/0761307800_1_1_1.jpg?ts=1687880634928,41.86,Bermuda shorts with an adjustable elasticated waistband with drawstring. Side pockets and back pocket detail. Contrast embroidery on the leg.Zara Athleticz.View more,ZARA ATHLETICZ,men
RIBBED TANK TOP,https://www.zara.com/in/en/ribbed-tank-top-p00761308.html,https://static.zara.net/photos///2023/I/0/2/p/0761/308/803/2/w/448/0761308803_1_1_1.jpg?ts=1687940544921,22.26,Sleeveless top with a wide round neck.Zara Athleticz.,ZARA ATHLETICZ,men
