,product_name,link, product_images,price,details
0,PACK OF 2 STRIPED POPLIN BOXERS,https://www.zara.com/in/en/pack-of-2-striped-poplin-boxers-p01063301.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1063/301/401/2/w/448/1063301401_6_1_1.jpg?ts=1691411229580': 'Image 0 of PACK OF 2 STRIPED POPLIN BOXERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1063/301/401/2/w/448/1063301401_6_2_1.jpg?ts=1690363286583': 'Image 1 of PACK OF 2 STRIPED POPLIN BOXERS from Zara'}]","₹ 1,990.00",Pack of 2 pairs of boxers made of poplin fabric. Elastic waistband.
3,PACK OF 2 STRIPED POPLIN BOXERS,https://www.zara.com/in/en/pack-of-2-striped-poplin-boxers-p00775304.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0775/304/555/2/w/448/0775304555_6_1_1.jpg?ts=1685087981331': 'Image 0 of PACK OF 2 STRIPED POPLIN BOXERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0775/304/555/2/w/448/0775304555_6_2_1.jpg?ts=1685087980466': 'Image 1 of PACK OF 2 STRIPED POPLIN BOXERS from Zara'}]","₹ 1,990.00",Pack of 2 pairs of boxers made of cotton poplin fabric. Elasticated waistband.
5,2-PACK OF SHORT POPLIN BOXERS,https://www.zara.com/in/en/2-pack-of-short-poplin-boxers-p01063308.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1063/308/555/2/w/448/1063308555_6_1_1.jpg?ts=1692953919685': 'Image 0 of 2-PACK OF SHORT POPLIN BOXERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1063/308/555/2/w/448/1063308555_6_2_1.jpg?ts=1692953919428': 'Image 1 of 2-PACK OF SHORT POPLIN BOXERS from Zara'}]","₹ 1,990.00",Pack of 2 pairs of short boxers made of cotton poplin fabric. Elasticated waistband.
7,2-PACK OF BOXERS WITH CUTWORK EMBROIDERY,https://www.zara.com/in/en/2-pack-of-boxers-with-cutwork-embroidery-p00775307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0775/307/555/2/w/448/0775307555_6_1_1.jpg?ts=1688110429483': 'Image 0 of 2-PACK OF BOXERS WITH CUTWORK EMBROIDERY from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0775/307/555/2/w/448/0775307555_6_2_1.jpg?ts=1688110431990': 'Image 1 of 2-PACK OF BOXERS WITH CUTWORK EMBROIDERY from Zara'}]","₹ 2,590.00",Pack of 2 pairs of boxers made of poplin. Elasticated waistband. Cutwork embroidery all over the garment.
8,3-PACK OF BASIC BOXERS,https://www.zara.com/in/en/3-pack-of-basic-boxers-p04442405.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4442/405/250/2/w/448/4442405250_6_1_1.jpg?ts=1691587305797': 'Image 0 of 3-PACK OF BASIC BOXERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4442/405/250/2/w/448/4442405250_6_2_1.jpg?ts=1691587305823': 'Image 1 of 3-PACK OF BASIC BOXERS from Zara'}]","₹ 1,990.00",Pack of 3 pairs of boxers with an elastic waistband.
10,3-PACK OF BASIC BOXERS,https://www.zara.com/in/en/3-pack-of-basic-boxers-p03661300.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/3661/401/555/2/w/448/3661401555_6_1_1.jpg?ts=1680518949636': 'Image 0 of 3-PACK OF BASIC BOXERS from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/3661/401/555/2/w/448/3661401555_6_2_1.jpg?ts=1680518949197': 'Image 1 of 3-PACK OF BASIC BOXERS from Zara'}]","₹ 1,990.00",Pack of 3 pairs of boxers with an elasticated waistband.
16,PACK OF 3 SOFT BOXERS,https://www.zara.com/in/en/pack-of-3-soft-boxers-p04442307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4442/307/555/2/w/448/4442307555_6_1_1.jpg?ts=1692953919902': 'Image 0 of PACK OF 3 SOFT BOXERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4442/307/555/2/w/448/4442307555_6_2_1.jpg?ts=1692953919307': 'Image 1 of PACK OF 3 SOFT BOXERS from Zara'}]","₹ 1,990.00",Pack of three boxers with an elastic waistband. Fabric with a velvety finish.
17,PACK OF 3 SOFT BOXERS,https://www.zara.com/in/en/pack-of-3-soft-boxers-p04442306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4442/306/555/2/w/448/4442306555_6_1_1.jpg?ts=1691587306492': 'Image 0 of PACK OF 3 SOFT BOXERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4442/306/555/2/w/448/4442306555_6_2_1.jpg?ts=1691587306424': 'Image 1 of PACK OF 3 SOFT BOXERS from Zara'}]","₹ 1,990.00",Pack of three boxers made of a velvety-finish fabric. Elastic waistband.
18,3-PACK OF ASSORTED BOXERS,https://www.zara.com/in/en/3-pack-of-assorted-boxers-p04442311.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4442/311/555/2/w/448/4442311555_6_1_1.jpg?ts=1692790057824': 'Image 0 of 3-PACK OF ASSORTED BOXERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4442/311/555/2/w/448/4442311555_6_2_1.jpg?ts=1692790057662': 'Image 1 of 3-PACK OF ASSORTED BOXERS from Zara'}]","₹ 1,990.00",Pack of three boxers with an elastic waistband. Fabric with a faded finish.
21,3-PACK OF ASSORTED BRIEFS,https://www.zara.com/in/en/3-pack-of-assorted-briefs-p03661304.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3661/304/555/2/w/448/3661304555_6_1_1.jpg?ts=1691752221311': 'Image 0 of 3-PACK OF ASSORTED BRIEFS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3661/304/555/2/w/448/3661304555_6_2_1.jpg?ts=1691752221319': 'Image 1 of 3-PACK OF ASSORTED BRIEFS from Zara'}]","₹ 1,990.00",Pack of 3 pairs of briefs with an elasticated waistband.
