,product_name,link, product_images,price,details
0,MULTI-POCKET BACKPACK,https://www.zara.com/in/en/multi-pocket-backpack-p13217220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3217/220/107/2/w/448/3217220107_2_1_1.jpg?ts=1692627350123': 'Image 0 of MULTI-POCKET BACKPACK from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3217/220/107/2/w/448/3217220107_2_2_1.jpg?ts=1692627350717': 'Image 1 of MULTI-POCKET BACKPACK from Zara'}]","₹ 5,590.00","Multi-pocket backpack made of technical fabric. Featuring three main compartments in the same size, all with zip closure and a common clip buckle. The inside features a pocket for electronic devices of up to 13 inches and a zip pocket. Features two small front zip pockets. Top handle and two adjustable shoulder straps. Quilted back for improved comfort during use.Height x Length x Width 45 x 32 x 18 cm.View more"
2,EXPLORER BACKPACK,https://www.zara.com/in/en/explorer-backpack-p13229220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3229/220/032/2/w/448/3229220032_6_1_1.jpg?ts=1691048326548': 'Image 0 of EXPLORER BACKPACK from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3229/220/032/2/w/448/3229220032_6_2_1.jpg?ts=1691048326643': 'Image 1 of EXPLORER BACKPACK from Zara'}]","₹ 4,990.00","Multi-pocket explorer backpack. Technical fabric. The main compartment fastens with a flap, gathering and a clip buckle. The flap has a small zip pocket. The inside has a pocket without closure for electronic devices of up to 13 inches. Medium side pockets with no fastening. Small front flap pocket with zip closure. Top handle and two adjustable shoulder straps.Height x Length x Width 43 x 30 x 15 cm.View more"
3,MONOCHROME NYLON BACKPACK,https://www.zara.com/in/en/monochrome-nylon-backpack-p13228220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3228/220/800/2/w/448/3228220800_6_1_1.jpg?ts=1692803282506': 'Image 0 of MONOCHROME NYLON BACKPACK from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3228/220/800/2/w/448/3228220800_6_2_1.jpg?ts=1692803282505': 'Image 1 of MONOCHROME NYLON BACKPACK from Zara'}]","₹ 4,990.00",Explorer backpack. The main compartment has a gathered drawstring closure and a flap with two clip buckles. The inside has a pocket without closure for electronic devices of up to 13 inches. Features a small zip pocket on the front. Top handle and two adjustable shoulder straps.Height x Length x Width: 40 x 29 x 19 cm.View more
4,SLIM RUBBERISED BACKPACK,https://www.zara.com/in/en/slim-rubberised-backpack-p13227220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3227/220/800/2/w/448/3227220800_2_1_1.jpg?ts=1691062145773': 'Image 0 of SLIM RUBBERISED BACKPACK from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3227/220/800/2/w/448/3227220800_2_2_1.jpg?ts=1691062146902': 'Image 1 of SLIM RUBBERISED BACKPACK from Zara'}]","₹ 3,990.00","Backpack with a rubberised finish. Plain exterior. The main compartment closes with a zip and its interior has two pockets, one of which is large for electronic devices of up to 13 inches and another medium pocket with zip closure. On the front there is a medium pocket with zip closure. The back is padded and has fastening to attach it to luggage. It has one handle and two adjustable padded shoulder straps. Height x Length x Width 42 x 29 x 11 cm.View more"
5,SPORTS BACKPACK,https://www.zara.com/in/en/sports-backpack-p13239220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3239/220/400/2/w/448/3239220400_1_1_1.jpg?ts=1691052738259': 'Image 0 of SPORTS BACKPACK from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3239/220/400/2/w/448/3239220400_2_1_1.jpg?ts=1691052740641': 'Image 1 of SPORTS BACKPACK from Zara'}]","₹ 4,990.00",Multi-pocket backpack. Combination of materials and colours on the exterior. The main compartment fastens with a zip and features an inside pocket without closure for electronic devices of up to 13 inches. On the front it has a flat pocket with zip closure. Adjustable mesh pockets on the sides. Top handle and two adjustable shoulder straps with zip pockets. Ergonomic padded back for improved comfort during use. Adjustable chest strap with clip buckle fastening. Height x Length x Width: 39 x 26 x 13 cm.View more
7,SPORTS BACKPACK,https://www.zara.com/in/en/sports-backpack-p13210220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3210/220/700/2/3210220700_16_1_1/w/448/poster.jpg?ts=1689664622831': 'Image 0 of SPORTS BACKPACK from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3210/220/700/612/w/448/3210220700_6_1_1.jpg?ts=1692352454638': 'Image 1 of SPORTS BACKPACK from Zara'}]","₹ 4,590.00",Multi-pocket backpack. Combination of materials and colours on the upper. The main compartment has two zip fastenings at different heights (the top access to the pocket is adjustable on each side thanks to two technical fasteners). Two adjustable mesh pockets on the sides. Top handle and two adjustable shoulder straps. Ergonomic padded back for improved comfort during use. Adjustable strap to the chest with clip buckle fastening.Height x Length x Width 45 x 32 x 17 cm. / 17.7 x 12.5 x 6.6″ATHLETICZ Collection.View more
8,ROLLTOP SPORTS BACKPACK,https://www.zara.com/in/en/rolltop-sports-backpack-p13240220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3240/220/800/2/w/448/3240220800_6_1_1.jpg?ts=1692268022274': 'Image 0 of ROLLTOP SPORTS BACKPACK from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3240/220/800/2/w/448/3240220800_6_2_1.jpg?ts=1692268022277': 'Image 1 of ROLLTOP SPORTS BACKPACK from Zara'}]","₹ 4,990.00","Multi-pocket backpack. Combination of materials on the exterior. The main compartment fastens with a zip and rolls up with clip buckles on both sides. It also opens from the front with a zip closure. Two small front pockets with thermo-sealed zip fastening. Featuring two adjustable mesh pockets on the sides. Top handle and two adjustable, breathable shoulder straps. Each compartment has a thermo-sealed zip closure. Ergonomic padded back for improved comfort during use. Adjustable chest with clip buckle fastening.Height x Length x Width 44 x 27 x 14 cm. / 17.3 x 10.6 x 5.5″View more"
9,TECHNICAL BACKPACK,https://www.zara.com/in/en/technical-backpack-p13241220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3241/220/802/2/w/448/3241220802_6_1_1.jpg?ts=1692887333245': 'Image 0 of TECHNICAL BACKPACK from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3241/220/802/2/w/448/3241220802_6_2_1.jpg?ts=1692887333233': 'Image 1 of TECHNICAL BACKPACK from Zara'}]","₹ 4,990.00","Multi-pocket backpack. The main compartment has zip closure and its interior has three small pockets with zip closure. Featuring two large front pockets, one with zip and the other with adjustable fastening. Side pockets with adjustable fastening. Top handle and two adjustable shoulder straps. Ergonomic padded back for improved comfort during use. Adjustable strap on the chest with clip buckle fastening.Height x Length x Width 44 x 27 x 17 cm. / 17.3 x 10.6 x 6.6″View more"
10,NYLON TOILETRY BAG,https://www.zara.com/in/en/nylon-toiletry-bag-p13714220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3714/220/800/612/w/448/3714220800_6_1_1.jpg?ts=1692352453966': 'Image 0 of NYLON TOILETRY BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3714/220/800/612/w/448/3714220800_6_2_1.jpg?ts=1692352454613': 'Image 1 of NYLON TOILETRY BAG from Zara'}]","₹ 2,590.00",Toiletry bag. Combination of materials on the upper. Main compartment with zip closure. Six small pockets on the inside without fastening. Side pockets with technical clasp fastening. Two handles on each side in different sizes.Height x Length x Width: 13.5 x 25 x 14 cm. / 5.3 x 9.8 x 5.5″View more
11,NYLON BELT BAG,https://www.zara.com/in/en/nylon-belt-bag-p13640220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3640/220/202/612/w/448/3640220202_6_1_1.jpg?ts=1692352453916': 'Image 0 of NYLON BELT BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3640/220/202/612/w/0/3640220202_6_2_1.jpg?ts=1692352454902': 'Image 1 of NYLON BELT BAG from Zara'}]","₹ 2,590.00",Soft belt bag. Technical fabric upper. Main compartment with zip closure. Front pocket with technical clasp. Adjustable handle with clip buckle. Height x Length: 18.5 x 37 cm. / 7.2 x 14.5″View more
