,product_name,link, product_images,price,details
0,BASIC BLAZER,https://www.zara.com/in/en/basic-blazer-p05899420.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5899/420/800/2/w/448/5899420800_1_1_1.jpg?ts=1692288839221': 'Image 0 of BASIC BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5899/420/800/2/w/448/5899420800_2_1_1.jpg?ts=1692288839132': 'Image 1 of BASIC BLAZER from Zara'}]","₹ 7,590.00",Straight-fit blazer with a notched lapel collar and long sleeves with buttoned cuffs. Patch pockets at the hip and an inside pocket detail. Back vents at the hem. Buttoned front.
4,100% WOOL SUIT BLAZER - LIMITED EDITION,https://www.zara.com/in/en/100-wool-suit-blazer---limited-edition-p05828542.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5828/542/800/2/w/448/5828542800_1_1_1.jpg?ts=1689334796692': 'Image 0 of 100% WOOL SUIT BLAZER - LIMITED EDITION from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5828/542/800/2/w/448/5828542800_2_1_1.jpg?ts=1689334797893': 'Image 1 of 100% WOOL SUIT BLAZER - LIMITED EDITION from Zara'}]","₹ 11,990.00",Blazer made of wool. Peak lapel collar and long sleeves with buttoned cuffs. Open chest pocket and flap pockets on the hip. Inner pocket detail. Back vent at the centre of the hem and a button-up front.
5,100% WOOL SUIT BLAZER,https://www.zara.com/in/en/100-wool-suit-blazer-p05955218.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5955/218/401/2/w/448/5955218401_1_1_1.jpg?ts=1691507788884': 'Image 0 of 100% WOOL SUIT BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5955/218/401/2/w/448/5955218401_2_1_1.jpg?ts=1691507789986': 'Image 1 of 100% WOOL SUIT BLAZER from Zara'}]","₹ 11,990.00",Blazer made of Italian wool fabric. Notch lapel collar and long sleeves with buttoned cuffs. Chest welt pocket and hip flap pockets. Interior pocket detail. Back vents at the hem. Button-up front.
9,100% WOOL PINSTRIPE SUIT BLAZER,https://www.zara.com/in/en/100-wool-pinstripe-suit-blazer-p05955063.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5955/063/801/2/w/448/5955063801_1_1_1.jpg?ts=1692785577384': 'Image 0 of 100% WOOL PINSTRIPE SUIT BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5955/063/801/2/w/448/5955063801_2_1_1.jpg?ts=1692785578386': 'Image 1 of 100% WOOL PINSTRIPE SUIT BLAZER from Zara'}]","₹ 11,990.00",Straight fit blazer made of Italian wool fabric. Notched lapel collar and long sleeves with buttoned cuffs. Chest welt pocket and flap pockets on the hip. Inner pocket detail. Back vents at the hem and a button-up front.
11,100% WOOL OVERSIZE BLAZER,https://www.zara.com/in/en/100-wool-oversize-blazer-p06333062.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6333/062/800/2/w/448/6333062800_1_1_1.jpg?ts=1692956953700': 'Image 0 of 100% WOOL OVERSIZE BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6333/062/800/2/w/448/6333062800_2_1_1.jpg?ts=1692956953288': 'Image 1 of 100% WOOL OVERSIZE BLAZER from Zara'}]","₹ 11,990.00",Oversize blazer made of wool. Notched lapel collar and long sleeves with buttoned cuffs. Hip flap pockets and inside pocket detail. Central back vent at the hem. Buttoned front.
13,SLIM FIT SUIT BLAZER,https://www.zara.com/in/en/slim-fit-suit-blazer-p01564700.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1564/700/401/2/w/448/1564700401_1_1_1.jpg?ts=1689605444897': 'Image 0 of SLIM FIT SUIT BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1564/700/401/2/w/448/1564700401_2_1_1.jpg?ts=1689605446243': 'Image 1 of SLIM FIT SUIT BLAZER from Zara'}]","₹ 5,990.00",Blazer with a notched lapel collar. Long sleeves with button details on the cuffs. Chest welt pocket and hip flap pockets. Inside pocket detail. Front button fastening.
23,CHECKED SUIT BLAZER,https://www.zara.com/in/en/checked-suit-blazer-p05734521.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5734/521/707/2/w/448/5734521707_1_1_1.jpg?ts=1689605447954': 'Image 0 of CHECKED SUIT BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5734/521/707/2/w/448/5734521707_2_1_1.jpg?ts=1689605448524': 'Image 1 of CHECKED SUIT BLAZER from Zara'}]","₹ 9,590.00",Straight fit blazer with a notched lapel collar. Long sleeves with buttoned cuffs. Chest welt pocket and flap hip pockets. Inside pocket detail. Back vents at the hem. Front button fastening.
24,CHECKED SUIT BLAZER,https://www.zara.com/in/en/checked-suit-blazer-p05734502.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5734/502/420/2/w/448/5734502420_1_1_1.jpg?ts=1689605445606': 'Image 0 of CHECKED SUIT BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5734/502/420/2/w/448/5734502420_2_1_1.jpg?ts=1689605448376': 'Image 1 of CHECKED SUIT BLAZER from Zara'}]","₹ 9,590.00",Regular-fit blazer with a notched lapel collar. Long sleeves with buttoned cuffs. Chest welt pocket and hip flap pocket. Inside pocket detail. Back vents at the hem. Buttoned front.
39,SUIT BLAZER,https://www.zara.com/in/en/suit-blazer-p05623243.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5623/243/500/2/w/448/5623243500_1_1_1.jpg?ts=1689334797377': 'Image 0 of SUIT BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5623/243/500/2/w/448/5623243500_2_1_1.jpg?ts=1689334797934': 'Image 1 of SUIT BLAZER from Zara'}]","₹ 9,590.00","Straight fit blazer with a notched lapel collar, long sleeves with buttoned cuffs, flap pockets at the hip and an inside pocket. Central back vent at the hem and front button fastening."
41,BLAZER WITH POCKETS,https://www.zara.com/in/en/blazer-with-pockets-p06452507.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6452/507/708/2/w/448/6452507708_2_1_1.jpg?ts=1691072087218': 'Image 0 of BLAZER WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6452/507/708/2/w/448/6452507708_2_5_1.jpg?ts=1691072088681': 'Image 1 of BLAZER WITH POCKETS from Zara'}]","₹ 8,590.00","Relaxed fit blazer with a pointed lapel collar, long sleeves with buttoned cuffs, a patch pocket on the chest and patch pockets with flaps at the hip. Central back vent at the hem and front button fastening."
