,product_name,link, product_images,price,details
0,SWEATSHIRT WITH ZIP COLLAR,https://www.zara.com/in/en/sweatshirt-with-zip-collar-p06462330.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6462/330/251/2/w/448/6462330251_1_1_1.jpg?ts=1689932178850': 'Image 0 of SWEATSHIRT WITH ZIP COLLAR from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6462/330/251/2/w/448/6462330251_2_1_1.jpg?ts=1689932178782': 'Image 1 of SWEATSHIRT WITH ZIP COLLAR from Zara'}]","₹ 2,990.00","Sweatshirt featuring a high neck with front zip fastening, long sleeves and ribbed trims."
7,REFLECTIVE EFFECT JACKET,https://www.zara.com/in/en/reflective-effect-jacket-p01732314.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1732/314/446/3/w/448/1732314446_1_1_1.jpg?ts=1693233018145': 'Image 0 of REFLECTIVE EFFECT JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1732/314/446/3/w/448/1732314446_2_1_1.jpg?ts=1693233018361': 'Image 1 of REFLECTIVE EFFECT JACKET from Zara'}]","₹ 7,590.00",Jacket made of a very lightweight and reflective technical fabric.- High neck with stow-away hood on the inside.- Long sleeves with elastic cuffs.- Thermo-sealed inner seams.- Pocket with autolock zip fastening on the chest and hip pockets.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.View more
8,COTTON HOODIE,https://www.zara.com/in/en/cotton-hoodie-p00761331.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0761/331/712/3/w/448/0761331712_1_1_1.jpg?ts=1693233015377': 'Image 0 of COTTON HOODIE from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0761/331/712/3/w/448/0761331712_2_1_1.jpg?ts=1693233017265': 'Image 1 of COTTON HOODIE from Zara'}]","₹ 3,990.00",Hoodie made of compact cotton fabric. Adjustable hood and long sleeves. Front pouch pocket. Ribbed trims.Zara Athleticz.
12,PREMIUM SWEATSHIRT,https://www.zara.com/in/en/premium-sweatshirt-p00761438.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0761/438/401/2/w/448/0761438401_1_1_1.jpg?ts=1692951284259': 'Image 0 of PREMIUM SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0761/438/401/2/w/448/0761438401_2_1_1.jpg?ts=1692951288530': 'Image 1 of PREMIUM SWEATSHIRT from Zara'}]","₹ 2,590.00",Loose-fitting sweatshirt with a wide ribbed neck and short sleeves.
20,SWEATSHIRT WITH CONTRAST TRIMS,https://www.zara.com/in/en/sweatshirt-with-contrast-trims-p00761309.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0761/309/251/2/w/448/0761309251_1_1_1.jpg?ts=1685432803292': 'Image 0 of SWEATSHIRT WITH CONTRAST TRIMS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0761/309/251/2/w/448/0761309251_2_1_1.jpg?ts=1685432803022': 'Image 1 of SWEATSHIRT WITH CONTRAST TRIMS from Zara'}]","₹ 3,290.00",Loose-fitting sweatshirt with a round neck and short sleeves. Contrast piping details on the front and back. Ribbed trims.
21,RIBBED SWEATSHIRT,https://www.zara.com/in/en/ribbed-sweatshirt-p05039501.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5039/501/251/2/w/448/5039501251_1_1_1.jpg?ts=1692956951377': 'Image 0 of RIBBED SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5039/501/251/2/w/448/5039501251_2_1_1.jpg?ts=1692956953102': 'Image 1 of RIBBED SWEATSHIRT from Zara'}]","₹ 2,990.00",Short sleeve sweatshirt with a round neck.
24,POLO SWEATSHIRT,https://www.zara.com/in/en/polo-sweatshirt-p00526330.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0526/330/066/2/w/448/0526330066_1_1_1.jpg?ts=1692022320087': 'Image 0 of POLO SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0526/330/066/2/w/448/0526330066_2_1_1.jpg?ts=1692022319806': 'Image 1 of POLO SWEATSHIRT from Zara'}]","₹ 3,290.00",Collared polo shirt with a buttoned front hidden by a placket. Long sleeves. Ribbed trims.
29,POLO SWEATSHIRT,https://www.zara.com/in/en/polo-sweatshirt-p00526302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0526/302/708/2/w/448/0526302708_2_1_1.jpg?ts=1692776632508': 'Image 0 of POLO SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0526/302/708/2/w/448/0526302708_1_1_1.jpg?ts=1692776632231': 'Image 1 of POLO SWEATSHIRT from Zara'}]","₹ 3,290.00","Collared polo made of compact cotton fabric. Front button fastening, long sleeves and ribbed trims."
30,CONTRAST PRINT SWEATSHIRT,https://www.zara.com/in/en/contrast-print-sweatshirt-p01165316.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1165/316/403/2/w/448/1165316403_1_1_1.jpg?ts=1692780184065': 'Image 0 of CONTRAST PRINT SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1165/316/403/2/w/448/1165316403_2_1_1.jpg?ts=1692780185356': 'Image 1 of CONTRAST PRINT SWEATSHIRT from Zara'}]","₹ 3,290.00",Sweatshirt with a round neck and long sleeves. Contrast prints on the front and back. Ribbed trims.
31,PRINTED SWEATSHIRT WITH SLOGAN,https://www.zara.com/in/en/printed-sweatshirt-with-slogan-p00679307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0679/307/403/2/w/448/0679307403_1_1_1.jpg?ts=1692188211890': 'Image 0 of PRINTED SWEATSHIRT WITH SLOGAN from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0679/307/403/2/w/448/0679307403_2_1_1.jpg?ts=1692188212279': 'Image 1 of PRINTED SWEATSHIRT WITH SLOGAN from Zara'}]","₹ 3,290.00",Oversize sweatshirt with a round neck and long sleeves. Contrast slogan print on the front and back. Ribbed trims.
