,product_name,link, product_images,price,details
0,100% LINEN SHIRT,https://www.zara.com/in/en/100-linen-shirt-p06359387.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6359/387/250/2/w/448/6359387250_1_1_1.jpg?ts=1692778805396': 'Image 0 of 100% LINEN SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6359/387/250/2/w/448/6359387250_2_1_1.jpg?ts=1692778805737': 'Image 1 of 100% LINEN SHIRT from Zara'}]","₹ 3,990.00",Regular-fit shirt made of lightweight linen fabric. Spread collar and long sleeves with buttoned cuffs. Button-up front.
5,VISCOSE/LINEN BLEND SHIRT,https://www.zara.com/in/en/viscose-linen-blend-shirt-p05912161.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5912/161/802/2/w/448/5912161802_1_1_1.jpg?ts=1691680453953': 'Image 0 of VISCOSE/LINEN BLEND SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5912/161/802/2/w/448/5912161802_2_1_1.jpg?ts=1691680456311': 'Image 1 of VISCOSE/LINEN BLEND SHIRT from Zara'}]","₹ 3,290.00","Relaxed fit shirt in a linen and viscose blend. Featuring a lapel collar, long sleeves with buttoned cuffs and a button-up front."
7,FLORAL PRINT SHIRT,https://www.zara.com/in/en/floral-print-shirt-p02599340.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2599/340/064/2/w/448/2599340064_1_1_1.jpg?ts=1692021899645': 'Image 0 of FLORAL PRINT SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2599/340/064/2/w/448/2599340064_2_1_1.jpg?ts=1692021898435': 'Image 1 of FLORAL PRINT SHIRT from Zara'}]","₹ 3,290.00","Relaxed fit shirt with a camp collar, short sleeves and a button-up front."
9,VISCOSE - LINEN SHIRT,https://www.zara.com/in/en/viscose---linen-shirt-p06525410.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6525/410/800/2/w/448/6525410800_1_1_1.jpg?ts=1692801580516': 'Image 0 of VISCOSE - LINEN SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6525/410/800/2/w/448/6525410800_2_1_1.jpg?ts=1692801581160': 'Image 1 of VISCOSE - LINEN SHIRT from Zara'}]","₹ 3,290.00","Relaxed fit shirt made of a viscose and cotton blend. Featuring a camp collar, short sleeves, a split hem and a button-up front."
10,PLEATED TROUSERS,https://www.zara.com/in/en/pleated-trousers-p06861336.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6861/336/800/2/w/448/6861336800_1_1_1.jpg?ts=1692181731410': 'Image 0 of PLEATED TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6861/336/800/2/w/448/6861336800_2_1_1.jpg?ts=1692181731665': 'Image 1 of PLEATED TROUSERS from Zara'}]","₹ 4,990.00",Straight fit trousers. Waist with front pleated details. Front pockets and rear pocket details. Turn-up hems. Front zip fly and button fastening.
12,BERMUDA SHORTS WITH CONTRAST EMBROIDERY,https://www.zara.com/in/en/bermuda-shorts-with-contrast-embroidery-p03992312.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/312/251/2/w/448/3992312251_1_1_1.jpg?ts=1691486095772': 'Image 0 of BERMUDA SHORTS WITH CONTRAST EMBROIDERY from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/312/251/2/w/448/3992312251_2_1_1.jpg?ts=1691486095300': 'Image 1 of BERMUDA SHORTS WITH CONTRAST EMBROIDERY from Zara'}]","₹ 3,290.00",Bermuda shorts featuring an adjustable elasticated waistband with drawstring. Front pockets and rear patch pocket detail. Hems with contrast embroidery.
13,100% LINEN TROUSERS,https://www.zara.com/in/en/100-linen-trousers-p01538402.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1538/302/916/2/w/448/1538302916_1_1_1.jpg?ts=1686065081362': 'Image 0 of 100% LINEN TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1538/302/916/2/w/448/1538302916_2_1_1.jpg?ts=1686065081085': 'Image 1 of 100% LINEN TROUSERS from Zara'}]","₹ 3,990.00",Trousers made of linen fabric. Elasticated waistband. Front pockets and back welt pockets. Zip fly and top button fastening.
20,COTTON - LINEN SHIRT,https://www.zara.com/in/en/cotton---linen-shirt-p01063302.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/1063/202/700/2/w/448/1063202700_1_1_1.jpg?ts=1685461210229': 'Image 0 of COTTON - LINEN SHIRT from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/1063/202/700/2/w/448/1063202700_2_1_1.jpg?ts=1685461208531': 'Image 1 of COTTON - LINEN SHIRT from Zara'}]","₹ 2,990.00",Relaxed fit shirt made of a linen blend. Stand-up collar and long sleeves with buttoned cuffs. Button-up front.
27,LINEN - COTTON POLO SHIRT,https://www.zara.com/in/en/linen---cotton-polo-shirt-p05649210.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5649/210/500/3/w/0/5649210500_1_1_1.jpg?ts=1687345065871': 'Image 0 of LINEN - COTTON POLO SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5649/210/500/3/w/0/5649210500_2_1_1.jpg?ts=1687345070317': 'Image 1 of LINEN - COTTON POLO SHIRT from Zara'}]","₹ 3,290.00",Relaxed fit collared shirt made of a linen blend. Front button fastening. Long sleeves with buttoned cuffs. Side vents at the hem.
28,COTTON - LINEN SHIRT,https://www.zara.com/in/en/cotton---linen-shirt-p01063307.html,"[{'https://static.zara.net/photos///2023/V/0/1/p/1063/307/052/2/w/448/1063307052_1_1_1.jpg?ts=1676369583211': 'Image 0 of COTTON - LINEN SHIRT from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/1063/307/052/2/w/448/1063307052_2_1_1.jpg?ts=1673439822396': 'Image 1 of COTTON - LINEN SHIRT from Zara'}]","₹ 2,990.00",Relaxed-fit shirt made of a linen blend. Button-down collar. Long sleeves with buttoned cuffs. Chest patch pocket. Button-up front.
