,product_name,link, product_images,price,details
0,CORDUROY OVERSHIRT,https://www.zara.com/in/en/corduroy-overshirt-p01063320.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1063/320/802/2/w/448/1063320802_1_1_1.jpg?ts=1692951285198': 'Image 0 of CORDUROY OVERSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1063/320/802/2/w/448/1063320802_2_1_1.jpg?ts=1692951292410': 'Image 1 of CORDUROY OVERSHIRT from Zara'}]","₹ 3,990.00",Relaxed fit collared overshirt. Long sleeves with buttoned cuffs. Chest patch pockets. Button-up front.
4,OVERSHIRT WITH POCKETS,https://www.zara.com/in/en/overshirt-with-pockets-p00706430.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0706/430/916/2/w/448/0706430916_1_1_1.jpg?ts=1690358711757': 'Image 0 of OVERSHIRT WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0706/430/916/2/w/448/0706430916_2_1_1.jpg?ts=1690358714599': 'Image 1 of OVERSHIRT WITH POCKETS from Zara'}]","₹ 4,990.00",Regular fit collared overshirt with long sleeves with buttoned cuffs. Patch pockets with flaps on the front. Button-up front.
8,DIAGONAL TEXTURE OVERSHIRT,https://www.zara.com/in/en/diagonal-texture-overshirt-p03057403.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3057/403/802/2/w/448/3057403802_2_1_1.jpg?ts=1691138569348': 'Image 0 of DIAGONAL TEXTURE OVERSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3057/403/802/2/w/448/3057403802_2_4_1.jpg?ts=1691138569003': 'Image 1 of DIAGONAL TEXTURE OVERSHIRT from Zara'}]","₹ 5,990.00",Collared regular fit overshirt made of diagonal textured fabric. Long sleeves with buttoned cuffs. Patch pockets with flaps on the chest and hip welt pockets. Button-up front hidden by a placket.
9,OVERSHIRT WITH POCKETS,https://www.zara.com/in/en/overshirt-with-pockets-p01538451.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1538/451/711/2/w/448/1538451711_1_1_1.jpg?ts=1691136024687': 'Image 0 of OVERSHIRT WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1538/451/711/2/w/448/1538451711_2_1_1.jpg?ts=1691136024689': 'Image 1 of OVERSHIRT WITH POCKETS from Zara'}]","₹ 3,990.00",Relaxed fit overshirt made of cotton. Lapel collar and long sleeves with buttoned cuffs. Patch pockets with flaps on the chest and a side hip pocket. Zip-up front.
13,COMFORT OVERSHIRT WITH POCKETS,https://www.zara.com/in/en/comfort-overshirt-with-pockets-p00706429.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0706/429/800/12/w/0/0706429800_1_1_1.jpg?ts=1692961529587': 'Image 0 of COMFORT OVERSHIRT WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0706/429/800/12/w/0/0706429800_2_1_1.jpg?ts=1692961529634': 'Image 1 of COMFORT OVERSHIRT WITH POCKETS from Zara'}]","₹ 3,990.00",Collared overshirt made of a stretchy fabric. Long sleeves with snap-button cuffs. Chest patch pockets. Front snap-button fastening.
17,OVERSHIRT WITH CONTRAST TOPSTITCHING,https://www.zara.com/in/en/overshirt-with-contrast-topstitching-p07446310.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/7446/310/712/2/w/448/7446310712_1_1_1.jpg?ts=1690962645514': 'Image 0 of OVERSHIRT WITH CONTRAST TOPSTITCHING from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/7446/310/712/2/w/448/7446310712_2_1_1.jpg?ts=1690962648752': 'Image 1 of OVERSHIRT WITH CONTRAST TOPSTITCHING from Zara'}]","₹ 4,990.00",Collared relaxed fit overshirt made of textured cotton. Long sleeves with buttoned cuffs. Patch pockets on the chest. Contrast topstitching detail all over the garment. Button-up front.
18,LINEN BLEND OVERSHIRT WITH TOPSTITCHING,https://www.zara.com/in/en/linen-blend-overshirt-with-topstitching-p00706366.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0706/366/800/2/w/448/0706366800_1_1_1.jpg?ts=1686295515662': 'Image 0 of LINEN BLEND OVERSHIRT WITH TOPSTITCHING from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0706/366/800/2/w/448/0706366800_2_1_1.jpg?ts=1686295515572': 'Image 1 of LINEN BLEND OVERSHIRT WITH TOPSTITCHING from Zara'}]","₹ 3,990.00",Relaxed fit collared overshirt made of a cotton and linen blend fabric. Short sleeves. Front patch pockets. Contrast topstitching all over the garment. Snap-button fastenings on the front.
22,RELAXED FIT DENIM OVERSHIRT,https://www.zara.com/in/en/relaxed-fit-denim-overshirt-p05520330.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5520/330/737/2/w/448/5520330737_1_1_1.jpg?ts=1692188871600': 'Image 0 of RELAXED FIT DENIM OVERSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5520/330/737/2/w/0/5520330737_2_1_1.jpg?ts=1692188872724': 'Image 1 of RELAXED FIT DENIM OVERSHIRT from Zara'}]","₹ 3,290.00",Faded relaxed fit collared overshirt featuring long sleeves with buttoned cuffs. Patch pockets on the chest and hidden snap-button fastening at the front.
28,PAINT PRINT OVERSHIRT,https://www.zara.com/in/en/paint-print-overshirt-p05320305.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5320/305/071/2/w/448/5320305071_1_1_1.jpg?ts=1692360154954': 'Image 0 of PAINT PRINT OVERSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5320/305/071/2/w/448/5320305071_2_1_1.jpg?ts=1692360155398': 'Image 1 of PAINT PRINT OVERSHIRT from Zara'}]","₹ 4,990.00",Relaxed fit collared overshirt with long sleeves and snap-button cuffs. Chest patch pockets. Side vents at the hem. Front snap-button fastening.
30,TIE-DYE CHECK OVERSHIRT,https://www.zara.com/in/en/tie-dye-check-overshirt-p01063313.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1063/313/015/2/w/448/1063313015_1_1_1.jpg?ts=1692359830761': 'Image 0 of TIE-DYE CHECK OVERSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1063/313/015/2/w/448/1063313015_2_1_1.jpg?ts=1692359831758': 'Image 1 of TIE-DYE CHECK OVERSHIRT from Zara'}]","₹ 3,990.00",Regular-fit overshirt made of cotton fabric. Featuring a lapel collar and long sleeves with buttoned cuffs. Patch pockets on the chest. Button-up front.
36,TEXTURED RUSTIC OVERSHIRT,https://www.zara.com/in/en/textured-rustic-overshirt-p06861506.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6861/506/707/2/w/448/6861506707_1_1_1.jpg?ts=1691483217711': 'Image 0 of TEXTURED RUSTIC OVERSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6861/506/707/2/w/448/6861506707_2_1_1.jpg?ts=1691483160348': 'Image 1 of TEXTURED RUSTIC OVERSHIRT from Zara'}]","₹ 5,990.00",Collared cotton blend overshirt. Long sleeves with buttoned cuffs. Hip patch pockets. Button-up front.
38,GEOMETRIC JACQUARD OVERSHIRT,https://www.zara.com/in/en/geometric-jacquard-overshirt-p02675411.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2675/411/712/2/w/448/2675411712_2_1_1.jpg?ts=1687337219075': 'Image 0 of GEOMETRIC JACQUARD OVERSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2675/411/712/2/w/448/2675411712_2_5_1.jpg?ts=1687337217601': 'Image 1 of GEOMETRIC JACQUARD OVERSHIRT from Zara'}]","₹ 7,590.00",Relaxed fit overshirt made of cotton fabric. Featuring a lapel collar and long sleeves with buttoned cuffs. Welt pockets at the hip. Button-up front.
40,COMFORT OVERSHIRT WITH POCKETS,https://www.zara.com/in/en/comfort-overshirt-with-pockets-p07484300.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7484/300/800/12/w/448/7484300800_1_1_1.jpg?ts=1693231709125': 'Image 0 of COMFORT OVERSHIRT WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7484/300/800/12/w/448/7484300800_2_1_1.jpg?ts=1693231710721': 'Image 1 of COMFORT OVERSHIRT WITH POCKETS from Zara'}]","₹ 3,290.00","Relaxed fit overshirt made of stretchy fabric. Featuring a spread collar, short sleeves, chest patch pockets and front snap-button fastening."
44,OVERSHIRT WITH CONTRAST TOPSTITCHING,https://www.zara.com/in/en/overshirt-with-contrast-topstitching-p05786162.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5786/162/800/2/w/448/5786162800_1_1_1.jpg?ts=1688715758115': 'Image 0 of OVERSHIRT WITH CONTRAST TOPSTITCHING from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5786/162/800/2/w/448/5786162800_2_1_1.jpg?ts=1688715758071': 'Image 1 of OVERSHIRT WITH CONTRAST TOPSTITCHING from Zara'}]","₹ 4,990.00",Collared relaxed fit overshirt. Long sleeves with buttoned cuffs. Chest patch pockets. Contrast topstitching all over the garment. Button-up front.
46,FAUX LEATHER OVERSHIRT,https://www.zara.com/in/en/faux-leather-overshirt-p05070305.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5070/305/800/2/w/448/5070305800_1_1_1.jpg?ts=1688715757260': 'Image 0 of FAUX LEATHER OVERSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5070/305/800/2/w/448/5070305800_2_1_1.jpg?ts=1688715757224': 'Image 1 of FAUX LEATHER OVERSHIRT from Zara'}]","₹ 3,990.00","Boxy fit collared overshirt made of faux leather. Featuring short sleeves, a chest patch pockets, contrast topstitching all over the garment and a button-up front."
48,CROCHET OVERSHIRT,https://www.zara.com/in/en/crochet-overshirt-p02688310.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2688/310/800/2/w/448/2688310800_1_1_1.jpg?ts=1692361199089': 'Image 0 of CROCHET OVERSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2688/310/800/2/w/448/2688310800_2_1_1.jpg?ts=1692361199168': 'Image 1 of CROCHET OVERSHIRT from Zara'}]","₹ 3,990.00",Regular fit overshirt made of openwork fabric. Lapel collar and short sleeves. Chest patch pocket. Button-up front.
49,CROPPED FAUX LEATHER SHIRT,https://www.zara.com/in/en/cropped-faux-leather-shirt-p08281325.html,"[{'https://static.zara.net/photos///2023/V/0/1/p/8281/423/800/2/w/448/8281423800_1_1_1.jpg?ts=1682333401257': 'Image 0 of CROPPED FAUX LEATHER SHIRT from Zara'}, {'https://static.zara.net/photos///2023/V/0/1/p/8281/423/800/2/w/448/8281423800_2_1_1.jpg?ts=1682333400388': 'Image 1 of CROPPED FAUX LEATHER SHIRT from Zara'}]","₹ 3,290.00",Relaxed-fit faux leather shirt. Collar and short sleeves. Chest patch pocket. Cropped length. Fastens down the front with snap buttons.
51,FADED FAUX SUEDE OVERSHIRT,https://www.zara.com/in/en/faded-faux-suede-overshirt-p08281331.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8281/331/801/2/w/448/8281331801_1_1_1.jpg?ts=1692360155212': 'Image 0 of FADED FAUX SUEDE OVERSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8281/331/801/2/w/448/8281331801_2_1_1.jpg?ts=1692360155352': 'Image 1 of FADED FAUX SUEDE OVERSHIRT from Zara'}]","₹ 3,990.00",Boxy-fit faux suede overshirt. Collar and short sleeves. Chest patch pocket. Cropped length. Fastens down the front with snap buttons.
53,LIMITED EDITION TECHNICAL SHIRT,https://www.zara.com/in/en/limited-edition-technical-shirt-p04391300.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4391/300/515/2/w/448/4391300515_1_1_1.jpg?ts=1689327628240': 'Image 0 of LIMITED EDITION TECHNICAL SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4391/300/515/2/w/448/4391300515_2_1_1.jpg?ts=1689327630148': 'Image 1 of LIMITED EDITION TECHNICAL SHIRT from Zara'}]","₹ 4,990.00",Cropped collared shirt made of technical satin fabric. Long sleeves with buttoned cuffs. Patch pockets with flaps on the chest. Button-up front.
54,WAXED DENIM OVERSHIRT - LIMITED EDITION,https://www.zara.com/in/en/waxed-denim-overshirt---limited-edition-p05520302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5520/302/400/32/w/448/5520302400_1_1_1.jpg?ts=1692187656412': 'Image 0 of WAXED DENIM OVERSHIRT - LIMITED EDITION from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5520/302/400/2/w/448/5520302400_6_1_1.jpg?ts=1689923719812': 'Image 1 of WAXED DENIM OVERSHIRT - LIMITED EDITION from Zara'}]","₹ 5,990.00",Relaxed fit overshirt made of faded denim with a slightly waxed finish. Lapel collar and long sleeves and buttoned cuffs. Button-up front.
55,OVERSIZE FIT SHIRT - LIMITED EDITION,https://www.zara.com/in/en/oversize-fit-shirt---limited-edition-p05819179.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5819/179/403/2/w/448/5819179403_1_1_1.jpg?ts=1689332809986': 'Image 0 of OVERSIZE FIT SHIRT - LIMITED EDITION from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5819/179/403/2/w/448/5819179403_2_1_1.jpg?ts=1689332812756': 'Image 1 of OVERSIZE FIT SHIRT - LIMITED EDITION from Zara'}]","₹ 3,990.00",Oversize fit shirt made of cotton. Spread collar and long sleeves with buttoned cuffs. Pleat details on the back. Button-up front hidden by a placket.
56,BOXY FIT SHIRT - LIMITED EDITION,https://www.zara.com/in/en/boxy-fit-shirt---limited-edition-p05820497.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5820/497/401/2/w/448/5820497401_1_1_1.jpg?ts=1689332813707': 'Image 0 of BOXY FIT SHIRT - LIMITED EDITION from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5820/497/401/2/w/448/5820497401_2_1_1.jpg?ts=1689332813627': 'Image 1 of BOXY FIT SHIRT - LIMITED EDITION from Zara'}]","₹ 3,290.00",Boxy fit shirt made of cotton. Spread collar and short sleeves. Side vents at the hem. Button-up front hidden by a placket.
58,RIPSTOP OVERSHIRT - LIMITED EDITION,https://www.zara.com/in/en/ripstop-overshirt---limited-edition-p08281321.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8281/321/500/2/w/448/8281321500_1_1_1.jpg?ts=1689327629158': 'Image 0 of RIPSTOP OVERSHIRT - LIMITED EDITION from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8281/321/500/2/w/448/8281321500_2_1_1.jpg?ts=1689327634745': 'Image 1 of RIPSTOP OVERSHIRT - LIMITED EDITION from Zara'}]","₹ 5,990.00",Regular fit overshirt made of textured ripstop fabric that is resistant to tearing. Lapel collar and long sleeves with buttoned cuffs. Button-up front.
59,OVERSIZE FIT OVERSHIRT - LIMITED EDITION,https://www.zara.com/in/en/oversize-fit-overshirt---limited-edition-p05822251.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5822/251/401/2/w/448/5822251401_1_1_1.jpg?ts=1689327630462': 'Image 0 of OVERSIZE FIT OVERSHIRT - LIMITED EDITION from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5822/251/401/2/w/448/5822251401_2_1_1.jpg?ts=1689327630759': 'Image 1 of OVERSIZE FIT OVERSHIRT - LIMITED EDITION from Zara'}]","₹ 4,990.00",Oversize fit overshirt. Spread collar and long sleeves with buttoned cuffs. Pleat details on the back. Button-up front hidden by a placket.
