,product_name,link, product_images,price,details
0,LONDON EDT 100ML / 3.38 oz,https://www.zara.com/in/en/london-edt-100ml---3-38-oz-p20210662.html,"[{'https://static.zara.net/photos///2023/V/2/2/p/0210/662/999/2/w/448/0210662999_6_1_1.jpg?ts=1683624819139': 'Image 0 of LONDON EDT 100ML / 3.38\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/V/2/2/p/0210/662/999/2/w/448/0210662999_6_2_1.jpg?ts=1683624819321': 'Image 1 of LONDON EDT 100ML / 3.38\xa0oz from Zara'}]","₹ 1,290.00","ZARA LONDON SAVILE ROW MAYFAIR EAU DE TOILETTE 100ML / 3.38 oz (3.38 FL.OZ). Woody floral eau de toilette. The scent reveals notes of mint, sandalwood and iris. It´s a masculine, intense and long-lasting fragrance.View more"
1,SEOUL 100ML,https://www.zara.com/in/en/seoul-100ml-p20210026.html,"[{'https://static.zara.net/photos///2023/V/2/2/p/0210/026/999/2/w/448/0210026999_6_2_1.jpg?ts=1672907451459': 'Image 0 of SEOUL 100ML from Zara'}, {'https://static.zara.net/photos///2023/V/2/2/p/0210/026/999/2/w/448/0210026999_6_1_1.jpg?ts=1672907451658': 'Image 1 of SEOUL 100ML from Zara'}]",₹ 990.00,"ZARA SEOUL 532-8 SINSA DONG GANGNAM-GU EDT 100ML (3.4 FL. OZ). Aromatic eau de toilette. The scent reveals notes of hazelnut, pepper and amber. It’s a modern, sporty and luminous fragrance."
2,LISBOA 100 ML,https://www.zara.com/in/en/lisboa-100-ml-p20210027.html,"[{'https://static.zara.net/photos///2023/V/2/2/p/0210/027/999/2/w/448/0210027999_6_1_1.jpg?ts=1674474791145': 'Image 0 of LISBOA 100 ML from Zara'}, {'https://static.zara.net/photos///2023/V/2/2/p/0210/027/999/2/w/448/0210027999_6_2_1.jpg?ts=1674474791170': 'Image 1 of LISBOA 100 ML from Zara'}]",₹ 990.00,"ZARA LISBOA COLOMBO AVENIDA DO COLEGIO MILITAR EDT 100 ML (3.4 FL. OZ). Citrus eau de toilette. The scent reveals hints of lemon, musk and green notes. It’s a fresh, comfortable and sporty fragrance.View more"
3,SEOUL 100 ML + LISBOA 100 ML,https://www.zara.com/in/en/seoul-100-ml-lisboa-100-ml-p20210028.html,"[{'https://static.zara.net/photos///2023/V/2/2/p/0210/028/999/2/w/448/0210028999_6_2_1.jpg?ts=1672907450133': 'Image 0 of SEOUL 100 ML + LISBOA 100 ML from Zara'}, {'https://static.zara.net/photos///2023/V/2/2/p/0210/028/999/2/w/448/0210028999_6_1_1.jpg?ts=1672907451787': 'Image 1 of SEOUL 100 ML + LISBOA 100 ML from Zara'}]","₹ 1,590.00","ZARA SEOUL 532-8 SINSA DONG + LISBOA COLOMBO AVENIDA DO COLEGIO (3.4 FL. OZ). Eau de toilette duo set. The scent reveals hints of hazelnut, pepper and amber (I) + lemon, green notes and musk (II).View more"
4,SEOUL + SEOUL SUMMER 100ML / 3.38 oz,https://www.zara.com/in/en/seoul-seoul-summer-100ml---3-38-oz-p20210052.html,"[{'https://static.zara.net/photos///2023/V/2/2/p/0210/052/999/2/w/448/0210052999_6_1_1.jpg?ts=1672907450195': 'Image 0 of SEOUL + SEOUL SUMMER 100ML / 3.38\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/V/2/2/p/0210/052/999/2/w/448/0210052999_6_2_1.jpg?ts=1672907451357': 'Image 1 of SEOUL + SEOUL SUMMER 100ML / 3.38\xa0oz from Zara'}]","₹ 1,790.00","ZARA SEOUL 532-8 SINSA DONG GANGNAM-GU EDT 100ML + ZARA SEOUL 532-8 SINSA DONG GANGNAM-GU SUMMER EDT 100ML 2X (3.38 FL. OZ). Eau de toilette duo set. The fragrance pyramid includes notes of pepper, ylang-ylang and dry amber (I) + apple, orange blossom and amber (II).View more"
5,30ML / 1.01 oz SEOUL,https://www.zara.com/in/en/30ml---1-01-oz-seoul-p20210505.html,"[{'https://static.zara.net/photos///2023/I/2/2/p/0210/505/999/2/w/448/0210505999_6_1_1.jpg?ts=1691998055867': 'Image 0 of 30ML / 1.01\xa0oz SEOUL from Zara'}, {'https://static.zara.net/photos///2022/I/2/2/p/0210/505/999/2/w/448/0210505999_6_2_1.jpg?ts=1664872373767': 'Image 1 of 30ML / 1.01\xa0oz SEOUL from Zara'}]",₹ 690.00,"30ML (1.01 FL. OZ). ZARA MAN SEOUL 532-8 SINSA DONG GANGNAM-GU Aromatic eau de toilette. The fragrance pyramid reveals notes of pepper, ylang-ylang and dry amber. It’s a modern, sporty and luminous fragrance.View more"
6,SILVER 100ML / 3.38 oz,https://www.zara.com/in/en/silver-100ml---3-38-oz-p20210005.html,"[{'https://static.zara.net/photos///2023/I/2/1/p/0210/005/999/3/w/448/0210005999_1_1_1.jpg?ts=1689067696338': 'Image 0 of SILVER 100ML / 3.38\xa0oz from Zara'}, {'https://static.zara.net/photos///2022/I/2/1/p/0210/005/999/2/w/448/0210005999_6_1_1.jpg?ts=1664878529925': 'Image 1 of SILVER 100ML / 3.38\xa0oz from Zara'}]",₹ 990.00,"ZARA MAN SILVER EDT 100ML (3.38 FL. OZ). Aromatic eau de toilette. The fragrance pyramid reveals notes of lemon, jasmine and patchouli. It’s a fresh, modern and luminous fragrance.View more"
7,BLUE SPIRIT 100ML / 3.38 oz,https://www.zara.com/in/en/blue-spirit-100ml---3-38-oz-p20210010.html,"[{'https://static.zara.net/photos///2023/V/2/2/p/0210/010/999/2/w/448/0210010999_6_2_1.jpg?ts=1672907450108': 'Image 0 of BLUE SPIRIT 100ML / 3.38\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/V/2/2/p/0210/010/999/2/w/448/0210010999_6_1_1.jpg?ts=1672907450163': 'Image 1 of BLUE SPIRIT 100ML / 3.38\xa0oz from Zara'}]",₹ 990.00,"ZARA MAN BLUE SPIRIT EDT 100ML (3.38 FL. OZ). Aromatic eau de cologne. The fragrance pyramid reveals notes of tangerine, ylang-ylang and amber. It’s a modern, nocturnal and warm fragrance.View more"
8,GREEN SAVAGE 100ML / 3.38 oz,https://www.zara.com/in/en/green-savage-100ml---3-38-oz-p20210646.html,"[{'https://static.zara.net/photos///2023/V/2/2/p/0210/646/999/2/w/448/0210646999_6_1_1.jpg?ts=1672848694517': 'Image 0 of GREEN SAVAGE 100ML / 3.38\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/V/2/2/p/0210/646/999/2/w/448/0210646999_6_2_1.jpg?ts=1672848694602': 'Image 1 of GREEN SAVAGE 100ML / 3.38\xa0oz from Zara'}]","₹ 1,290.00","ZARA MAN GREEN SAVAGE EDT 100ML (3,38 FL. OZ).Hesperidic amber eau de toilette. The fragrance pyramid reveals fruity top notes such as bergamot, mandarin and grapefruit, with ginger. Accompanied by notes of lavender, apple, sage and tonka bean. The background reveals incense and amber notes wrapped in cedar wood and musk. It is a fresh, luminous and captivating fragrance.View more"
9,UOMO 100ML / 3.38 oz,https://www.zara.com/in/en/uomo-100ml---3-38-oz-p20210007.html,"[{'https://static.zara.net/photos///2022/I/2/1/p/0210/007/999/2/w/448/0210007999_6_1_1.jpg?ts=1664878488011': 'Image 0 of UOMO 100ML / 3.38\xa0oz from Zara'}, {'https://static.zara.net/photos///2022/I/2/1/p/0210/007/999/2/w/448/0210007999_6_2_1.jpg?ts=1664878488635': 'Image 1 of UOMO 100ML / 3.38\xa0oz from Zara'}]",₹ 990.00,"ZARA MAN UOMO EDT 100ML (3.38 FL. OZ). Oriental eau de toilette. The fragrance pyramid reveals notes of bergamot, nutmeg and amber. It’s a warm, comfortable and nocturnal fragrance.View more"
