,product_name,link, product_images,price,details
0,DENIM SNEAKERS,https://www.zara.com/in/en/denim-sneakers-p12216220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2216/220/202/2/w/448/2216220202_2_1_1.jpg?ts=1690213159158': 'Image 0 of DENIM SNEAKERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2216/220/202/2/w/448/2216220202_2_2_1.jpg?ts=1690213160892': 'Image 1 of DENIM SNEAKERS from Zara'}]","₹ 3,990.00","Sneakers with a combination of materials, pieces and colours on the upper. Seven-eyelet facing. Contrast chunky sole."
3,CHUNKY TRAINERS,https://www.zara.com/in/en/chunky-trainers-p12206120.html,"[{'https://static.zara.net/photos///2023/V/1/2/p/2206/120/802/2/w/448/2206120802_2_1_1.jpg?ts=1683033215969': 'Image 0 of CHUNKY TRAINERS from Zara'}, {'https://static.zara.net/photos///2023/V/1/2/p/2206/120/802/2/w/448/2206120802_2_2_1.jpg?ts=1683033216104': 'Image 1 of CHUNKY TRAINERS from Zara'}]","₹ 3,990.00","Monochrome trainers. Seven-eyelet facing. The laces are semi-hidden under two pieces, one on each side of the instep. Chunky sole with an irregular design."
4,CHUNKY TRAINERS,https://www.zara.com/in/en/chunky-trainers-p12245220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2245/220/001/2/w/448/2245220001_6_1_1.jpg?ts=1692019633659': 'Image 0 of CHUNKY TRAINERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2245/220/001/2/w/448/2245220001_6_2_1.jpg?ts=1692019634278': 'Image 1 of CHUNKY TRAINERS from Zara'}]","₹ 3,990.00",Sneakers. Plain upper. Seven-eyelet facing. Chunky sole with irregular design at the back.
6,MULTIPIECE TRAINERS,https://www.zara.com/in/en/multipiece-trainers-p12236220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2236/220/202/2/w/448/2236220202_2_1_1.jpg?ts=1692608383106': 'Image 0 of MULTIPIECE TRAINERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2236/220/202/2/w/448/2236220202_2_2_1.jpg?ts=1692608383062': 'Image 1 of MULTIPIECE TRAINERS from Zara'}]","₹ 2,990.00","Trainers. Combination of materials, pieces and colours on the upper. Six-eyelet facing. Irregular and chunky sole."
7,LEATHER MONK SHOES,https://www.zara.com/in/en/leather-monk-shoes-p12403220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2403/220/800/2/w/448/2403220800_2_1_1.jpg?ts=1686234638400': 'Image 0 of LEATHER MONK SHOES from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2403/220/800/2/w/448/2403220800_2_2_1.jpg?ts=1686234636569': 'Image 1 of LEATHER MONK SHOES from Zara'}]","₹ 7,990.00",Leather monk shoes. Two metal buckles. Leather insole. Semi-pointed toe. Classic design. Matching sole.
11,SMART LEATHER SHOES,https://www.zara.com/in/en/smart-leather-shoes-p12407220.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/2407/220/800/32/w/489/2407220800_1_1_1.jpg?ts=1692874273545': 'Image 0 of SMART LEATHER SHOES from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2407/221/800/2/w/448/2407221800_6_1_1.jpg?ts=1689609014789': 'Image 1 of SMART LEATHER SHOES from Zara'}]","₹ 6,990.00",Oxford shoes. Plain upper with topstitching detail on the vamp and toecap. Five-eyelet facing. Classic style. Round toe.
13,LEATHER SQUARE TOE ANKLE BOOTS,https://www.zara.com/in/en/leather-square-toe-ankle-boots-p12010220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2010/220/800/2/w/448/2010220800_1_1_1.jpg?ts=1689577314802': 'Image 0 of LEATHER SQUARE TOE ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2010/220/800/2/w/448/2010220800_2_1_1.jpg?ts=1689577315623': 'Image 1 of LEATHER SQUARE TOE ANKLE BOOTS from Zara'}]","₹ 9,590.00",Leather Chelsea boots. Elastic side gores for slipping on with ease. Square toe. Back pull tab for slipping on with ease. Thin sole.
15,CHELSEA BOOTS,https://www.zara.com/in/en/chelsea-boots-p12000220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2000/220/800/2/w/448/2000220800_6_1_1.jpg?ts=1691592336024': 'Image 0 of CHELSEA BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2000/220/800/2/w/448/2000220800_6_2_1.jpg?ts=1691592336044': 'Image 1 of CHELSEA BOOTS from Zara'}]","₹ 4,590.00",Monochrome Chelsea boots. Two elastic side gores and pull tab at the back for slipping on with ease. Rounded toe. Welt with matching topstitching. Slightly chunky sole.
16,CHELSEA BOOTS WITH POINTED TOES,https://www.zara.com/in/en/chelsea-boots-with-pointed-toes-p12009221.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2009/221/709/2/w/448/2009221709_6_1_1.jpg?ts=1692630744180': 'Image 0 of CHELSEA BOOTS WITH POINTED TOES from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2009/221/709/2/w/448/2009221709_6_2_1.jpg?ts=1692630744190': 'Image 1 of CHELSEA BOOTS WITH POINTED TOES from Zara'}]","₹ 4,990.00",Monochrome Chelsea boots. Two elastic side gores and pull tab at the back for slipping on with ease. Pointed toe. Welt with matching topstitching. Slightly chunky sole.
17,CHELSEA BOOTS,https://www.zara.com/in/en/chelsea-boots-p12009220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2009/220/800/2/w/448/2009220800_6_1_1.jpg?ts=1691135082187': 'Image 0 of CHELSEA BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2009/220/800/2/w/448/2009220800_6_2_1.jpg?ts=1691135082197': 'Image 1 of CHELSEA BOOTS from Zara'}]","₹ 4,990.00",Monochrome ankle boots. Matching side gores and back pull tab for slipping on with ease. Pointed toe. Classic style.
18,CHELSEA BOOTS,https://www.zara.com/in/en/chelsea-boots-p12004220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2004/220/800/2/w/448/2004220800_6_1_1.jpg?ts=1689867413313': 'Image 0 of CHELSEA BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2004/220/800/2/w/448/2004220800_6_2_1.jpg?ts=1689867412840': 'Image 1 of CHELSEA BOOTS from Zara'}]","₹ 4,590.00",Chelsea boots. Matching elastic side gores on both sides. Round toe. Back pull tab for slipping on with ease. Thin sole.
19,LACE-UP ANKLE BOOTS,https://www.zara.com/in/en/lace-up-ankle-boots-p12016220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2016/220/800/2/w/448/2016220800_6_1_1.jpg?ts=1692631383668': 'Image 0 of LACE-UP ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2016/220/800/2/w/448/2016220800_6_2_1.jpg?ts=1692631383668': 'Image 1 of LACE-UP ANKLE BOOTS from Zara'}]","₹ 4,990.00","Lace-up boots. Seven-eyelet facing, the last two with a metal piece. Contrast-coloured rubberised detail around the upper. Back pull tab for slipping on with ease. Round toe. Slightly chunky track sole."
20,CHUNKY TRACK SOLE SHOES,https://www.zara.com/in/en/chunky-track-sole-shoes-p12410220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2410/220/800/2/w/448/2410220800_6_1_1.jpg?ts=1690537873492': 'Image 0 of CHUNKY TRACK SOLE SHOES from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2410/220/800/2/w/448/2410220800_6_2_1.jpg?ts=1690537875391': 'Image 1 of CHUNKY TRACK SOLE SHOES from Zara'}]","₹ 3,990.00",Derby shoes. Four-eyelet facing. Round toe. Chunky track sole with an irregular design.
21,TRACK SOLE PENNY LOAFERS,https://www.zara.com/in/en/track-sole-penny-loafers-p12621220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2621/220/800/2/w/448/2621220800_6_1_1.jpg?ts=1687854348784': 'Image 0 of TRACK SOLE PENNY LOAFERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2621/220/800/2/w/448/2621220800_6_2_1.jpg?ts=1687854348788': 'Image 1 of TRACK SOLE PENNY LOAFERS from Zara'}]","₹ 3,990.00",Plain loafers. Decorative penny strap on the instep. Black chunky track sole with welt.
22,ROPE TRAINERS,https://www.zara.com/in/en/rope-trainers-p12201220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2201/221/800/2/w/448/2201221800_2_1_1.jpg?ts=1692608381803': 'Image 0 of ROPE TRAINERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2201/221/800/2/w/448/2201221800_2_2_1.jpg?ts=1692608382877': 'Image 1 of ROPE TRAINERS from Zara'}]","₹ 3,990.00",Trainers. Six-eyelet facing. Rope-style laces. Contrast piece on the heel. Irregular chunky sole.
