,product_name,link, product_images,price,details
0,FLORAL JACQUARD BERMUDA SHORTS,https://www.zara.com/in/en/floral-jacquard-bermuda-shorts-p07484306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/7484/306/710/2/w/448/7484306710_1_1_1.jpg?ts=1692021899343': 'Image 0 of FLORAL JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/7484/306/710/2/w/448/7484306710_2_1_1.jpg?ts=1692021898413': 'Image 1 of FLORAL JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,990.00",Bermuda shorts with an elasticated waistband. Front pockets and back patch pocket detail.
1,JACQUARD BERMUDA SHORTS,https://www.zara.com/in/en/jacquard-bermuda-shorts-p02795312.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2795/312/529/2/w/448/2795312529_1_1_1.jpg?ts=1689148214471': 'Image 0 of JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2795/312/529/2/w/448/2795312529_2_1_1.jpg?ts=1689148215152': 'Image 1 of JACQUARD BERMUDA SHORTS from Zara'}]","₹ 2,990.00",Bermuda shorts with an adjustable elasticated waistband. Front pockets and back pocket detail.
2,SHORT JACQUARD BERMUDA SHORTS,https://www.zara.com/in/en/short-jacquard-bermuda-shorts-p05862304.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5862/304/251/2/w/448/5862304251_1_1_1.jpg?ts=1691079126778': 'Image 0 of SHORT JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5862/304/251/2/w/448/5862304251_2_1_1.jpg?ts=1691079127311': 'Image 1 of SHORT JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,290.00",Short Bermuda shorts made of a cotton blend fabric. Adjustable elasticated waistband with inner drawstring. Front hip pockets and rear patch pocket detail.
3,GEOMETRIC PRINT JACQUARD BERMUDA SHORTS,https://www.zara.com/in/en/geometric-print-jacquard-bermuda-shorts-p06085355.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6085/355/712/2/w/448/6085355712_1_1_1.jpg?ts=1691079127704': 'Image 0 of GEOMETRIC PRINT JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6085/355/712/2/w/448/6085355712_2_1_1.jpg?ts=1691078951484': 'Image 1 of GEOMETRIC PRINT JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,290.00","Short Bermuda shorts made of a cotton blend. Featuring an elasticated waistband with adjustable drawstring, front hip pockets and back welt pockets."
5,ABSTRACT JACQUARD BERMUDA SHORTS,https://www.zara.com/in/en/abstract-jacquard-bermuda-shorts-p02675306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2675/306/527/2/w/448/2675306527_1_1_1.jpg?ts=1689756839360': 'Image 0 of ABSTRACT JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2675/306/527/2/w/448/2675306527_2_1_1.jpg?ts=1689756835587': 'Image 1 of ABSTRACT JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,990.00",Bermuda shorts made of compact fabric. Adjustable elasticated waistband with drawstring. Front pockets and rear pocket detail.
6,GEOMETRIC PRINT JACQUARD BERMUDA SHORTS,https://www.zara.com/in/en/geometric-print-jacquard-bermuda-shorts-p07563455.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7563/455/800/4/w/448/7563455800_1_1_1.jpg?ts=1687345452542': 'Image 0 of GEOMETRIC PRINT JACQUARD BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7563/455/800/4/w/448/7563455800_2_3_1.jpg?ts=1687345451294': 'Image 1 of GEOMETRIC PRINT JACQUARD BERMUDA SHORTS from Zara'}]","₹ 3,290.00",Relaxed-fit Bermuda shorts made of a viscose and cotton blend. An adjustable elasticated waistband with drawstring. Side pockets and back welt pockets.
7,STRIPED TEXTURED BERMUDA SHORTS,https://www.zara.com/in/en/striped-textured-bermuda-shorts-p02675302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2675/302/707/2/w/448/2675302707_1_1_1.jpg?ts=1689256345699': 'Image 0 of STRIPED TEXTURED BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2675/302/707/2/w/448/2675302707_2_1_1.jpg?ts=1689256346283': 'Image 1 of STRIPED TEXTURED BERMUDA SHORTS from Zara'}]","₹ 3,290.00","Short Bermuda shorts made of a cotton blend. Featuring an elasticated waistband with adjustable drawstring, side hip pockets and back pocket details."
9,STRIPED CROCHET BERMUDA SHORTS,https://www.zara.com/in/en/striped-crochet-bermuda-shorts-p03992378.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/378/064/2/w/448/3992378064_1_1_1.jpg?ts=1692779599359': 'Image 0 of STRIPED CROCHET BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/378/064/2/w/448/3992378064_2_1_1.jpg?ts=1692779599546': 'Image 1 of STRIPED CROCHET BERMUDA SHORTS from Zara'}]","₹ 3,990.00","Bermuda shorts made of an open textured fabric. Waistband with drawstrings, front pockets and back patch pocket detail."
10,STRIPED BERMUDA SHORTS,https://www.zara.com/in/en/striped-bermuda-shorts-p05783037.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5783/037/401/2/w/448/5783037401_6_1_1.jpg?ts=1688642265006': 'Image 0 of STRIPED BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5783/037/401/2/w/448/5783037401_6_2_1.jpg?ts=1688642261978': 'Image 1 of STRIPED BERMUDA SHORTS from Zara'}]","₹ 2,990.00",Bermuda shorts made of a cotton blend fabric. Adjustable elasticated waistband with drawstring. Front pockets and rear pocket detail.
12,COMFORT BERMUDA SHORTS,https://www.zara.com/in/en/comfort-bermuda-shorts-p00706450.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0706/450/251/2/w/448/0706450251_1_1_1.jpg?ts=1689069380172': 'Image 0 of COMFORT BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0706/450/251/2/w/448/0706450251_2_1_1.jpg?ts=1689069378347': 'Image 1 of COMFORT BERMUDA SHORTS from Zara'}]","₹ 2,590.00",Bermuda shorts featuring an adjustable elasticated waistband with drawstrings. Front pleats. Front pockets and rear welt pockets. Turn-up hems.
