,product_name,link, product_images,price,details
0,WIDE-FIT KNIT JOGGERS,https://www.zara.com/in/en/wide-fit-knit-joggers-p05755301.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5755/301/800/2/w/448/5755301800_1_1_1.jpg?ts=1692951284336': 'Image 0 of WIDE-FIT KNIT JOGGERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5755/301/800/2/w/448/5755301800_2_1_1.jpg?ts=1692951287061': 'Image 1 of WIDE-FIT KNIT JOGGERS from Zara'}]","₹ 3,290.00",Knit trousers with an adjustable elasticated waistband. Side pockets and rear pocket detail.
1,MOCK NECK SWEATER WITH POCKET,https://www.zara.com/in/en/mock-neck-sweater-with-pocket-p05755300.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5755/300/400/2/w/448/5755300400_1_1_1.jpg?ts=1692951283708': 'Image 0 of MOCK NECK SWEATER WITH POCKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5755/300/400/2/w/448/5755300400_2_1_1.jpg?ts=1692951289988': 'Image 1 of MOCK NECK SWEATER WITH POCKET from Zara'}]","₹ 3,290.00",Loose-fitting sweater with a mock neck and long sleeves. Chest patch pocket.
8,TURTLENECK SWEATER,https://www.zara.com/in/en/turtleneck-sweater-p00304300.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0304/300/401/2/w/448/0304300401_1_1_1.jpg?ts=1689256079735': 'Image 0 of TURTLENECK SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0304/300/401/2/w/448/0304300401_2_1_1.jpg?ts=1689256082971': 'Image 1 of TURTLENECK SWEATER from Zara'}]","₹ 3,290.00",Long sleeve turtleneck sweater with ribbed trims.
13,RIBBED COTTON SWEATER,https://www.zara.com/in/en/ribbed-cotton-sweater-p03284307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3284/307/818/2/w/448/3284307818_1_1_1.jpg?ts=1692951283878': 'Image 0 of RIBBED COTTON SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3284/307/818/2/w/448/3284307818_2_1_1.jpg?ts=1692951289822': 'Image 1 of RIBBED COTTON SWEATER from Zara'}]","₹ 2,990.00",Sweater made of spun cotton fabric. Round neck and long sleeves. Ribbed trims.
15,TEXTURED CABLE-KNIT SWEATER,https://www.zara.com/in/en/textured-cable-knit-sweater-p09598307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/9598/307/515/2/w/448/9598307515_1_1_1.jpg?ts=1692959058315': 'Image 0 of TEXTURED CABLE-KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/9598/307/515/2/w/448/9598307515_2_1_1.jpg?ts=1692959058620': 'Image 1 of TEXTURED CABLE-KNIT SWEATER from Zara'}]","₹ 3,990.00","Sweater made of a spun cotton blend. Featuring a round neckline, long sleeves and ribbed trims."
17,TEXTURED CROCHET SWEATER,https://www.zara.com/in/en/textured-crochet-sweater-p03597301.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3597/301/800/2/w/448/3597301800_1_1_1.jpg?ts=1691136023112': 'Image 0 of TEXTURED CROCHET SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3597/301/800/2/w/448/3597301800_2_1_1.jpg?ts=1691136023318': 'Image 1 of TEXTURED CROCHET SWEATER from Zara'}]","₹ 3,990.00",Sweater made of open textured fabric. Round neck and long sleeves. Ribbed trims.
24,STRIPED KNIT POLO SHIRT,https://www.zara.com/in/en/striped-knit-polo-shirt-p03284311.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3284/311/401/2/w/448/3284311401_1_1_1.jpg?ts=1692951286021': 'Image 0 of STRIPED KNIT POLO SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3284/311/401/2/w/448/3284311401_2_1_1.jpg?ts=1692951291949': 'Image 1 of STRIPED KNIT POLO SHIRT from Zara'}]","₹ 3,290.00","Knit collared polo shirt made of spun cotton fabric. Front button fastening, long sleeves and ribbed trims."
25,HIGH NECK SWEATER WITH ZIP,https://www.zara.com/in/en/high-neck-sweater-with-zip-p02632332.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2632/332/401/2/w/448/2632332401_1_1_1.jpg?ts=1692951284103': 'Image 0 of HIGH NECK SWEATER WITH ZIP from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2632/332/401/2/w/448/2632332401_2_1_1.jpg?ts=1692951290550': 'Image 1 of HIGH NECK SWEATER WITH ZIP from Zara'}]","₹ 3,990.00",Sweater made of spun cotton. High neck with front zip fastening and long sleeves. Ribbed trims.
26,CONTRAST KNIT POLO SHIRT,https://www.zara.com/in/en/contrast-knit-polo-shirt-p03003306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3003/306/700/2/w/448/3003306700_1_1_1.jpg?ts=1690360444523': 'Image 0 of CONTRAST KNIT POLO SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3003/306/700/2/w/448/3003306700_2_1_1.jpg?ts=1690360445549': 'Image 1 of CONTRAST KNIT POLO SHIRT from Zara'}]","₹ 3,290.00",Collared knit polo shirt. Contrast button fastening on the front. Short sleeves. Ribbed trims.
28,CONTRAST KNIT T-SHIRT,https://www.zara.com/in/en/contrast-knit-t-shirt-p03003307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3003/307/712/2/w/448/3003307712_1_1_1.jpg?ts=1690360446359': 'Image 0 of CONTRAST KNIT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3003/307/712/2/w/448/3003307712_2_1_1.jpg?ts=1690360446106': 'Image 1 of CONTRAST KNIT T-SHIRT from Zara'}]","₹ 3,290.00",Knit T-shirt. Round neck and short sleeves. Contrast ribbed details.
