,product_name,link, product_images,price,details
0,GEOMETRIC PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/geometric-print-swimming-trunks-p02634306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2634/306/401/2/w/448/2634306401_1_1_1.jpg?ts=1689157213064': 'Image 0 of GEOMETRIC PRINT SWIMMING TRUNKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2634/306/401/2/w/448/2634306401_2_1_1.jpg?ts=1689157212748': 'Image 1 of GEOMETRIC PRINT SWIMMING TRUNKS from Zara'}]","₹ 2,990.00",Swimming trunks made of technical fabric with a velvety finish. Elasticated waistband with drawstrings. Front pockets and pocket detail at the waist. Rear welt pocket. Lining. Includes a bag in the same fabric.Length of inner leg seam: 13 cm. / 5.1″Length of outer leg seam: 36 cm. / 14.1″View more
2,BASIC SWIMMING TRUNKS,https://www.zara.com/in/en/basic-swimming-trunks-p02634305.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2634/305/403/2/w/448/2634305403_1_1_1.jpg?ts=1687346680726': 'Image 0 of BASIC SWIMMING TRUNKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2634/305/403/2/w/448/2634305403_2_1_1.jpg?ts=1687346682104': 'Image 1 of BASIC SWIMMING TRUNKS from Zara'}]","₹ 2,290.00",Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 11 cm. / 4.3″Length of outer leg seam: 31 cm. / 12.2″View more
4,LONG CARGO SWIMMING TRUNKS,https://www.zara.com/in/en/long-cargo-swimming-trunks-p08574371.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8574/371/400/2/w/448/8574371400_6_1_1.jpg?ts=1692790056945': 'Image 0 of LONG CARGO SWIMMING TRUNKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8574/371/400/2/w/448/8574371400_6_2_1.jpg?ts=1692790057628': 'Image 1 of LONG CARGO SWIMMING TRUNKS from Zara'}]","₹ 2,590.00",Swimming trunks made of a velvety-finish technical fabric. Elasticated waistband and adjustable drawstring. Front pockets and a rear pocket. Patch pocket appliqué with a flap on the leg. Lining. Length of inner leg seam: 17 cm. / 6.6″Length of outer leg seam: 41 cm. / 16.1″View more
5,STRIPE PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/stripe-print-swimming-trunks-p08574426.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8574/426/555/2/w/448/8574426555_6_1_1.jpg?ts=1692790057286': 'Image 0 of STRIPE PRINT SWIMMING TRUNKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8574/426/555/2/w/448/8574426555_6_2_1.jpg?ts=1692790057437': 'Image 1 of STRIPE PRINT SWIMMING TRUNKS from Zara'}]","₹ 2,590.00",Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstring. Side pockets and a rear pocket. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 36 cm. / 14.1″View more
10,STRIPE PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/stripe-print-swimming-trunks-p00495321.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0495/321/712/2/w/448/0495321712_6_1_1.jpg?ts=1690976519493': 'Image 0 of STRIPE PRINT SWIMMING TRUNKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0495/321/712/2/w/448/0495321712_6_2_1.jpg?ts=1690976519464': 'Image 1 of STRIPE PRINT SWIMMING TRUNKS from Zara'}]","₹ 2,590.00",Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstring. Side pockets and a rear patch pocket. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 33 cm. / 12.9″View more
11,LONG GEOMETRIC PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/long-geometric-print-swimming-trunks-p08574372.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8574/372/500/2/w/448/8574372500_6_1_1.jpg?ts=1688556252826': 'Image 0 of LONG GEOMETRIC PRINT SWIMMING TRUNKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8574/372/500/2/w/448/8574372500_6_2_1.jpg?ts=1688556252856': 'Image 1 of LONG GEOMETRIC PRINT SWIMMING TRUNKS from Zara'}]","₹ 2,590.00","Swimming trunks made of technical fabric with a velvety finish and an elasticated waistband. Featuring front pockets, a rear patch pocket, lining and front zip fly and snap-button fastening. Length of inner leg seam: 17 cm. / 6.6″Length of outer leg seam: 41 cm. / 16.1″View more"
12,SEERSUCKER SWIMMING TRUNKS,https://www.zara.com/in/en/seersucker-swimming-trunks-p08574332.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8574/332/404/2/w/448/8574332404_1_1_1.jpg?ts=1686064963056': 'Image 0 of SEERSUCKER SWIMMING TRUNKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8574/332/404/2/w/448/8574332404_2_1_1.jpg?ts=1686064962922': 'Image 1 of SEERSUCKER SWIMMING TRUNKS from Zara'}]","₹ 2,590.00",Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 11 cm. / 4.3″Length of outer leg seam: 36 cm. / 14.1″View more
14,SEERSUCKER SWIMMING TRUNKS,https://www.zara.com/in/en/seersucker-swimming-trunks-p02634303.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2634/303/505/2/w/448/2634303505_1_1_1.jpg?ts=1686064961991': 'Image 0 of SEERSUCKER SWIMMING TRUNKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2634/303/505/2/w/448/2634303505_2_1_1.jpg?ts=1686064961720': 'Image 1 of SEERSUCKER SWIMMING TRUNKS from Zara'}]","₹ 2,590.00",Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 36 cm. / 14.1″View more
20,LONG SWIMMING TRUNKS,https://www.zara.com/in/en/long-swimming-trunks-p00775400.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0775/303/514/2/w/448/0775303514_6_1_1.jpg?ts=1689782190044': 'Image 0 of LONG SWIMMING TRUNKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0775/303/514/2/w/448/0775303514_6_2_1.jpg?ts=1689782190017': 'Image 1 of LONG SWIMMING TRUNKS from Zara'}]","₹ 2,290.00",Swimming trunks made of a technical fabric. Elastic waistband and adjustable drawstring. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 18 cm. / 7.0″Length of outer leg seam: 42 cm. / 16.5″View more
21,SEERSUCKER SWIMMING TRUNKS,https://www.zara.com/in/en/seersucker-swimming-trunks-p08574373.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8574/373/690/2/w/448/8574373690_6_1_1.jpg?ts=1689162981156': 'Image 0 of SEERSUCKER SWIMMING TRUNKS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8574/373/690/2/w/448/8574373690_6_2_1.jpg?ts=1689162984274': 'Image 1 of SEERSUCKER SWIMMING TRUNKS from Zara'}]","₹ 2,590.00",Swimming trunks made of a technical fabric. Elastic waistband and adjustable drawstring. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 36 cm. / 14.1″View more
