,product_name,link, product_images,price,details
0,HEAT-REACTIVE PRINT T-SHIRT,https://www.zara.com/in/en/heat-reactive-print-t-shirt-p03992321.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/321/802/2/w/448/3992321802_1_1_1.jpg?ts=1692951284701': 'Image 0 of HEAT-REACTIVE PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/321/802/2/w/448/3992321802_2_1_1.jpg?ts=1692951287543': 'Image 1 of HEAT-REACTIVE PRINT T-SHIRT from Zara'}]","₹ 2,290.00",Loose-fitting T-shirt with a round neck and short sleeves. Featuring a front print that changes colour when exposed to heat.
3,T-SHIRT WITH SUNLIGHT-REACTIVE SLOGAN,https://www.zara.com/in/en/t-shirt-with-sunlight-reactive-slogan-p03992319.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/319/982/2/w/448/3992319982_1_1_1.jpg?ts=1692951283852': 'Image 0 of T-SHIRT WITH SUNLIGHT-REACTIVE SLOGAN from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/319/982/2/w/448/3992319982_2_1_1.jpg?ts=1692951288053': 'Image 1 of T-SHIRT WITH SUNLIGHT-REACTIVE SLOGAN from Zara'}]","₹ 2,290.00",Loose-fitting T-shirt with a round neck and short sleeves. Featuring a front slogan print that appears when exposed to sunlight.
6,SWEATSHIRT WITH PRINTED SLOGANS,https://www.zara.com/in/en/sweatshirt-with-printed-slogans-p00722355.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0722/355/802/2/w/448/0722355802_1_1_1.jpg?ts=1692951281874': 'Image 0 of SWEATSHIRT WITH PRINTED SLOGANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0722/355/802/2/w/448/0722355802_2_1_1.jpg?ts=1692951290853': 'Image 1 of SWEATSHIRT WITH PRINTED SLOGANS from Zara'}]","₹ 2,990.00",Loose-fitting sweatshirt with a round neck and short sleeves. Featuring a contrast slogan print all over the garment.
7,CONTRAST PRINTED T-SHIRT,https://www.zara.com/in/en/contrast-printed-t-shirt-p06224298.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/298/251/2/w/448/6224298251_1_1_1.jpg?ts=1692951283692': 'Image 0 of CONTRAST PRINTED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/298/251/2/w/448/6224298251_2_1_1.jpg?ts=1692951287258': 'Image 1 of CONTRAST PRINTED T-SHIRT from Zara'}]","₹ 2,290.00",T-shirt with a round neckline and short sleeves. Contrast prints on the front and back.
9,SWEATSHIRT WITH EMBROIDERY AND SLOGANS,https://www.zara.com/in/en/sweatshirt-with-embroidery-and-slogans-p06224297.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/297/251/2/w/448/6224297251_1_1_1.jpg?ts=1692960481437': 'Image 0 of SWEATSHIRT WITH EMBROIDERY AND SLOGANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/297/251/2/w/448/6224297251_2_1_1.jpg?ts=1692960481868': 'Image 1 of SWEATSHIRT WITH EMBROIDERY AND SLOGANS from Zara'}]","₹ 2,990.00",Round neck sweatshirt with short sleeves. Contrast embroidery and prints on the front and back. Ribbed trims.
11,FADED PRINTED T-SHIRT,https://www.zara.com/in/en/faded-printed-t-shirt-p06224389.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/389/700/2/w/448/6224389700_6_1_1.jpg?ts=1692862301874': 'Image 0 of FADED PRINTED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/389/700/2/w/448/6224389700_6_2_1.jpg?ts=1692862301639': 'Image 1 of FADED PRINTED T-SHIRT from Zara'}]","₹ 2,290.00","Round neck T-shirt with short sleeves. Contrast print on the front. Vintage faded effect.The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.View more"
12,FADED COLOURED T-SHIRT,https://www.zara.com/in/en/faded-coloured-t-shirt-p06462353.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6462/353/802/2/w/448/6462353802_6_1_1.jpg?ts=1692862301679': 'Image 0 of FADED COLOURED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6462/353/802/2/w/448/6462353802_6_2_1.jpg?ts=1692862301964': 'Image 1 of FADED COLOURED T-SHIRT from Zara'}]","₹ 2,290.00","Loose-fitting faded T-shirt with a round neckline and short sleeves.The garment is unique thanks to its special dyeing and washing process. For this reason, it may differ in colour from that of the photo.View more"
13,TIE-DYE PRINTED T-SHIRT,https://www.zara.com/in/en/tie-dye-printed-t-shirt-p01259350.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1259/350/629/2/w/448/1259350629_6_1_1.jpg?ts=1692862302411': 'Image 0 of TIE-DYE PRINTED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1259/350/629/2/w/448/1259350629_6_2_1.jpg?ts=1692862301895': 'Image 1 of TIE-DYE PRINTED T-SHIRT from Zara'}]","₹ 2,290.00","Loose-fitting T-shirt with a round neckline and short sleeves. Creased effect.The garment is unique thanks to its special printing process. For this reason, it may differ in colour from that of the photo.View more"
14,ACID WASH PRINT T-SHIRT,https://www.zara.com/in/en/acid-wash-print-t-shirt-p06224390.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/390/519/2/w/448/6224390519_6_1_1.jpg?ts=1692862509221': 'Image 0 of ACID WASH PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/390/519/2/w/448/6224390519_6_2_1.jpg?ts=1692862509873': 'Image 1 of ACID WASH PRINT T-SHIRT from Zara'}]","₹ 2,290.00","Acid wash T-shirt with round neck and short sleeves.The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.View more"
15,SLOGAN PRINT T-SHIRT,https://www.zara.com/in/en/slogan-print-t-shirt-p06224391.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/391/807/2/w/448/6224391807_6_1_1.jpg?ts=1692718467568': 'Image 0 of SLOGAN PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/391/807/2/w/448/6224391807_6_2_1.jpg?ts=1692715182490': 'Image 1 of SLOGAN PRINT T-SHIRT from Zara'}]","₹ 2,290.00",Faded T-shirt with a round neck and short sleeves. Contrast print on the front.
