,product_name,link, product_images,price,details
0,WIDE-FIT KNIT JOGGERS,https://www.zara.com/in/en/wide-fit-knit-joggers-p05755301.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5755/301/800/2/w/448/5755301800_1_1_1.jpg?ts=1692951284336': 'Image 0 of WIDE-FIT KNIT JOGGERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5755/301/800/2/w/448/5755301800_2_1_1.jpg?ts=1692951287061': 'Image 1 of WIDE-FIT KNIT JOGGERS from Zara'}]","₹ 3,290.00",Knit trousers with an adjustable elasticated waistband. Side pockets and rear pocket detail.
4,RIBBED JOGGERS,https://www.zara.com/in/en/ribbed-joggers-p05039503.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5039/503/800/2/w/0/5039503800_1_1_1.jpg?ts=1692956953130': 'Image 0 of RIBBED JOGGERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5039/503/800/2/w/448/5039503800_2_1_1.jpg?ts=1692956952856': 'Image 1 of RIBBED JOGGERS from Zara'}]","₹ 3,290.00",Trousers featuring an adjustable elasticated waistband with drawstring. Front pockets and rear pocket detail.
8,SLIM FIT CARGO TROUSERS,https://www.zara.com/in/en/slim-fit-cargo-trousers-p09252300.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/9252/300/800/2/w/448/9252300800_1_1_1.jpg?ts=1691144900170': 'Image 0 of SLIM FIT CARGO TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/9252/300/800/2/w/448/9252300800_2_1_1.jpg?ts=1691144901614': 'Image 1 of SLIM FIT CARGO TROUSERS from Zara'}]","₹ 3,990.00",Slim fit trousers. Front pockets and rear pocket details. Patch pockets with flaps on the legs. Front zip fly and button fastening.
13,STRAIGHT FIT CARGO TROUSERS,https://www.zara.com/in/en/straight-fit-cargo-trousers-p06917306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6917/306/818/2/w/448/6917306818_2_1_1.jpg?ts=1691079127613': 'Image 0 of STRAIGHT FIT CARGO TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6917/306/818/2/w/0/6917306818_1_1_1.jpg?ts=1691079126929': 'Image 1 of STRAIGHT FIT CARGO TROUSERS from Zara'}]","₹ 3,990.00",Straight fit trousers. Front pockets and back flap pockets. Patch pockets with flaps on the legs. Adjustable hems with tab. Front zip fly and button fastening.
15,PLEATED TROUSERS,https://www.zara.com/in/en/pleated-trousers-p06332616.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6332/616/807/2/w/448/6332616807_1_1_1.jpg?ts=1692959379367': 'Image 0 of PLEATED TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6332/616/807/2/w/448/6332616807_2_1_1.jpg?ts=1692959379397': 'Image 1 of PLEATED TROUSERS from Zara'}]","₹ 4,990.00",Relaxed fit trousers. Waistband with front pleated details. Front pockets and rear welt pockets. Front zip fly and button fastening.
16,PLEATED TROUSERS WITH BELT,https://www.zara.com/in/en/pleated-trousers-with-belt-p00706605.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0706/605/800/2/w/448/0706605800_1_1_1.jpg?ts=1689763216484': 'Image 0 of PLEATED TROUSERS WITH BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0706/605/800/2/w/448/0706605800_2_1_1.jpg?ts=1689763217443': 'Image 1 of PLEATED TROUSERS WITH BELT from Zara'}]","₹ 4,990.00",Relaxed fit trousers featuring a waist with front pleats and a belt in the same fabric. Front pockets and rear welt pockets. Front zip and button fastening.
20,COMFORT FIT JOGGER WAIST TROUSERS,https://www.zara.com/in/en/comfort-fit-jogger-waist-trousers-p02553310.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2553/310/916/2/w/448/2553310916_1_1_1.jpg?ts=1692776030192': 'Image 0 of COMFORT FIT JOGGER WAIST TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2553/310/916/2/w/448/2553310916_2_1_1.jpg?ts=1692776029772': 'Image 1 of COMFORT FIT JOGGER WAIST TROUSERS from Zara'}]","₹ 3,290.00",Trousers made of stretchy fabric. Adjustable inner elasticated waistband. Front and back pockets.
24,RELAXED-FIT TROUSERS WITH PLEATS,https://www.zara.com/in/en/relaxed-fit-trousers-with-pleats-p06861313.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6861/313/800/2/w/448/6861313800_1_1_1.jpg?ts=1692776632816': 'Image 0 of RELAXED-FIT TROUSERS WITH PLEATS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6861/313/800/2/w/448/6861313800_2_1_1.jpg?ts=1692776632712': 'Image 1 of RELAXED-FIT TROUSERS WITH PLEATS from Zara'}]","₹ 3,990.00",Relaxed-fit trousers. Waistband with front pleated details. Front pockets and rear pockets with buttoned flaps. Front zip fly and button fastening.
25,PLEATED TROUSERS,https://www.zara.com/in/en/pleated-trousers-p06861336.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6861/336/800/2/w/448/6861336800_1_1_1.jpg?ts=1692181731410': 'Image 0 of PLEATED TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6861/336/800/2/w/448/6861336800_2_1_1.jpg?ts=1692181731665': 'Image 1 of PLEATED TROUSERS from Zara'}]","₹ 4,990.00",Straight fit trousers. Waist with front pleated details. Front pockets and rear pocket details. Turn-up hems. Front zip fly and button fastening.
29,100% WOOL SUIT TROUSERS - LIMITED EDITION,https://www.zara.com/in/en/100-wool-suit-trousers---limited-edition-p05830542.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5830/542/800/2/w/448/5830542800_1_1_1.jpg?ts=1689334797751': 'Image 0 of 100% WOOL SUIT TROUSERS - LIMITED EDITION from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5830/542/800/2/w/448/5830542800_2_1_1.jpg?ts=1689334798050': 'Image 1 of 100% WOOL SUIT TROUSERS - LIMITED EDITION from Zara'}]","₹ 5,990.00",Relaxed fit trousers with an elasticated waistband with front pleated details. Front pockets and rear jetted pockets. Hidden metal hook and zip fly front fastening.
