,product_name,link, product_images,price,details
0,TECHNICAL TRAINING TROUSERS,https://www.zara.com/in/en/technical-training-trousers-p01698303.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1698/303/800/3/w/448/1698303800_1_1_1.jpg?ts=1693233016475': 'Image 0 of TECHNICAL TRAINING TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1698/303/800/3/w/448/1698303800_2_1_1.jpg?ts=1693233017047': 'Image 1 of TECHNICAL TRAINING TROUSERS from Zara'}]","₹ 3,290.00",Trousers made of lightweight and stretchy technical fabric.- Elastic waistband with drawstrings. - Front pockets with autolock zip fastening. - Hem with elasticated cuffs. - Printed logo detail.Zara Athleticz.View more
1,BASIC TRAINING SHORTS,https://www.zara.com/in/en/basic-training-shorts-p01943300.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1943/300/712/613/w/448/1943300712_1_1_1.jpg?ts=1692610027401': 'Image 0 of BASIC TRAINING SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1943/300/712/613/w/0/1943300712_2_1_1.jpg?ts=1692610027322': 'Image 1 of BASIC TRAINING SHORTS from Zara'}]","₹ 2,290.00",Workout shorts made of lightweight stretchy technical fabric.- Elasticated waistband with drawstrings.- Side pockets.- Security pocket on the back with a thermo-sealed zip closure.- Lining.- Inner leg length: 18 cm. / 7.0″- Side slits at the hem.- Logo print on the leg.Zara Athleticz.View more
2,COTTON HOODIE,https://www.zara.com/in/en/cotton-hoodie-p00761331.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0761/331/712/3/w/448/0761331712_1_1_1.jpg?ts=1693233015377': 'Image 0 of COTTON HOODIE from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0761/331/712/3/w/448/0761331712_2_1_1.jpg?ts=1693233017265': 'Image 1 of COTTON HOODIE from Zara'}]","₹ 3,990.00",Hoodie made of compact cotton fabric. Adjustable hood and long sleeves. Front pouch pocket. Ribbed trims.Zara Athleticz.
3,JOGGER WAIST COTTON TROUSERS,https://www.zara.com/in/en/jogger-waist-cotton-trousers-p00761335.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0761/335/800/3/w/448/0761335800_1_1_1.jpg?ts=1693233016350': 'Image 0 of JOGGER WAIST COTTON TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0761/335/800/3/w/448/0761335800_2_1_1.jpg?ts=1693233016725': 'Image 1 of JOGGER WAIST COTTON TROUSERS from Zara'}]","₹ 3,290.00",Trousers made of compact cotton fabric. Adjustable elastic waistband with drawstring. Side welt pockets with zip closures. Cuffed hems.Zara Athleticz.View more
6,T-SHIRT WITH PRINTED LOGO,https://www.zara.com/in/en/t-shirt-with-printed-logo-p04274303.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4274/303/250/2/w/448/4274303250_6_1_1.jpg?ts=1692692960490': 'Image 0 of T-SHIRT WITH PRINTED LOGO from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4274/303/250/2/w/448/4274303250_6_2_1.jpg?ts=1692692960207': 'Image 1 of T-SHIRT WITH PRINTED LOGO from Zara'}]","₹ 2,290.00",T-shirt made of a cotton fabric. Round neck and short sleeves. Contrast prints on the front and back.Zara Athleticz.
9,CROSS TRAINING SNEAKERS,https://www.zara.com/in/en/cross-training-sneakers-p12328220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/2328/220/800/2/w/448/2328220800_6_1_1.jpg?ts=1692800354201': 'Image 0 of CROSS TRAINING SNEAKERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/2328/220/800/2/w/448/2328220800_6_2_1.jpg?ts=1692800354609': 'Image 1 of CROSS TRAINING SNEAKERS from Zara'}]","₹ 8,590.00","Sneakers. Designed for training, with improved shock absorption, a stabilising heel that holds the entire back of the foot and a reinforced toecap. Made of a special fabric that is highly resistant to friction thanks to the form of the threads, which also helps breathability. Replaceable insole. ATHLETICZ Collection.View more"
11,TECHNICAL BACKPACK,https://www.zara.com/in/en/technical-backpack-p13241220.html,"[{'https://static.zara.net/photos///2023/I/1/2/p/3241/220/802/2/w/448/3241220802_6_1_1.jpg?ts=1692887333245': 'Image 0 of TECHNICAL BACKPACK from Zara'}, {'https://static.zara.net/photos///2023/I/1/2/p/3241/220/802/2/w/448/3241220802_6_2_1.jpg?ts=1692887333233': 'Image 1 of TECHNICAL BACKPACK from Zara'}]","₹ 4,990.00","Multi-pocket backpack. The main compartment has zip closure and its interior has three small pockets with zip closure. Featuring two large front pockets, one with zip and the other with adjustable fastening. Side pockets with adjustable fastening. Top handle and two adjustable shoulder straps. Ergonomic padded back for improved comfort during use. Adjustable strap on the chest with clip buckle fastening.Height x Length x Width 44 x 27 x 17 cm. / 17.3 x 10.6 x 6.6″View more"
12,REFLECTIVE EFFECT JACKET,https://www.zara.com/in/en/reflective-effect-jacket-p01732314.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1732/314/446/3/w/448/1732314446_1_1_1.jpg?ts=1693233018145': 'Image 0 of REFLECTIVE EFFECT JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1732/314/446/3/w/448/1732314446_2_1_1.jpg?ts=1693233018361': 'Image 1 of REFLECTIVE EFFECT JACKET from Zara'}]","₹ 7,590.00",Jacket made of a very lightweight and reflective technical fabric.- High neck with stow-away hood on the inside.- Long sleeves with elastic cuffs.- Thermo-sealed inner seams.- Pocket with autolock zip fastening on the chest and hip pockets.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.View more
14,HATTHANAN™ PRINT T-SHIRT,https://www.zara.com/in/en/hatthanan--print-t-shirt-p00761314.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0761/314/250/2/w/448/0761314250_1_1_1.jpg?ts=1691052738825': 'Image 0 of HATTHANAN™ PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0761/314/250/2/w/448/0761314250_2_1_1.jpg?ts=1691052740956': 'Image 1 of HATTHANAN™ PRINT T-SHIRT from Zara'}]","₹ 2,290.00",T-shirt made of cotton. Round neck and short sleeves. Contrast Hatthanan™ graphic print on the back.Zara Athleticz.
16,TECHNICAL TRAINING SWEATSHIRT,https://www.zara.com/in/en/technical-training-sweatshirt-p01698302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1698/302/712/2/w/448/1698302712_1_1_1.jpg?ts=1692607575495': 'Image 0 of TECHNICAL TRAINING SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1698/302/712/2/w/448/1698302712_2_1_1.jpg?ts=1692607575297': 'Image 1 of TECHNICAL TRAINING SWEATSHIRT from Zara'}]","₹ 3,990.00",Sweatshirt made of an elastic and lightweight technical fabric.- Round neck and long sleeves with ribbed cuffs. - Adjustable hem with elastic side gores. - Printed front logo detail.Zara Athleticz.View more
