,product_name,link, product_images,price,details
0,100% LINEN SUIT BLAZER,https://www.zara.com/in/en/100-linen-suit-blazer-p01564102.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1564/102/506/2/w/489/1564102506_1_1_1.jpg?ts=1688573213489': 'Image 0 of 100% LINEN SUIT BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1564/102/506/2/w/489/1564102506_2_1_1.jpg?ts=1688573213424': 'Image 1 of 100% LINEN SUIT BLAZER from Zara'}]","₹ 11,990.00",Regular-fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Chest welt pocket and flap pockets on the hip. Inside pocket. Central back vent at the hem and a button-up front.Origins special collection.View more
1,JACKET WITH POCKETS,https://www.zara.com/in/en/jacket-with-pockets-p04164401.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4164/401/916/2/w/489/4164401916_1_1_1.jpg?ts=1688570564490': 'Image 0 of JACKET WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4164/401/916/2/w/489/4164401916_2_1_1.jpg?ts=1688570564527': 'Image 1 of JACKET WITH POCKETS from Zara'}]","₹ 7,590.00",Faded regular-fit collared jacket with long sleeves and buttoned cuffs. Patch pockets with flaps at the hip. Button-up front.Origins special collection.View more
2,100% LINEN PLEATED TROUSERS,https://www.zara.com/in/en/100-linen-pleated-trousers-p04164101.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4164/101/512/2/w/489/4164101512_1_1_1.jpg?ts=1688574158110': 'Image 0 of 100% LINEN PLEATED TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4164/101/512/2/w/489/4164101512_2_1_1.jpg?ts=1688574158637': 'Image 1 of 100% LINEN PLEATED TROUSERS from Zara'}]","₹ 5,990.00",Regular fit trousers made of a linen fabric. waistband with front pleated details. Front pockets and rear jetted pockets. Front zip fly and button fastening.Origins special collection.View more
3,KNIT COTTON POLO SHIRT,https://www.zara.com/in/en/knit-cotton-polo-shirt-p02632302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2632/302/832/2/w/489/2632302832_1_1_1.jpg?ts=1688573249947': 'Image 0 of KNIT COTTON POLO SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2632/302/832/2/w/489/2632302832_2_1_1.jpg?ts=1688573250116': 'Image 1 of KNIT COTTON POLO SHIRT from Zara'}]","₹ 3,290.00",Round collar knit polo shirt in spun cotton fabric. Button fastening on the front and short sleeves. Ribbed trims.Origins special collection.
5,OXFORD SHIRT,https://www.zara.com/in/en/oxford-shirt-p07545306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/7545/306/500/202/w/489/7545306500_1_1_1.jpg?ts=1688569962241': 'Image 0 of OXFORD SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/7545/306/500/202/w/489/7545306500_2_1_1.jpg?ts=1688569962374': 'Image 1 of OXFORD SHIRT from Zara'}]","₹ 4,990.00",Regular-fit shirt made of a textured cotton fabric. Buttoned spread collar and long sleeves with buttoned cuffs. Button-up front.Origins special collection.View more
6,SHORT SLEEVE HEAVY WEIGHT T-SHIRT,https://www.zara.com/in/en/short-sleeve-heavy-weight-t-shirt-p00761323.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/0761/323/250/2/w/489/0761323250_6_1_1.jpg?ts=1675790430296': 'Image 0 of SHORT SLEEVE HEAVY WEIGHT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/0761/323/250/2/w/489/0761323250_6_2_1.jpg?ts=1675790430674': 'Image 1 of SHORT SLEEVE HEAVY WEIGHT T-SHIRT from Zara'}]","₹ 1,990.00",Regular-fit T-shirt in compact cotton fabric. Round neck and short sleeves.Origins special collection.
7,COTTON POPLIN SHIRT,https://www.zara.com/in/en/cotton-poplin-shirt-p07545519.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7545/519/250/202/w/489/7545519250_1_1_1.jpg?ts=1688628727349': 'Image 0 of COTTON POPLIN SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7545/519/250/202/w/489/7545519250_2_1_1.jpg?ts=1688628728452': 'Image 1 of COTTON POPLIN SHIRT from Zara'}]","₹ 4,990.00",Regular-fit shirt made of a lightweight cotton poplin fabric. Spread collar and long sleeves with buttoned cuffs. Button-up front.Origins special collection.View more
8,REGULAR FIT JEANS,https://www.zara.com/in/en/regular-fit-jeans-p06688480.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6688/480/423/2/w/489/6688480423_1_1_1.jpg?ts=1688570564616': 'Image 0 of REGULAR FIT JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6688/480/423/2/w/489/6688480423_2_1_1.jpg?ts=1688570565153': 'Image 1 of REGULAR FIT JEANS from Zara'}]","₹ 4,990.00",Regular fit jeans made of cotton denim. Five pockets. Faded effect. Button-up front.Origins special collection.
9,CHAMBRAY SHIRT,https://www.zara.com/in/en/chambray-shirt-p07545518.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7545/518/403/3/w/489/7545518403_1_1_1.jpg?ts=1688574055257': 'Image 0 of CHAMBRAY SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7545/518/403/3/w/489/7545518403_2_1_1.jpg?ts=1688574061908': 'Image 1 of CHAMBRAY SHIRT from Zara'}]","₹ 5,990.00",Regular-fit spread collar shirt made of cotton. Long sleeves with buttoned cuffs. Chest patch pocket. Faded effect. Button-up front.Origins special collection.View more
10,STRIPED SHIRT,https://www.zara.com/in/en/striped-shirt-p05682351.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5682/351/104/2/w/489/5682351104_1_1_1.jpg?ts=1688572300235': 'Image 0 of STRIPED SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5682/351/104/2/w/489/5682351104_2_1_1.jpg?ts=1688572300194': 'Image 1 of STRIPED SHIRT from Zara'}]","₹ 4,990.00",Regular fit shirt made of a cotton fabric. Spread collar and long sleeves with buttoned cuffs. Button-up front.Origins special collection.
13,100% LINEN SUIT TROUSERS,https://www.zara.com/in/en/100-linen-suit-trousers-p01564101.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1564/101/401/2/w/489/1564101401_1_1_1.jpg?ts=1689605441849': 'Image 0 of 100% LINEN SUIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1564/101/401/2/w/489/1564101401_2_1_1.jpg?ts=1689605443295': 'Image 1 of 100% LINEN SUIT TROUSERS from Zara'}]","₹ 5,990.00",Straight fit trousers made of linen. Front pockets and buttoned jetted pockets on the back. Front zip fly and top button fastening.
18,RECTANGULAR SUNGLASSES,https://www.zara.com/in/en/rectangular-sunglasses-p02750422.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/2750/422/700/202/w/489/2750422700_6_1_1.jpg?ts=1678959020747': 'Image 0 of RECTANGULAR SUNGLASSES from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/2750/422/700/202/w/489/2750422700_6_2_1.jpg?ts=1678959022651': 'Image 1 of RECTANGULAR SUNGLASSES from Zara'}]","₹ 5,990.00",Sunglasses with an acetate frame. Polarised lenses. Case included.UV/UVA 400 protection. Category 3.Origins special collection.View more
