,Product_Name,Link,Product_Image,Price,Details
0,CHAIN LINK COIN NECKLACE,https://www.zara.com/in/en/chain-link-coin-necklace-p04548245.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4548/245/808/2/w/448/4548245808_1_1_1.jpg?ts=1692868198326': 'Image 0 of CHAIN LINK COIN NECKLACE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4548/245/808/2/w/448/4548245808_2_1_1.jpg?ts=1692868198317': 'Image 1 of CHAIN LINK COIN NECKLACE from Zara'}]","₹ 1,890.00",Necklace featuring metal links in different sizes with raised coin pendants. Lobster clasp fastening.
2,LEATHER BELT WITH SQUARE BUCKLE,https://www.zara.com/in/en/leather-belt-with-square-buckle-p06399203.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6399/203/700/2/w/448/6399203700_1_1_1.jpg?ts=1692868198780': 'Image 0 of LEATHER BELT WITH SQUARE BUCKLE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6399/203/700/2/w/448/6399203700_6_1_1.jpg?ts=1692947007669': 'Image 1 of LEATHER BELT WITH SQUARE BUCKLE from Zara'}]","₹ 2,590.00",Leather belt with a square buckle and loops lined in the same material.
5,DENIM SASH BELT,https://www.zara.com/in/en/denim-sash-belt-p03183205.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3183/205/400/13/w/448/3183205400_1_1_1.jpg?ts=1692893221589': 'Image 0 of DENIM SASH BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3183/205/400/13/w/448/3183205400_2_1_1.jpg?ts=1692893221561': 'Image 1 of DENIM SASH BELT from Zara'}]","₹ 2,290.00",Sash belt in denim fabric. Asymmetric waistband. Front pockets. Metal button fastening on the front.
7,FLORAL NECK BOW,https://www.zara.com/in/en/floral-neck-bow-p00653270.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0653/270/400/12/w/448/0653270400_1_1_1.jpg?ts=1692893120657': 'Image 0 of FLORAL NECK BOW from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0653/270/400/12/w/448/0653270400_2_1_1.jpg?ts=1692893116815': 'Image 1 of FLORAL NECK BOW from Zara'}]",₹ 990.00,Long bow with floral detail made of the same fabric.
8,DENIM SASH BELT WITH POCKETS,https://www.zara.com/in/en/denim-sash-belt-with-pockets-p03183203.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3183/203/400/13/w/448/3183203400_1_1_1.jpg?ts=1692893185957': 'Image 0 of DENIM SASH BELT WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3183/203/400/13/w/448/3183203400_2_1_1.jpg?ts=1692893186348': 'Image 1 of DENIM SASH BELT WITH POCKETS from Zara'}]","₹ 2,290.00",Sash belt in denim fabric with patch pockets.
10,TWILL SASH BELT WITH POCKETS,https://www.zara.com/in/en/twill-sash-belt-with-pockets-p03183209.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3183/209/712/13/w/448/3183209712_1_1_1.jpg?ts=1692893247924': 'Image 0 of TWILL SASH BELT WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3183/209/712/13/w/448/3183209712_2_1_1.jpg?ts=1692893245893': 'Image 1 of TWILL SASH BELT WITH POCKETS from Zara'}]","₹ 2,290.00",Twill sash belt with patch pockets.
12,DENIM TOP WITH RHINESTONES,https://www.zara.com/in/en/denim-top-with-rhinestones-p00653273.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0653/273/400/12/w/448/0653273400_2_1_1.jpg?ts=1692947812175': 'Image 0 of DENIM TOP WITH RHINESTONES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0653/273/400/2/w/448/0653273400_6_1_1.jpg?ts=1689065600553': 'Image 1 of DENIM TOP WITH RHINESTONES from Zara'}]","₹ 2,590.00","Top made of denim. Featuring a straight neckline, thin straps, rhinestone appliqués and metal hook fastening at the back."
13,MAXI PEARL BEAD NECKLACE,https://www.zara.com/in/en/maxi-pearl-bead-necklace-p01856344.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/344/109/2/w/448/1856344109_1_1_1.jpg?ts=1692607629807': 'Image 0 of MAXI PEARL BEAD NECKLACE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/344/109/2/w/448/1856344109_2_1_1.jpg?ts=1692607629278': 'Image 1 of MAXI PEARL BEAD NECKLACE from Zara'}]","₹ 1,990.00",Double necklace with faux pearl appliqués. Lobster clasp fastening.
14,PACK OF FAUX PEARL NECKLACES,https://www.zara.com/in/en/pack-of-faux-pearl-necklaces-p01856345.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/345/109/3/w/448/1856345109_1_1_1.jpg?ts=1692633398097': 'Image 0 of PACK OF FAUX PEARL NECKLACES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/345/109/2/w/448/1856345109_2_1_1.jpg?ts=1692607629684': 'Image 1 of PACK OF FAUX PEARL NECKLACES from Zara'}]","₹ 2,990.00",Pack of necklaces:-Long necklaces with faux pearl appliqués.-Necklace with faux pearl appliqués. Lobster clasp fastening.
18,LEATHER CORD NECKLACE WITH PLATE,https://www.zara.com/in/en/leather-cord-necklace-with-plate-p01856349.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/349/303/2/w/448/1856349303_1_1_1.jpg?ts=1692607629626': 'Image 0 of LEATHER CORD NECKLACE WITH PLATE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/349/303/2/w/448/1856349303_2_1_1.jpg?ts=1692607629586': 'Image 1 of LEATHER CORD NECKLACE WITH PLATE from Zara'}]","₹ 1,990.00",Metal plate necklace with leather cord.
