,Product_Name,Link,Product_Image,Price,Details
0,FABRIC BELT BAG,https://www.zara.com/in/en/fabric-belt-bag-p16021210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6021/210/719/2/w/448/6021210719_1_1_1.jpg?ts=1692877244813': 'Image 0 of FABRIC BELT BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6021/210/719/2/w/448/6021210719_2_1_1.jpg?ts=1692877244387': 'Image 1 of FABRIC BELT BAG from Zara'}]","₹ 2,590.00","Fabric belt bag. Adjustable strap. Front zip pocket. Zip closure. Height x Length x Width 17,9 x 29,3 x 6 cm. / 7.0 x 11.5 x 2.3″"
1,FABRIC CROSSBODY BAG,https://www.zara.com/in/en/fabric-crossbody-bag-p16020210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6020/210/716/2/w/448/6020210716_1_1_1.jpg?ts=1686314716035': 'Image 0 of FABRIC CROSSBODY BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6020/210/716/2/w/448/6020210716_2_1_1.jpg?ts=1686314714100': 'Image 1 of FABRIC CROSSBODY BAG from Zara'}]","₹ 2,890.00",Fabric crossbody bag. Adjustable fabric crossbody strap. Zip closure.Height x Length x Width 42 x 24 x 15 cm. / 16.5 x 9.4 x 5.9″
2,FABRIC CROSSBODY BAG,https://www.zara.com/in/en/fabric-crossbody-bag-p16701210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6701/210/529/2/w/448/6701210529_1_1_1.jpg?ts=1692877244345': 'Image 0 of FABRIC CROSSBODY BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6701/210/529/2/w/448/6701210529_2_1_1.jpg?ts=1692877244200': 'Image 1 of FABRIC CROSSBODY BAG from Zara'}]","₹ 2,590.00",Fabric crossbody bag. Adjustable fabric crossbody strap. Zip closure.Height x Length x Width 12 x 31 x 12 cm. / 4.7 x 12.2 x 4.7″
4,CROSSBODY PURSE,https://www.zara.com/in/en/crossbody-purse-p16072210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6072/210/719/2/w/448/6072210719_1_1_1.jpg?ts=1692877244495': 'Image 0 of CROSSBODY PURSE from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6072/210/719/2/w/448/6072210719_2_1_1.jpg?ts=1692877245051': 'Image 1 of CROSSBODY PURSE from Zara'}]","₹ 2,290.00",Crossbody bag that converts into a clutch. Interior with several compartments. Detachable chain shoulder strap. Golden metal hardware. Zip closure.Height x Length x Width 14 x 23 x 3 cm. / 5.5 x 9.0 x 1.1″View more
8,CROSSBODY BAG,https://www.zara.com/in/en/crossbody-bag-p16006210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6006/210/800/2/w/448/6006210800_1_1_1.jpg?ts=1692877244799': 'Image 0 of CROSSBODY BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6006/210/800/2/w/448/6006210800_2_1_1.jpg?ts=1692877244300': 'Image 1 of CROSSBODY BAG from Zara'}]","₹ 2,890.00",Crossbody bag with adjustable strap. Lining. Zip closure.Height x Length x Width 17 x 30 x 11 cm. / 6.6 x 11.8 x 4.3″
10,CROCHET BUCKET BAG WITH FRINGING,https://www.zara.com/in/en/crochet-bucket-bag-with-fringing-p16149210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6149/210/800/2/w/448/6149210800_1_1_1.jpg?ts=1692877244950': 'Image 0 of CROCHET BUCKET BAG WITH FRINGING from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6149/210/800/2/w/494/6149210800_2_1_1.jpg?ts=1692877245018': 'Image 1 of CROCHET BUCKET BAG WITH FRINGING from Zara'}]","₹ 4,990.00",Crochet bucket bag with fringing on the sides. Shoulder strap. Magnetic clasp closure. Height x Length x Width 35 x 27 x 11 cm. / 13.7 x 10.6 x 4.3″View more
13,FAUX PEARL SHOULDER BAG,https://www.zara.com/in/en/faux-pearl-shoulder-bag-p16088210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6088/210/910/2/w/448/6088210910_1_1_1.jpg?ts=1692877245309': 'Image 0 of FAUX PEARL SHOULDER BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6088/210/910/2/w/448/6088210910_2_1_1.jpg?ts=1692877245482': 'Image 1 of FAUX PEARL SHOULDER BAG from Zara'}]","₹ 3,290.00",Shoulder bag with faux pearl exterior. Shoulder strap and detachable crossbody strap. Lined interior. Magnetic clasp closure. Height x Length x Width: 22 x 19 x 6.5 cm. / 8.6 x 7.4 x 2.5″View more
15,PATCHWORK SHOULDER BAG,https://www.zara.com/in/en/patchwork-shoulder-bag-p16140210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6140/210/202/2/w/448/6140210202_1_1_1.jpg?ts=1692702214362': 'Image 0 of PATCHWORK SHOULDER BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6140/210/202/2/w/448/6140210202_2_1_1.jpg?ts=1692702214327': 'Image 1 of PATCHWORK SHOULDER BAG from Zara'}]","₹ 4,990.00","Shoulder bag in patchwork-effect fabric. Front and side flap pockets. Shoulder straps. Zip closure. Height x Length x Width 21,6 x 44 x 17,3 cm. / 8.5 x 17.3 x 6.8″View more"
16,PATCHWORK BELT BAG WITH POCKETS,https://www.zara.com/in/en/patchwork-belt-bag-with-pockets-p16142210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6142/210/017/2/w/448/6142210017_1_1_1.jpg?ts=1692702214596': 'Image 0 of PATCHWORK BELT BAG WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6142/210/017/2/w/448/6142210017_2_1_1.jpg?ts=1692702214576': 'Image 1 of PATCHWORK BELT BAG WITH POCKETS from Zara'}]","₹ 2,890.00",Belt bag in denim fabric. Patchwork-effect pockets in different sizes. Adjustable strap. Height x Length x Width: 15.5 x 38 x 7.7 cm. / 6.1 x 14.9 x 3.0″
19,METALLIC FABRIC TOTE BAG,https://www.zara.com/in/en/metallic-fabric-tote-bag-p16125210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6125/210/303/2/w/448/6125210303_1_1_1.jpg?ts=1692705620843': 'Image 0 of METALLIC FABRIC TOTE BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6125/210/303/2/w/448/6125210303_2_1_1.jpg?ts=1692705621777': 'Image 1 of METALLIC FABRIC TOTE BAG from Zara'}]","₹ 5,990.00",Metallic-effect tote bag. Shoulder straps. Zip closure. Height x Length x Width: 43 x 58 x 11 cm. / 16.9 x 22.8 x 4.3″
20,METALLIC FABRIC TOTE BAG,https://www.zara.com/in/en/metallic-fabric-tote-bag-p16123210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6123/210/808/2/w/448/6123210808_1_1_1.jpg?ts=1692705620480': 'Image 0 of METALLIC FABRIC TOTE BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6123/210/808/2/w/448/6123210808_2_1_1.jpg?ts=1692705621887': 'Image 1 of METALLIC FABRIC TOTE BAG from Zara'}]","₹ 3,290.00",Metallic-effect tote bag. Handles and shoulder straps. Magnetic clasp closure. Height x Length x Width: 26 x 43 x 18 cm. / 10.2 x 16.9 x 7.0″
22,METALLIC MINAUDIÈRE,https://www.zara.com/in/en/metallic-minaudiere-p16317110.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6292/210/808/2/w/448/6292210808_1_1_1.jpg?ts=1692705620496': 'Image 0 of METALLIC MINAUDIÈRE from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6292/210/808/2/w/448/6292210808_6_1_1.jpg?ts=1692783385655': 'Image 1 of METALLIC MINAUDIÈRE from Zara'}]","₹ 3,990.00","Oval minaudière. Brushed metallic effect. Chain crossbody strap. Metal clasp closure.Height x Length x Width 18 x 19 x 6,5 cm. / 7.0 x 7.4 x 2.5″"
