,Product_Name,Link,Product_Image,Price,Details
0,POPLIN SHIRT,https://www.zara.com/in/en/poplin-shirt-p04387036.html,[],"₹ 2,290.00",Collared V-neck shirt with long sleeves and a button-up front.
4,POPLIN SHIRT,https://www.zara.com/in/en/poplin-shirt-p04387256.html,[],"₹ 2,290.00","Shirt with a johnny collar, long sleeves and a button-up front."
5,COTTON BLEND OXFORD SHIRT,https://www.zara.com/in/en/cotton-blend-oxford-shirt-p08372046.html,[],"₹ 2,590.00",Shirt made of a cotton blend. Johnny collar and long sleeves. Asymmetric hem. Button-up front.
8,OXFORD SHIRT,https://www.zara.com/in/en/oxford-shirt-p08372060.html,[],"₹ 2,590.00",Shirt made of a cotton blend. Johnny collar and long sleeves. Button-up front.
12,STRIPED OVERSIZE SHIRT,https://www.zara.com/in/en/striped-oversize-shirt-p09479267.html,[],"₹ 3,290.00",Loose-fitting shirt featuring a Johnny collar and long sleeves with cuffs. Chest patch pocket. Pleated detail on the back. Button-up front.
15,ZW MARINE STRAIGHT FIT HIGH-WAIST POCKET JEANS,https://www.zara.com/in/en/zw-marine-straight-fit-high-waist-pocket-jeans-p09632250.html,[],"₹ 3,290.00",Slim Fit - Relaxed Leg - High WaistZW ZARA WOMAN JEANSHigh-waist jeans with belt loops. Patch pockets on the front and back. Contrast visible topstitching detail. Seamless hems. Front zip fly and button fastening.
16,ZW MARINE STRAIGHT-LEG HIGH-WAIST JEANS,https://www.zara.com/in/en/zw-marine-straight-leg-high-waist-jeans-p08307240.html,[],"₹ 3,290.00",Slim Fit - Relaxed Leg - High WaistZW ZARA WOMAN JEANSHigh-waist jeans with back patch pockets. Seamless hems. Front zip fly and top button fastening.
20,100% WOOL KNIT POLO SWEATER,https://www.zara.com/in/en/100-wool-knit-polo-sweater-p09598170.html,[],"₹ 4,990.00","Fitted sweater made of 100% extra soft wool. Featuring a polo collar, long sleeves and front button fastening."
23,CASHMERE KNIT SWEATER,https://www.zara.com/in/en/cashmere-knit-sweater-p06771126.html,[],"₹ 11,990.00",Sweater made of a cashmere and wool blend. Round neck and long sleeves. Matching ribbed trims.
26,CROPPED KNIT SWEATER,https://www.zara.com/in/en/cropped-knit-sweater-p03390102.html,[],"₹ 2,290.00",Short sweater with a round neckline and long sleeves.
30,BASIC HIGH NECK KNIT SWEATER,https://www.zara.com/in/en/basic-high-neck-knit-sweater-p08851123.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8851/123/800/22/w/448/8851123800_1_1_1.jpg?ts=1693219160353': 'Image 0 of BASIC HIGH NECK KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8851/123/800/22/w/448/8851123800_2_1_1.jpg?ts=1693219160248': 'Image 1 of BASIC HIGH NECK KNIT SWEATER from Zara'}]","₹ 1,890.00","Sweater featuring a high neck, long sleeves with decorative metal buttons and ribbed trims."
35,HIGH-WAIST CULOTTE TROUSERS,https://www.zara.com/in/en/high-waist-culotte-trousers-p07600683.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/329/800/2/w/448/9929329800_1_1_1.jpg?ts=1692876611654': 'Image 0 of HIGH-WAIST CULOTTE TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/329/800/2/w/448/9929329800_2_1_1.jpg?ts=1692876613115': 'Image 1 of HIGH-WAIST CULOTTE TROUSERS from Zara'}]","₹ 3,290.00","High-waist trousers featuring front pockets and rear welt pockets. Short and wide leg design. Front zip fly, interior button and metal hook fastening."
40,SHORT TAILORED WAISTCOAT,https://www.zara.com/in/en/short-tailored-waistcoat-p09929329.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/329/704/2/w/448/9929329704_1_1_1.jpg?ts=1693208680604': 'Image 0 of SHORT TAILORED WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/329/704/2/w/448/9929329704_2_1_1.jpg?ts=1693208681036': 'Image 1 of SHORT TAILORED WAISTCOAT from Zara'}]","₹ 2,990.00",V-neck waistcoat. Featuring false welt pockets and button fastening on the front.
45,DOUBLE-BREASTED OVERSIZED BLAZER,https://www.zara.com/in/en/double-breasted-oversized-blazer-p02753132.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2753/332/803/2/w/448/2753332803_1_1_1.jpg?ts=1692203340480': 'Image 0 of DOUBLE-BREASTED OVERSIZED BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2753/132/803/2/w/448/2753132803_2_1_1.jpg?ts=1692700012053': 'Image 1 of DOUBLE-BREASTED OVERSIZED BLAZER from Zara'}]","₹ 4,590.00","Loose-fitting blazer featuring a lapel collar, long sleeves with pronounced shoulders, front flap pockets and front double-breasted button fastening."
50,CROPPED TROUSERS,https://www.zara.com/in/en/cropped-trousers-p09929328.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/328/800/18/w/448/9929328800_1_1_1.jpg?ts=1692798819039': 'Image 0 of CROPPED TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/328/800/18/w/448/9929328800_2_1_1.jpg?ts=1692798818180': 'Image 1 of CROPPED TROUSERS from Zara'}]","₹ 2,290.00",High-waist cropped trousers with an elasticated waistband and drawstring. Side darts and front pockets.
55,CARROT FIT TROUSERS WITH DARTS DETAIL,https://www.zara.com/in/en/carrot-fit-trousers-with-darts-detail-p01478060.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1478/060/800/2/w/448/1478060800_1_1_1.jpg?ts=1692791553719': 'Image 0 of CARROT FIT TROUSERS WITH DARTS DETAIL from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1478/060/800/26/w/448/1478060800_2_1_1.jpg?ts=1692877539382': 'Image 1 of CARROT FIT TROUSERS WITH DARTS DETAIL from Zara'}]","₹ 4,990.00",Mid-waist trousers made of a viscose blend. Belt loops. Side pockets and rear welt pockets. Dart details on the front. Pleated hem with contrast button. Front zip fly and button fastening.
59,OVERSIZED SHIRT,https://www.zara.com/in/en/oversized-shirt-p04432013.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4432/013/250/17/w/448/4432013250_1_1_1.jpg?ts=1692193685526': 'Image 0 of OVERSIZED SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4432/013/250/17/w/448/4432013250_2_1_1.jpg?ts=1692193684440': 'Image 1 of OVERSIZED SHIRT from Zara'}]","₹ 2,590.00",Loose-fitting collared shirt featuring long sleeves with cuffs. Chest patch pocket. Pleated detail at the back. Button-up fastening on the front.
