,Product_Name,Link,Product_Image,Price,Details
0,TAILORED DOUBLE-BREASTED BLAZER,https://www.zara.com/in/en/tailored-double-breasted-blazer-p07608548.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7608/548/800/21/w/448/7608548800_2_1_1.jpg?ts=1691149647678': 'Image 0 of TAILORED DOUBLE-BREASTED BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7608/548/800/21/w/448/7608548800_2_3_1.jpg?ts=1691149650997': 'Image 1 of TAILORED DOUBLE-BREASTED BLAZER from Zara'}]","₹ 5,590.00",Blazer featuring a lapel collar with long sleeves and padded shoulders. Front flap pockets. Double-breasted button fastening on the front.
1,STRIPE TEXTURED BLAZER,https://www.zara.com/in/en/stripe-textured-blazer-p08341112.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8341/112/070/2/w/448/8341112070_1_1_1.jpg?ts=1691577078132': 'Image 0 of STRIPE TEXTURED BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8341/112/070/2/w/448/8341112070_2_1_1.jpg?ts=1691577081173': 'Image 1 of STRIPE TEXTURED BLAZER from Zara'}]","₹ 5,990.00",Lapelless blazer with long sleeves and shoulder pads. Front patch pockets. Metal hook fastening at the front.
2,TAILORED WAISTCOAT,https://www.zara.com/in/en/tailored-waistcoat-p02753535.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2753/535/800/2/w/448/2753535800_1_1_1.jpg?ts=1691758137247': 'Image 0 of TAILORED WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2753/535/800/2/w/448/2753535800_2_1_1.jpg?ts=1691758139956': 'Image 1 of TAILORED WAISTCOAT from Zara'}]","₹ 2,990.00",Sleeveless waistcoat with a V-neck. Front jetted pockets on the front. Button-up front.
3,STRAIGHT BLAZER,https://www.zara.com/in/en/straight-blazer-p09929327.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/327/526/2/w/448/9929327526_1_1_1.jpg?ts=1691758471978': 'Image 0 of STRAIGHT BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/327/526/2/w/448/9929327526_2_1_1.jpg?ts=1691758471951': 'Image 1 of STRAIGHT BLAZER from Zara'}]","₹ 4,990.00",Blazer featuring a lapel collar with long sleeves and padded shoulders. Front flap pockets. Single button fastening on the front.
4,BLAZER WITH ROLLED-UP SLEEVES,https://www.zara.com/in/en/blazer-with-rolled-up-sleeves-p02140760.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2140/760/800/12/w/448/2140760800_1_1_1.jpg?ts=1689595278875': 'Image 0 of BLAZER WITH ROLLED-UP SLEEVES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2140/760/800/12/w/448/2140760800_2_1_1.jpg?ts=1689595281355': 'Image 1 of BLAZER WITH ROLLED-UP SLEEVES from Zara'}]","₹ 4,490.00",Open blazer with a lapel collar and padded shoulders. Turn-up sleeves falling below the elbow with sleeve tabs and a golden button. Front flap pockets.
5,HIGH NECK TEXTURED BLAZER,https://www.zara.com/in/en/high-neck-textured-blazer-p08001513.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8001/513/251/2/w/448/8001513251_6_1_1.jpg?ts=1690529214282': 'Image 0 of HIGH NECK TEXTURED BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8001/513/251/2/w/448/8001513251_6_2_1.jpg?ts=1690529213391': 'Image 1 of HIGH NECK TEXTURED BLAZER from Zara'}]","₹ 5,990.00",Blazer featuring a high neck and long sleeves with padded shoulders. False flap pockets and front patch pockets. Front hook fastening.
6,SHORT TAILORED WAISTCOAT,https://www.zara.com/in/en/short-tailored-waistcoat-p09929329.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/329/704/2/w/448/9929329704_1_1_1.jpg?ts=1693208680604': 'Image 0 of SHORT TAILORED WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/329/704/2/w/448/9929329704_2_1_1.jpg?ts=1693208681036': 'Image 1 of SHORT TAILORED WAISTCOAT from Zara'}]","₹ 2,990.00",V-neck waistcoat. Featuring false welt pockets and button fastening on the front.
7,FITTED BLAZER WITH SEAMS,https://www.zara.com/in/en/fitted-blazer-with-seams-p02753345.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2753/345/401/2/w/448/2753345401_1_1_1.jpg?ts=1692352292134': 'Image 0 of FITTED BLAZER WITH SEAMS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2753/345/401/2/w/448/2753345401_2_1_1.jpg?ts=1692352293592': 'Image 1 of FITTED BLAZER WITH SEAMS from Zara'}]","₹ 5,990.00",Blazer with a lapel collar and long sleeves with shoulder pads. Front flap pockets. Visible seam detail on the waist. Fastens at the front with buttons.
10,LONG BLAZER WITH BELT,https://www.zara.com/in/en/long-blazer-with-belt-p08165642.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8165/642/420/2/w/448/8165642420_1_1_1.jpg?ts=1692362193581': 'Image 0 of LONG BLAZER WITH BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8165/642/420/2/w/448/8165642420_2_1_1.jpg?ts=1692362193644': 'Image 1 of LONG BLAZER WITH BELT from Zara'}]","₹ 7,590.00","Blazer with a lapel collar, long sleeves and shoulder pads. Front flap pockets. Belt with buckle lined in matching fabric. Contrast lining. Double-breasted fastening with covered buttons."
11,CROPPED BLAZER WITH FEATHERS,https://www.zara.com/in/en/cropped-blazer-with-feathers-p07602484.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7602/484/631/2/w/448/7602484631_1_1_1.jpg?ts=1689579070170': 'Image 0 of CROPPED BLAZER WITH FEATHERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7602/484/631/2/w/0/7602484631_2_1_1.jpg?ts=1689579070263': 'Image 1 of CROPPED BLAZER WITH FEATHERS from Zara'}]","₹ 11,990.00",Cropped blazer featuring a lapel collar and long sleeves with matching detachable feathers. False welt pockets on the front. Matching lining. Front button fastening.
