,Product_Name,Link,Product_Image,Price,Details
0,Not Found,https://www.zara.com/in/en/textured-jacquard-top-and-trousers-co-ord-pT0503963084.html,[],Not Found,Not Found
1,TEXTURED JACQUARD TOP,https://www.zara.com/in/en/textured-jacquard-top-p05039638.html,[],"₹ 1,990.00",ROUND NECK - NORMAL LENGTH - SHORT SLEEVESRound neck T-shirt with short sleeves. Textured fabric detail.
2,TEXTURED JACQUARD TROUSERS,https://www.zara.com/in/en/textured-jacquard-trousers-p05039637.html,[],"₹ 2,290.00",High-waist trousers with an inner elasticated waistband. Textured fabric detail. Wide-leg design.
3,Z1975 DENIM SHIRT,https://www.zara.com/in/en/-pT0187922427.html,[],"₹ 2,590.00",Collared shirt with long sleeves. Front patch pockets with flaps. Front fastening with metal buttons.
6,SEMI-SHEER BLOUSE WITH RUFFLE TRIMS,https://www.zara.com/in/en/semi-sheer-blouse-with-ruffle-trims-p08081334.html,[],"₹ 4,990.00","Semi-sheer blouse featuring a V-neckline, long cape sleeves with drawstrings, ruffled details in matching fabric, asymmetric hem and front fastening with matching ties. Made of viscose."
7,LONG DRESS WITH RUFFLES,https://www.zara.com/in/en/long-dress-with-ruffles-p08088334.html,[],"₹ 5,990.00",Long dress made of viscose. V-neck and thin straps. Ruffle details in the same fabric.
8,HIGH-WAIST CULOTTE TROUSERS,https://www.zara.com/in/en/-pT0992932704.html,[],"₹ 3,290.00","High-waist trousers featuring front pockets and rear welt pockets. Short and wide leg design. Front zip fly, interior button and metal hook fastening."
14,FLOWING ASYMMETRIC CAPE,https://www.zara.com/in/en/flowing-asymmetric-cape-p08686453.html,[],"₹ 2,290.00",Flowing cape with a round neck and an asymmetric hem.
15,STRAPLESS FLOWING JUMPSUIT,https://www.zara.com/in/en/strapless-flowing-jumpsuit-p08686456.html,[],"₹ 3,990.00",Straight-leg strapless jumpsuit. Layered cape detail in the same fabric.
20,MINIMALIST BLOUSE WITH BELT,https://www.zara.com/in/en/minimalist-blouse-with-belt-p08266357.html,[],"₹ 5,990.00",Semi-sheer blouse made of a viscose blend. V-neckline and long sleeves. Tied belt in the same fabric. Side vents at the hem.
