,Product_Name,Link,Product_Image,Price,Details
0,PRINTED PLEATED JUMPSUIT,https://www.zara.com/in/en/printed-pleated-jumpsuit-p09878239.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9878/239/330/2/w/448/9878239330_1_1_1.jpg?ts=1693224764546': 'Image 0 of PRINTED PLEATED JUMPSUIT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9878/239/330/2/w/448/9878239330_2_1_1.jpg?ts=1693224765803': 'Image 1 of PRINTED PLEATED JUMPSUIT from Zara'}]","₹ 4,990.00",Playsuit with a surplice neckline and long sleeves. Elasticated waist. Lining at the bottom. Fastening with buttoned opening at the back.
1,PLAYSUIT WITH CUT-OUT DETAIL,https://www.zara.com/in/en/playsuit-with-cut-out-detail-p01165178.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1165/178/401/2/w/448/1165178401_1_1_1.jpg?ts=1693305744717': 'Image 0 of PLAYSUIT WITH CUT-OUT DETAIL from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1165/178/401/2/w/448/1165178401_2_1_1.jpg?ts=1693305744244': 'Image 1 of PLAYSUIT WITH CUT-OUT DETAIL from Zara'}]","₹ 3,990.00",Sleeveless playsuit with a round neck. Pleated detail on the front and an opening at the waist. Invisible back zip fastening and openings with metal buttons. Split hem at the side and gathered detail.
2,POLYAMIDE MIDI DRESS,https://www.zara.com/in/en/polyamide-midi-dress-p03641815.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3641/815/700/2/w/448/3641815700_1_1_1.jpg?ts=1692865109452': 'Image 0 of POLYAMIDE MIDI DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3641/815/700/2/w/448/3641815700_2_1_1.jpg?ts=1692865109443': 'Image 1 of POLYAMIDE MIDI DRESS from Zara'}]","₹ 2,290.00",Midi dress made of polyamide and elastane blend. Round neck and drop sleeves.
6,FITTED ASYMMETRIC DRESS WITH CUT-OUT DETAIL,https://www.zara.com/in/en/fitted-asymmetric-dress-with-cut-out-detail-p03641808.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3641/808/250/2/w/448/3641808250_1_1_1.jpg?ts=1688048277567': 'Image 0 of FITTED ASYMMETRIC DRESS WITH CUT-OUT DETAIL from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3641/808/250/2/w/448/3641808250_2_1_1.jpg?ts=1688048276960': 'Image 1 of FITTED ASYMMETRIC DRESS WITH CUT-OUT DETAIL from Zara'}]","₹ 2,590.00",Dress made of a polyamide and elastane blend. Asymmetric neckline and thin elastic straps. Gathered detail and cut-out detail at the waist.
10,METALLIC STRAPLESS DRESS,https://www.zara.com/in/en/metallic-strapless-dress-p03152390.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3067/290/220/2/w/448/3067290220_1_1_1.jpg?ts=1692874441282': 'Image 0 of METALLIC STRAPLESS DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3067/290/220/2/w/448/3067290220_2_1_1.jpg?ts=1692874442284': 'Image 1 of METALLIC STRAPLESS DRESS from Zara'}]","₹ 3,990.00",Off-the-shoulder midi dress with a straight-cut neckline. Metallic fabric. Gathered details. Back slit at the hem. Invisible side zip fastening.
11,FOIL SLIP DRESS,https://www.zara.com/in/en/foil-slip-dress-p08396741.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8396/741/800/2/w/448/8396741800_1_1_1.jpg?ts=1692874441145': 'Image 0 of FOIL SLIP DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8396/741/800/2/w/448/8396741800_2_1_1.jpg?ts=1692874444399': 'Image 1 of FOIL SLIP DRESS from Zara'}]","₹ 3,990.00",Midi dress made of metallic-effect fabric. Draped neckline and thin straps. Open back. Invisible zip fastening.
12,FOIL SLIP DRESS,https://www.zara.com/in/en/foil-slip-dress-p08326350.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8326/350/808/2/w/448/8326350808_1_1_1.jpg?ts=1692874443895': 'Image 0 of FOIL SLIP DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8326/350/808/2/w/448/8326350808_2_1_1.jpg?ts=1692874443188': 'Image 1 of FOIL SLIP DRESS from Zara'}]","₹ 3,990.00","Long dress made of metallic-effect fabric. Featuring a V-neckline, thin straps and an open back."
13,TRANSPARENT TULLE DRESS,https://www.zara.com/in/en/transparent-tulle-dress-p08497359.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8497/359/802/2/w/448/8497359802_1_1_1.jpg?ts=1692874442937': 'Image 0 of TRANSPARENT TULLE DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8497/359/802/2/w/448/8497359802_2_1_1.jpg?ts=1692874443525': 'Image 1 of TRANSPARENT TULLE DRESS from Zara'}]","₹ 2,990.00",Transparent midi dress with a high neck and long sleeves. Pronounced seams. Buttoned opening at the neck.
14,COMBINED NYLON JUMPSUIT,https://www.zara.com/in/en/combined-nylon-jumpsuit-p08338239.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8338/239/800/22/w/448/8338239800_1_1_1.jpg?ts=1693212396279': 'Image 0 of COMBINED NYLON JUMPSUIT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8338/239/800/22/w/448/8338239800_2_1_1.jpg?ts=1693212395635': 'Image 1 of COMBINED NYLON JUMPSUIT from Zara'}]","₹ 3,990.00",V-neck jumpsuit with thin adjustable straps. Side pockets and false rear welt pockets. Matching fabric. Invisible back zip and metal hook fastening at the front.
15,SATIN DRESS,https://www.zara.com/in/en/satin-dress-p01131807.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/1131/807/622/2/w/448/1131807622_1_1_1.jpg?ts=1692273229105': 'Image 0 of SATIN DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1131/807/622/2/w/448/1131807622_2_1_1.jpg?ts=1692273228811': 'Image 1 of SATIN DRESS from Zara'}]","₹ 3,290.00",Satin dress with a V-neckline and thin straps. Featuring an open back with a matching fabric strap.
16,FAUX LEATHER STRAPLESS DRESS,https://www.zara.com/in/en/faux-leather-strapless-dress-p08741245.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8741/245/800/2/w/448/8741245800_1_1_1.jpg?ts=1692892311388': 'Image 0 of FAUX LEATHER STRAPLESS DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8741/245/800/2/w/448/8741245800_2_1_1.jpg?ts=1692892311244': 'Image 1 of FAUX LEATHER STRAPLESS DRESS from Zara'}]","₹ 3,290.00",Short dress with a straight-cut neckline and exposed shoulders. Draped fabric on the side with metal links on the hem. Invisible back zip fastening.
