,Product_Name,Link,Product_Image,Price,Details
0,ZW MARINE STRAIGHT FIT HIGH-WAIST POCKET JEANS,https://www.zara.com/in/en/zw-marine-straight-fit-high-waist-pocket-jeans-p09632250.html,[],"₹ 3,290.00",Slim Fit - Relaxed Leg - High WaistZW ZARA WOMAN JEANSHigh-waist jeans with belt loops. Patch pockets on the front and back. Contrast visible topstitching detail. Seamless hems. Front zip fly and button fastening.
2,ZW MARINE STRAIGHT-LEG HIGH-WAIST JEANS,https://www.zara.com/in/en/zw-marine-straight-leg-high-waist-jeans-p08307240.html,[],"₹ 3,290.00",Slim Fit - Relaxed Leg - High WaistZW ZARA WOMAN JEANSHigh-waist jeans with back patch pockets. Seamless hems. Front zip fly and top button fastening.
3,TRF WIDE-LEG MID-RISE METALLIC JEANS,https://www.zara.com/in/en/trf-wide-leg-mid-rise-metallic-jeans-p06045229.html,[],"₹ 4,990.00",MID-RISE - WIDE-LEGMid-rise jeans with five pockets. Metallic-effect fabric. Front zip fly and metal button fastening.
4,TRF HIGH-WAIST METALLIC JEANS,https://www.zara.com/in/en/trf-high-waist-metallic-jeans-p06688209.html,[],"₹ 4,990.00",HIGH WAIST - LOOSE FITHigh-waist jeans with five pockets. Metallic-effect fabric. Front zip fly and metallic button fastening.
7,MID-RISE FLARED CROPPED TRF JEANS,https://www.zara.com/in/en/mid-rise-flared-cropped-trf-jeans-p03643217.html,[],"₹ 2,990.00",CROPPED - MID-RISEMid-rise jeans with five pockets. Seamless cropped flared hems. Front zip fly and metal button fastening.
9,Z1975 FLARED HIGH-WAIST JEANS,https://www.zara.com/in/en/z1975-flared-high-waist-jeans-p05862170.html,[],"₹ 3,290.00",HIGH-RISE - FLAREFaded high-rise jeans with a five-pocket design. Flared hems. Front zip fly and metal top button fastening.
10,Z1975 WIDE LEG HIGH-RISE JEANS,https://www.zara.com/in/en/z1975-wide-leg-high-rise-jeans-p01889154.html,[],"₹ 3,290.00",HIGH WAIST - WIDE LEGHigh-waist jeans featuring false welt pockets on the front and rear patch pockets. Wide-leg design. Front zip fly and top button fastening.
12,Z1975 STRAIGHT-FIT HIGH-WAIST FULL LENGTH JEANS,https://www.zara.com/in/en/z1975-straight-fit-high-waist-full-length-jeans-p06147177.html,[],"₹ 3,290.00",High-waist jeans with five pockets. Faded effect. Straight and extra-long leg. Front zip fly and metallic button fastening.
14,Z1975 HIGH-WAIST MINI FLARE JEANS,https://www.zara.com/in/en/z1975-high-waist-mini-flare-jeans-p08228225.html,[],"₹ 2,990.00",HIGH-WAIST - MINI FLAREFaded high-waist jeans with five pockets. Flared seamless hems. Front zip fly and button fastening.
17,Z1975 HIGH-RISE STRAIGHT JEANS,https://www.zara.com/in/en/z1975-high-rise-straight-jeans-p06164211.html,[],"₹ 3,290.00",HIGH-WAIST - STRAIGHT - RIGIDHigh-waist jeans with a five-pocket design. Faded effect. Ironed crease detail on the front. Straight leg. Front zip fly and top button fastening.
18,Z1975 FLARED HIGH-WAIST JEANS,https://www.zara.com/in/en/z1975-flared-high-waist-jeans-p06147178.html,[],"₹ 3,290.00",HIGH-WAIST - FLAREFaded high-waist jeans with a five-pocket design. Ironed crease detail on the front. Flared hems. Front zip fly and metal top button fastening.
22,HIGH-RISE SKINNY SCULPT TRF JEANS,https://www.zara.com/in/en/high-rise-skinny-sculpt-trf-jeans-p02569350.html,[],"₹ 2,990.00",HIGH WAIST - SKINNY - ANKLE LENGTHHigh-waist super stretch jeans with a five-pocket design. Front zip fly and metal top button fastening.
25,Z1975 STRAIGHT-FIT HIGH-WAIST LONG LENGTH JEANS,https://www.zara.com/in/en/z1975-straight-fit-high-waist-long-length-jeans-p00108222.html,[],"₹ 3,290.00",HIGH-WAIST - REGULAR REG - LONG LENGTH - RIGID High-waist jeans with five pockets. Faded effect. Straight-leg and long-leg design. Front zip fly and button fastening.
26,MID-RISE TRF CARGO JEANS,https://www.zara.com/in/en/mid-rise-trf-cargo-jeans-p08197029.html,[],"₹ 4,990.00",CARGO - MID-RISEMid-rise jeans with front pockets and patch pockets on the back and leg. Belt loops. Front zip fly and top metal button fastening.
27,Z1975 HIGH-WAIST BAGGY PAPERBAG JEANS,https://www.zara.com/in/en/z1975-high-waist-baggy-paperbag-jeans-p05862022.html,[],"₹ 2,990.00","HIGH-RISE - BAGGY PAPERBAG - CARROT LEG - ANKLE - RIGIDHigh-waist jeans with an elasticated waistband and gathered details. Featuring front pockets, rear patch pockets, turn-up hems and a zip and button fastening at the front."
