,Product_Name,Link,Product_Image,Price,Details
0,KNIT SWEATER WITH ZIP,https://www.zara.com/in/en/knit-sweater-with-zip-p05536155.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5536/155/401/2/w/448/5536155401_1_1_1.jpg?ts=1693222806360': 'Image 0 of KNIT SWEATER WITH ZIP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5536/155/401/2/w/448/5536155401_2_1_1.jpg?ts=1693222806482': 'Image 1 of KNIT SWEATER WITH ZIP from Zara'}]","₹ 3,290.00","Sweater made of a viscose blend. Featuring a high neck with metal zip, long sleeves and matching ribbed trims."
1,OPEN KNIT CAPE,https://www.zara.com/in/en/open-knit-cape-p02756102.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2756/102/712/2/w/448/2756102712_1_1_1.jpg?ts=1693224111073': 'Image 0 of OPEN KNIT CAPE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2756/102/712/2/w/448/2756102712_2_1_1.jpg?ts=1693224110961': 'Image 1 of OPEN KNIT CAPE from Zara'}]","₹ 3,290.00",Cape in a textured open knit fabric with an asymmetric neck and sleeve.
2,CROPPED KNIT SWEATER,https://www.zara.com/in/en/cropped-knit-sweater-p05536125.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5536/125/809/2/w/448/5536125809_1_1_1.jpg?ts=1693222633500': 'Image 0 of CROPPED KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5536/125/809/2/w/448/5536125809_2_1_1.jpg?ts=1693222633527': 'Image 1 of CROPPED KNIT SWEATER from Zara'}]","₹ 2,990.00",Cropped sweater with a round neck and long sleeves. Matching ribbed trims.
3,RIPPED CROPPED KNIT SWEATER,https://www.zara.com/in/en/ripped-cropped-knit-sweater-p06771143.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6771/143/507/22/w/448/6771143507_1_1_1.jpg?ts=1693223097507': 'Image 0 of RIPPED CROPPED KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6771/143/507/22/w/448/6771143507_2_1_1.jpg?ts=1693223097468': 'Image 1 of RIPPED CROPPED KNIT SWEATER from Zara'}]","₹ 2,990.00",Cropped sweater with a round neck and long sleeves. Ripped details.
5,OPEN KNIT POLO SWEATER,https://www.zara.com/in/en/open-knit-polo-sweater-p06427117.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6427/117/712/2/w/448/6427117712_1_1_1.jpg?ts=1692869351811': 'Image 0 of OPEN KNIT POLO SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6427/117/712/2/w/448/6427117712_2_1_1.jpg?ts=1692869351537': 'Image 1 of OPEN KNIT POLO SWEATER from Zara'}]","₹ 2,990.00",Polo sweater with a Johnny collar and long sleeves. Ribbed trims.
6,KNIT CROPPED CARDIGAN,https://www.zara.com/in/en/knit-cropped-cardigan-p05536126.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5536/126/806/22/w/448/5536126806_1_1_1.jpg?ts=1693222714850': 'Image 0 of KNIT CROPPED CARDIGAN from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5536/126/806/22/w/448/5536126806_2_1_1.jpg?ts=1693222714405': 'Image 1 of KNIT CROPPED CARDIGAN from Zara'}]","₹ 2,990.00","Cropped cardigan with a round neck, long sleeves, matching ribbed trims and a button-up front."
9,100% WOOL KNIT POLO SWEATER,https://www.zara.com/in/en/100-wool-knit-polo-sweater-p09598170.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9598/170/802/2/w/448/9598170802_1_1_1.jpg?ts=1692790313373': 'Image 0 of 100% WOOL KNIT POLO SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9598/170/802/2/w/504/9598170802_2_1_1.jpg?ts=1692790315858': 'Image 1 of 100% WOOL KNIT POLO SWEATER from Zara'}]","₹ 4,990.00","Fitted sweater made of 100% extra soft wool. Featuring a polo collar, long sleeves and front button fastening."
12,CASHMERE KNIT SWEATER,https://www.zara.com/in/en/cashmere-knit-sweater-p06771126.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6771/126/200/2/w/448/6771126200_1_1_1.jpg?ts=1692790315045': 'Image 0 of CASHMERE KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6771/126/200/2/w/448/6771126200_2_1_1.jpg?ts=1692790313739': 'Image 1 of CASHMERE KNIT SWEATER from Zara'}]","₹ 11,990.00",Sweater made of a cashmere and wool blend. Round neck and long sleeves. Matching ribbed trims.
15,CROPPED KNIT SWEATER,https://www.zara.com/in/en/cropped-knit-sweater-p03390102.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3390/102/800/2/w/448/3390102800_1_1_1.jpg?ts=1692787462490': 'Image 0 of CROPPED KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3390/102/800/2/w/448/3390102800_2_1_1.jpg?ts=1692787462017': 'Image 1 of CROPPED KNIT SWEATER from Zara'}]","₹ 2,290.00",Short sweater with a round neckline and long sleeves.
19,BASIC HIGH NECK KNIT SWEATER,https://www.zara.com/in/en/basic-high-neck-knit-sweater-p08851123.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8851/123/800/22/w/448/8851123800_1_1_1.jpg?ts=1693219160353': 'Image 0 of BASIC HIGH NECK KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8851/123/800/22/w/448/8851123800_2_1_1.jpg?ts=1693219160248': 'Image 1 of BASIC HIGH NECK KNIT SWEATER from Zara'}]","₹ 1,890.00","Sweater featuring a high neck, long sleeves with decorative metal buttons and ribbed trims."
27,WOOL KNIT SWEATER,https://www.zara.com/in/en/wool-knit-sweater-p02893111.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2893/111/704/22/w/448/2893111704_1_1_1.jpg?ts=1693224716998': 'Image 0 of WOOL KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2893/111/704/22/w/448/2893111704_2_1_1.jpg?ts=1693224720024': 'Image 1 of WOOL KNIT SWEATER from Zara'}]","₹ 4,990.00",Sweater made of 100% wool. Round neck and long sleeves. Matching ribbed trims.
