,Product_Name,Link,Product_Image,Price,Details
0,PLUSH VEST,https://www.zara.com/in/en/plush-vest-p03253815.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3253/815/505/2/w/448/3253815505_1_1_1.jpg?ts=1692865109517': 'Image 0 of PLUSH VEST from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3253/815/505/2/w/448/3253815505_2_1_1.jpg?ts=1692865109462': 'Image 1 of PLUSH VEST from Zara'}]","₹ 1,890.00",Vest made of a cotton blend. V-neck and drop sleeves. Matching ribbed trims.
2,COTTON T-SHIRT WITH SEAM DETAILS,https://www.zara.com/in/en/cotton-t-shirt-with-seam-details-p04174813.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4174/813/250/2/w/448/4174813250_1_1_1.jpg?ts=1692284605026': 'Image 0 of COTTON T-SHIRT WITH SEAM DETAILS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4174/813/250/2/w/448/4174813250_2_1_1.jpg?ts=1692284605084': 'Image 1 of COTTON T-SHIRT WITH SEAM DETAILS from Zara'}]","₹ 1,590.00",ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt made of 100% cotton. Round neck and short sleeves. Seamless trims.
6,FADED-EFFECT PLUSH TROUSERS,https://www.zara.com/in/en/faded-effect-plush-trousers-p08417802.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8417/802/485/2/w/448/8417802485_2_1_1.jpg?ts=1692875624937': 'Image 0 of FADED-EFFECT PLUSH TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3253/822/485/2/w/448/3253822485_6_1_1.jpg?ts=1692772712287': 'Image 1 of FADED-EFFECT PLUSH TROUSERS from Zara'}]","₹ 1,990.00",Faded cotton trousers featuring an elasticated drawstring waistband and seamless hems.
8,FADED-EFFECT PLUSH SWEATSHIRT,https://www.zara.com/in/en/faded-effect-plush-sweatshirt-p08417801.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8417/801/485/2/w/448/8417801485_1_1_1.jpg?ts=1692279530205': 'Image 0 of FADED-EFFECT PLUSH SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8417/801/485/2/w/448/8417801485_2_1_1.jpg?ts=1692279530202': 'Image 1 of FADED-EFFECT PLUSH SWEATSHIRT from Zara'}]","₹ 1,990.00","Faded cotton sweatshirt featuring a round neck, long drop-shoulder sleeves and seamless hem."
12,FADED-EFFECT RIBBED TROUSERS,https://www.zara.com/in/en/faded-effect-ribbed-trousers-p06050340.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6050/340/802/2/w/448/6050340802_1_1_1.jpg?ts=1692344969064': 'Image 0 of FADED-EFFECT RIBBED TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6050/340/802/2/w/448/6050340802_2_1_1.jpg?ts=1692344968889': 'Image 1 of FADED-EFFECT RIBBED TROUSERS from Zara'}]","₹ 2,290.00",Faded high-waist trousers made of a cotton blend. Featuring an elasticated waistband and side vents at the hems.
13,FADED-EFFECT T-SHIRT,https://www.zara.com/in/en/faded-effect-t-shirt-p04174844.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4174/844/800/2/w/448/4174844800_1_1_1.jpg?ts=1692344968694': 'Image 0 of FADED-EFFECT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4174/844/800/2/w/448/4174844800_2_1_1.jpg?ts=1692346438633': 'Image 1 of FADED-EFFECT T-SHIRT from Zara'}]","₹ 1,890.00",Faded cotton T-shirt with a distressed round neck and short sleeves.
14,FADED-EFFECT RIBBED SWEATSHIRT,https://www.zara.com/in/en/faded-effect-ribbed-sweatshirt-p06050342.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6050/342/802/2/w/448/6050342802_1_1_1.jpg?ts=1692344969491': 'Image 0 of FADED-EFFECT RIBBED SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6050/342/802/2/w/448/6050342802_2_1_1.jpg?ts=1692344969358': 'Image 1 of FADED-EFFECT RIBBED SWEATSHIRT from Zara'}]","₹ 2,290.00",Round neck sweatshirt made of a faded-effect cotton blend. Long sleeves with ruffled cuffs.
15,RIPPED FADED-EFFECT SWEATSHIRT,https://www.zara.com/in/en/ripped-faded-effect-sweatshirt-p06050343.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6050/343/802/2/w/448/6050343802_1_1_1.jpg?ts=1692344969712': 'Image 0 of RIPPED FADED-EFFECT SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6050/343/802/2/w/448/6050343802_2_1_1.jpg?ts=1692344971179': 'Image 1 of RIPPED FADED-EFFECT SWEATSHIRT from Zara'}]","₹ 2,290.00","Faded cotton blend sweatshirt featuring a round neck, long drop-shoulder sleeves and ripped details."
16,FADED-EFFECT RIPPED PLUSH TROUSERS,https://www.zara.com/in/en/faded-effect-ripped-plush-trousers-p06050344.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6050/344/802/2/w/448/6050344802_1_1_1.jpg?ts=1692344969904': 'Image 0 of FADED-EFFECT RIPPED PLUSH TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6050/344/802/2/w/448/6050344802_2_1_1.jpg?ts=1692344969714': 'Image 1 of FADED-EFFECT RIPPED PLUSH TROUSERS from Zara'}]","₹ 2,590.00",Faded-effect high-waist trousers made of a cotton blend. Featuring an elasticated waistband and ripped details.
18,FADED-EFFECT RIB T-SHIRT,https://www.zara.com/in/en/faded-effect-rib-t-shirt-p06050341.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6050/341/802/2/w/448/6050341802_1_1_1.jpg?ts=1692344969293': 'Image 0 of FADED-EFFECT RIB T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6050/341/802/2/w/448/6050341802_2_1_1.jpg?ts=1692344969105': 'Image 1 of FADED-EFFECT RIB T-SHIRT from Zara'}]","₹ 1,890.00",Long sleeveless round neck top made of a faded effect cotton blend.
