,Product_Name,Link,Product_Image,Price,Details
0,RED TEMPTATION 80 ML / 2.71 oz,https://www.zara.com/in/en/red-temptation-80-ml---2-71-oz-p20110242.html,"[{'https://static.zara.net/photos///2023/I/2/1/p/0110/242/999/2/w/448/0110242999_6_1_1.jpg?ts=1692891211920': 'Image 0 of RED TEMPTATION 80 ML / 2.71\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/I/2/1/p/0110/242/999/2/w/448/0110242999_6_2_1.jpg?ts=1691404400460': 'Image 1 of RED TEMPTATION 80 ML / 2.71\xa0oz from Zara'}]","₹ 2,290.00","ZARA RED TEMPTATION EDP 80 ML (2.71 FL. OZ). Eau de parfum disguised as the warm and textured facets of beautiful Saffron and coriander spices; bitter orange lends a fruity and colourful touch to the luminous floral bouquet. The luminosity of jasmine reveals all the sensuality and femininity of white flowers, enhanced by a praline, modern and ultra-addictive accord. The flowers are highlighted by the power of moss and woody amber notes, enveloped in a cloud of musk, leaving a trail of complete femininity.View more"
2,RED TEMPTATION 30 ML / 1.01 oz,https://www.zara.com/in/en/red-temptation-30-ml---1-01-oz-p20110370.html,"[{'https://static.zara.net/photos///2023/I/2/1/p/0110/370/999/2/w/448/0110370999_6_1_1.jpg?ts=1691502721305': 'Image 0 of RED TEMPTATION 30 ML / 1.01\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/I/2/1/p/0110/370/999/2/w/448/0110370999_6_2_1.jpg?ts=1691404400551': 'Image 1 of RED TEMPTATION 30 ML / 1.01\xa0oz from Zara'}]",₹ 950.00,"ZARA RED TEMPTATION EDP 30 ML (1.0 FL. OZ). Eau de parfum featuring the warm and textured facets of beautiful saffron and coriander spices, with bitter orange that lends a fruity and colourful touch to the luminous floral bouquet. Luminous jasmine reveals all the sensuality and femininity of these white flowers, enhanced by a chord of modern and ultra-addictive praline. The flowers are highlighted by strong notes of moss and woody amber, wrapped in a cloud of musk, creating a complete trail of femininity.View more"
3,GOLDEN DECADE EDP 80 ML / 2.71 oz,https://www.zara.com/in/en/golden-decade-edp-80-ml---2-71-oz-p20110518.html,"[{'https://static.zara.net/photos///2023/I/2/1/p/0110/518/999/2/w/448/0110518999_6_1_1.jpg?ts=1692891212683': 'Image 0 of GOLDEN DECADE EDP 80 ML / 2.71\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/V/2/1/p/0110/518/999/2/w/448/0110518999_6_2_1.jpg?ts=1678435243280': 'Image 1 of GOLDEN DECADE EDP 80 ML / 2.71\xa0oz from Zara'}]","₹ 2,290.00","ZARA GOLDEN DECADE EDP 80 ML (2.71 FL. OZ). Enveloping, warm and elegant eau de parfum for the woman who wants to transmit a sense of freedom and express her emotions to the extreme. A modern white floral bouquet (jasmine, orange blossom) sublimated by the juicy facets of mandarin reveals the seductive side of every woman. A sweet and addictive lavender adds a final touch with its original and unparalleled facets.View more"
5,GOLDEN DECADE 30 ML / 1.01 oz,https://www.zara.com/in/en/golden-decade-30-ml---1-01-oz-p20110517.html,"[{'https://static.zara.net/photos///2023/I/2/1/p/0110/517/999/2/w/448/0110517999_6_1_1.jpg?ts=1692891212476': 'Image 0 of GOLDEN DECADE 30 ML / 1.01\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/V/2/1/p/0110/517/999/2/w/448/0110517999_6_2_1.jpg?ts=1683791742622': 'Image 1 of GOLDEN DECADE 30 ML / 1.01\xa0oz from Zara'}]","₹ 1,090.00","ZARA GOLDEN DECADE EDP 30 ML (1.0 FL. OZ). Enveloping, warm and elegant eau de parfum for a woman who wants to transmit a sense of freedom and express her emotions to the extreme. A modern white floral bouquet (jasmine, orange blossom) sublimated by the juicy facets of mandarin reveals the seductive side of every woman. A sweet and addictive lavender adds a final touch with its original and unparalleled facets.View more"
6,AMBER FUSION 80 ML / 2.71 oz,https://www.zara.com/in/en/amber-fusion-80-ml---2-71-oz-p20110244.html,"[{'https://static.zara.net/photos///2023/I/2/1/p/0110/244/999/2/w/448/0110244999_6_1_1.jpg?ts=1692891212180': 'Image 0 of AMBER FUSION 80 ML / 2.71\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/V/2/1/p/0110/244/999/2/w/448/0110244999_6_2_1.jpg?ts=1678435237748': 'Image 1 of AMBER FUSION 80 ML / 2.71\xa0oz from Zara'}]","₹ 1,890.00","ZARA AMBER FUSION EDP 80 ML (2.71 FL. OZ). Eau de parfum in which citrus freshness of bergamot and tangerine are mixed with sea-inspired notes for a stunning introduction and cheerful fluidly, which plays to prolong with the colourful hints and acids of red berries. At the heart, the floral and crystalline delicacy of lily contrasts with the floral value of sunny and captivating ylang-ylang. This multifaceted floral duo is accompanied by a deep and generous background where the sophisticated character of woody notes is softened by an overdose of amber.View more"
8,AMBER FUSION 30 ML / 1.01 oz,https://www.zara.com/in/en/amber-fusion-30-ml---1-01-oz-p20110516.html,"[{'https://static.zara.net/photos///2023/I/2/1/p/0110/516/999/2/w/448/0110516999_6_1_1.jpg?ts=1692891212662': 'Image 0 of AMBER FUSION 30 ML / 1.01\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/V/2/1/p/0110/516/999/2/w/448/0110516999_6_2_1.jpg?ts=1680106962792': 'Image 1 of AMBER FUSION 30 ML / 1.01\xa0oz from Zara'}]","₹ 1,090.00","ZARA AMBER FUSION 30 ML (1.0 FL. OZ). Eau de parfum where the citrus freshness of bergamot and tangerine blend with maritime notes for a stunning intro and lively fluidity, which plays to prolong with the colourful and acid notes of red berries. At the heart, the floral and crystalline delicacy of lily of the valley contrasts with the sunny and captivating floral essence of ylang ylang. This multifaceted floral duo is accompanied by an intense and generous background, where the sophisticated nature of woody notes is softened in contact with an amber overdose.View more"
9,SUBLIME EPOQUE EDP 80 ML / 2.71 oz,https://www.zara.com/in/en/sublime-epoque-edp-80-ml---2-71-oz-p20110339.html,"[{'https://static.zara.net/photos///2023/I/2/1/p/0110/339/999/2/w/448/0110339999_6_1_1.jpg?ts=1692891212278': 'Image 0 of SUBLIME EPOQUE EDP 80 ML / 2.71\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/V/2/1/p/0110/339/999/2/w/448/0110339999_6_2_1.jpg?ts=1681119185507': 'Image 1 of SUBLIME EPOQUE EDP 80 ML / 2.71\xa0oz from Zara'}]","₹ 2,290.00","ZARA SUBLIME EPOQUE EDP 80 ML (2.71 FL. OZ). Eau de parfum that pays tribute to a sublime and radiant femininity. At the heart, a scintillating floral bouquet featuring jasmine, tuberose and orange blossom is brightened up in contact with the natural facets of bergamot. Vanilla and cedar mingle to form a warm and addictive background.View more"
11,SUBLIME EPOQUE 30 ML / 1.01 oz,https://www.zara.com/in/en/sublime-epoque-30-ml---1-01-oz-p20110567.html,"[{'https://static.zara.net/photos///2023/I/2/1/p/0110/567/999/2/w/448/0110567999_6_1_1.jpg?ts=1692891212436': 'Image 0 of SUBLIME EPOQUE 30 ML / 1.01\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/I/2/1/p/0110/567/999/2/w/448/0110567999_6_2_1.jpg?ts=1687853479292': 'Image 1 of SUBLIME EPOQUE 30 ML / 1.01\xa0oz from Zara'}]","₹ 1,090.00","ZARA SUBLIME EPOQUE EDP 30 ML (1.0 FL. OZ).Eau de parfum that pays tribute to a sublime and radiant femininity. At the heart, a scintillating floral bouquet featuring jasmine, tuberose and orange blossom is brightened up in contact with the natural facets of bergamot. Vanilla and cedar mingle to form a warm and addictive background.View more"
12,ROSE GOURMAND 80 ML / 2.71 oz,https://www.zara.com/in/en/rose-gourmand-80-ml---2-71-oz-p20110243.html,"[{'https://static.zara.net/photos///2023/I/2/1/p/0110/243/999/2/w/448/0110243999_6_1_1.jpg?ts=1692891212669': 'Image 0 of ROSE GOURMAND 80 ML / 2.71\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/V/2/1/p/0110/243/999/2/w/448/0110243999_6_2_1.jpg?ts=1678454680670': 'Image 1 of ROSE GOURMAND 80 ML / 2.71\xa0oz from Zara'}]","₹ 1,890.00","ZARA ROSE GOURMAND EDP 80 ML (2.71 FL. OZ). Eau de parfum with the spicy notes of carnation, the luminous radiance of jasmine, the ethereal tenderness of peony. It is all there to adorn and enhance a rose with modern freshness and strong character! Far from the incarnations of innocence and purity, it symbolises and encourages the unstoppable wave of feminine empowerment, bringing the pure delight that every woman deserves. Soft, delicious and creamy caramel gourmand notes blend with a lively and regressive flavour of vanilla, reaffirming in a trail of musky amber the power of the rose.View more"
14,ROSE GOURMAND 30 ML / 1.01 oz,https://www.zara.com/in/en/rose-gourmand-30-ml---1-01-oz-p20110371.html,"[{'https://static.zara.net/photos///2023/V/2/1/p/0110/371/999/2/w/448/0110371999_6_1_1.jpg?ts=1680097311557': 'Image 0 of ROSE GOURMAND 30 ML / 1.01\xa0oz from Zara'}, {'https://static.zara.net/photos///2023/V/2/1/p/0110/371/999/2/w/448/0110371999_6_2_1.jpg?ts=1678353761884': 'Image 1 of ROSE GOURMAND 30 ML / 1.01\xa0oz from Zara'}]",₹ 950.00,"ZARA ROSE GOURMAND EDP 30 ML / 1.01 oz (1.0 FL,. OZ). Eau de parfum featuring spicy notes of carnation, the luminous radiance of jasmine and the ethereal tenderness of peony. It is all there to decorate and enhance a rose with modern freshness and strong character. Far from embodying innocence and purity, it bestows and incites an unstoppable wave of feminine empowerment, providing pure delight that every woman has a right to. Soft, delicious and creamy gourmand caramel notes blend with a lively and nostalgic vanilla aroma, with a trail of amber musk that affirms the ultimate power of the rose.View more"
