,Product_Name,Link,Product_Image,Price,Details
0,PLATFORM WEDGE SANDALS,https://www.zara.com/in/en/platform-wedge-sandals-p11360210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/1360/210/800/2/w/448/1360210800_1_1_1.jpg?ts=1692877244578': 'Image 0 of PLATFORM WEDGE SANDALS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1360/210/800/2/w/448/1360210800_2_1_1.jpg?ts=1692877243778': 'Image 1 of PLATFORM WEDGE SANDALS from Zara'}]","₹ 5,990.00","Sandals with a platform wedge heel. Wide strap on the front.Heel height of 11 cm. / 4.3″AIRFIT®. Flexible technical latex foam insole, designed to offer greater comfort.View more"
2,KITTEN HEEL ANKLE BOOTS,https://www.zara.com/in/en/kitten-heel-ankle-boots-p12104210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/2104/210/800/2/w/448/2104210800_1_1_1.jpg?ts=1692877243696': 'Image 0 of KITTEN HEEL ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2104/210/800/2/w/448/2104210800_2_1_1.jpg?ts=1692877244261': 'Image 1 of KITTEN HEEL ANKLE BOOTS from Zara'}]","₹ 3,290.00",Kitten heeled ankle boots. Stretch material. Pointed toe. Heel height of 5 cm. / 1.9″
4,LEATHER COWBOY ANKLE BOOTS,https://www.zara.com/in/en/leather-cowboy-ankle-boots-p13122210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/3122/210/800/22/w/448/3122210800_1_1_1.jpg?ts=1693212788058': 'Image 0 of LEATHER COWBOY ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3122/210/800/22/w/448/3122210800_2_1_1.jpg?ts=1693212790542': 'Image 1 of LEATHER COWBOY ANKLE BOOTS from Zara'}]","₹ 8,990.00",Leather cowboy-style ankle boots. Block heel. Side pull tabs. Pointed toe. Heel height of 5 cm. / 1.9″
6,FABRIC HIGH-HEEL ANKLE BOOTS,https://www.zara.com/in/en/fabric-high-heel-ankle-boots-p13143210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/3143/210/800/2/w/448/3143210800_1_1_1.jpg?ts=1692877244725': 'Image 0 of FABRIC HIGH-HEEL ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3143/210/800/2/w/448/3143210800_2_1_1.jpg?ts=1692877244342': 'Image 1 of FABRIC HIGH-HEEL ANKLE BOOTS from Zara'}]","₹ 3,290.00",High-heel stretchy fabric ankle boots. Pointed toe.Heel height: 7.5 cm. / 2.9″
10,LEATHER HEELED ANKLE BOOTS,https://www.zara.com/in/en/leather-heeled-ankle-boots-p12158210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/2158/210/800/2/w/448/2158210800_1_1_1.jpg?ts=1692877244487': 'Image 0 of LEATHER HEELED ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2158/210/800/2/w/448/2158210800_2_1_1.jpg?ts=1692877244006': 'Image 1 of LEATHER HEELED ANKLE BOOTS from Zara'}]","₹ 5,990.00",Leather ankle boots. Block heel. Pointed toe. Elastic side gores. Back pull tab. Heel height of 7 cm. / 2.7″
12,CONTRAST LOAFERS,https://www.zara.com/in/en/contrast-loafers-p12508210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/2508/210/197/2/w/448/2508210197_6_1_1.jpg?ts=1692689793210': 'Image 0 of CONTRAST LOAFERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2508/210/197/2/w/448/2508210197_6_2_1.jpg?ts=1692689793621': 'Image 1 of CONTRAST LOAFERS from Zara'}]","₹ 3,290.00",Flat loafers with contrast vamp and a penny strap. Round toe. Sole height: 3 cm. / 1.1″
13,RUNNING TRAINERS,https://www.zara.com/in/en/running-trainers-p15015210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/5015/210/202/2/w/448/5015210202_1_1_1.jpg?ts=1692702215055': 'Image 0 of RUNNING TRAINERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/5015/210/202/2/w/448/5015210202_2_1_1.jpg?ts=1692702215013': 'Image 1 of RUNNING TRAINERS from Zara'}]","₹ 3,290.00",Running trainers. Chunky sole. Back pull tab. Lace-up fastening. Sole height: 5 cm. / 1.9″
15,RUNNING TRAINERS,https://www.zara.com/in/en/running-trainers-p15040210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/5040/210/001/2/w/448/5040210001_6_1_1.jpg?ts=1692797405698': 'Image 0 of RUNNING TRAINERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/5040/210/001/2/w/448/5040210001_6_2_1.jpg?ts=1692797405976': 'Image 1 of RUNNING TRAINERS from Zara'}]","₹ 3,290.00",Running trainers. Chunky sole. Lace-up fastening. Sole height: 5 cm. / 1.9″
16,TRACK-SOLE MARY JANES WITH BUCKLE,https://www.zara.com/in/en/track-sole-mary-janes-with-buckle-p13530210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/3530/210/800/2/w/448/3530210800_1_1_1.jpg?ts=1692702214278': 'Image 0 of TRACK-SOLE MARY JANES WITH BUCKLE from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3530/210/800/2/w/448/3530210800_6_1_1.jpg?ts=1692718058945': 'Image 1 of TRACK-SOLE MARY JANES WITH BUCKLE from Zara'}]","₹ 3,290.00",Mary Janes with a patent finish. Chunky track sole. Round toe. Buckle fastening. Sole height: 6.5 cm. / 2.5″
17,FLAT TRACK SHOES,https://www.zara.com/in/en/flat-track-shoes-p11500210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/1500/210/800/2/w/448/1500210800_1_1_1.jpg?ts=1692702215059': 'Image 0 of FLAT TRACK SHOES from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1500/210/800/2/w/448/1500210800_2_1_1.jpg?ts=1692702215568': 'Image 1 of FLAT TRACK SHOES from Zara'}]","₹ 3,290.00",Flat track sole shoes. Buckled strap across the instep. Back pull tab. Round toe.Sole height: 4 cm. / 1.5″
20,HEELED DENIM ANKLE BOOTS,https://www.zara.com/in/en/heeled-denim-ankle-boots-p11100210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/1100/210/017/2/w/448/1100210017_1_1_1.jpg?ts=1692705621311': 'Image 0 of HEELED DENIM ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1100/210/017/2/w/448/1100210017_2_1_1.jpg?ts=1692705622021': 'Image 1 of HEELED DENIM ANKLE BOOTS from Zara'}]","₹ 6,990.00",Block-heel ankle boots in denim fabric with pleated detail on the calf. Pointed toe. Heel height: 4.4 cm. / 1.7″
21,SPLIT SUEDE LOAFERS WITH BUCKLE,https://www.zara.com/in/en/split-suede-loafers-with-buckle-p12501110.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/2501/110/105/12/w/448/2501110105_1_1_1.jpg?ts=1692782359918': 'Image 0 of SPLIT SUEDE LOAFERS WITH BUCKLE from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2501/110/105/12/w/448/2501110105_2_1_1.jpg?ts=1692782361535': 'Image 1 of SPLIT SUEDE LOAFERS WITH BUCKLE from Zara'}]","₹ 4,990.00","Split suede flat loafers. Metallic buckle detail on the front.Sole height: 1 cm. / 0.3″AIRFIT®. Flexible technical latex foam insole, designed to offer greater comfort.View more"
