,Product_Name,Link,Product_Image,Price,Details
0,Z1975 CROSSOVER SKORT WITH BUTTONS,https://www.zara.com/in/en/z1975-crossover-skort-with-buttons-p00108043.html,[],"₹ 2,590.00",High-waist skort with a crossover front. Front pockets and rear patch pockets. Seamless hem. Front fastening with hidden zip and buttons.
1,Z1975 BAGGY BELTED DENIM BERMUDA SHORTS,https://www.zara.com/in/en/z1975-baggy-belted-denim-bermuda-shorts-p05862151.html,[],"₹ 2,990.00","High-waist Bermuda shorts with an elasticated waistband and gathering. Featuring front pockets, rear patch pockets, a belt, turn-up hems and zip fly and top button fastening at the front."
2,BERMUDA SHORTS WITH CUTWORK EMBROIDERY,https://www.zara.com/in/en/bermuda-shorts-with-cutwork-embroidery-p03399480.html,[],"₹ 2,590.00",High-waist Bermuda shorts with an elasticated waistband. Front pockets and back patch pockets.
3,TEXTURED SHORTS,https://www.zara.com/in/en/textured-shorts-p04661510.html,[],"₹ 2,290.00",Mid-waist shorts featuring an adjustable elastic drawstring waistband. Side pockets and front button detail.
5,TRF HIGH-RISE MOM FIT DENIM BERMUDA SHORTS,https://www.zara.com/in/en/trf-high-rise-mom-fit-denim-bermuda-shorts-p08197053.html,[],"₹ 2,290.00",HIGH-RISE - MOM FITHigh-rise Bermuda shorts with a five-pocket design. Front zip fly and metal top button fastening. Turn-up hems.
6,PLEATED HIGH-WAIST BERMUDA SHORTS,https://www.zara.com/in/en/pleated-high-waist-bermuda-shorts-p02753235.html,[],"₹ 2,590.00","High-waist Bermuda shorts with front darts. Front pockets and rear false flap pocket. Front zip fly, interior button and metal hook fastening."
7,EMBROIDERED SHORTS,https://www.zara.com/in/en/embroidered-shorts-p02731280.html,[],"₹ 3,290.00",High-waist shorts made of a linen blend. Contrast embroidery and invisible side zip fastening.
8,TRF CURVED HIGH-WAIST SHORTS,https://www.zara.com/in/en/trf-curved-high-waist-shorts-p08197055.html,[],"₹ 2,590.00",HIGH-RISE - CURVEDHigh-rise rigid shorts. Five-pocket design. Ripped details. Front zip and metallic button fastening.
9,SKORT,https://www.zara.com/in/en/skort-p07385530.html,[],"₹ 2,590.00",High-waist skort. Layered wrap detail in matching fabric. Invisible side zip fastening.
10,SHORTS WITH CUTWORK EMBROIDERY,https://www.zara.com/in/en/shorts-with-cutwork-embroidery-p04786280.html,[],"₹ 3,290.00",High-waist shorts with side patch pockets. Matching cutwork embroidery details. Invisible side zip fastening.
11,SKORT WITH SLIT DETAIL,https://www.zara.com/in/en/skort-with-slit-detail-p01608036.html,[],"₹ 2,890.00",High-waist skort featuring a front slit and invisible side zip fastening.
