,Product_Name,Link,Product_Image,Price,Details
0,Z1975 DENIM MIDI SKIRT,https://www.zara.com/in/en/z1975-denim-midi-skirt-p01879223.html,[],"₹ 2,990.00","Faded high-waist skirt featuring a five-pocket design, front vent at the hem and front button fastening."
1,FAUX LEATHER MINI SKIRT WITH CHAIN,https://www.zara.com/in/en/faux-leather-mini-skirt-with-chain-p08741264.html,[],"₹ 2,990.00",High-waist mini skirt. Lining. Metal chain links on the front. Invisible zip fastening.
2,SKORT WITH POCKETS,https://www.zara.com/in/en/skort-with-pockets-p05427516.html,[],"₹ 2,990.00",Mid-waist skort with an adjustable elasticated waistband with drawstrings and stoppers. Side patch pockets.
4,LONG SATIN SKIRT,https://www.zara.com/in/en/long-satin-skirt-p09878250.html,[],"₹ 2,990.00",Long skirt with a high and elastic waist.
5,KNOTTED MIDI SKIRT,https://www.zara.com/in/en/knotted-midi-skirt-p00387169.html,[],"₹ 2,990.00",High-waist flowing midi skirt. Knotted detail on the front. Side slit at the hem. Invisible zip fastening.
6,LINEN BLEND CROSSOVER SKIRT,https://www.zara.com/in/en/linen-blend-crossover-skirt-p02712470.html,[],"₹ 3,290.00","Midi skirt made of a linen blend. Featuring an asymmetric waist with belt loops, front welt pocket and front button fastening."
8,KNIT MIDI SKIRT WITH METALLIC THREAD,https://www.zara.com/in/en/knit-midi-skirt-with-metallic-thread-p03519049.html,[],"₹ 2,290.00",High-waist skirt with an elastic waistband. Front slit at the hem. Metallic thread detail.
9,ZW LONG DENIM SKIRT,https://www.zara.com/in/en/zw-long-denim-skirt-p06840272.html,[],"₹ 4,990.00",ZW ZARA WOMANHigh-waist long skirt with belt loops. Front pockets. Faded effect. Visible contrast topstitching detail. Seamless hem with opening at the back. Invisible zip fastening.
10,HIGH-WAIST DENIM SKIRT WITH SLIT,https://www.zara.com/in/en/high-waist-denim-skirt-with-slit-p02553241.html,[],"₹ 3,990.00",ZW ZARA WOMANFaded high-waist long skirt with belt loops and a five-pocket design. Frayed split hems. Front zip fly and top button fastening.
11,LONG PRINTED SKIRT,https://www.zara.com/in/en/long-printed-skirt-p09878218.html,[],"₹ 3,290.00",High-waist skirt featuring an elasticated waistband and a matching thin belt with tassels.
12,LONG SKIRT WITH SIDE SLIT,https://www.zara.com/in/en/long-skirt-with-side-slit-p03992241.html,[],"₹ 4,990.00",Long high-waist skirt. Creased fabric detail. Flared hem with front slit.
13,RUSTIC TEXTURED SKIRT,https://www.zara.com/in/en/rustic-textured-skirt-p04437250.html,[],"₹ 3,290.00",Mid-rise midi skirt made of a cotton and linen blend. Adjustable drawstring waist. Frayed trims. Flared hem.
14,SATIN PLEATED SKIRT,https://www.zara.com/in/en/satin-pleated-skirt-p09878240.html,[],"₹ 3,290.00",High-waist midi skirt with invisible side zip fastening.
15,FAUX LEATHER SKIRT WITH POCKETS,https://www.zara.com/in/en/faux-leather-skirt-with-pockets-p04341501.html,[],"₹ 2,990.00",Mid-waist mini skirt with belt loops. Patch pockets on the front. Front zip fly and metal hook fastening.
16,KNIT CUT-OUT SKIRT,https://www.zara.com/in/en/knit-cut-out-skirt-p03920038.html,[],"₹ 2,890.00","High-waist midi skirt featuring an elasticated waistband with side cut-out detail, rhinestone appliqué and a side slit at the hem."
17,POINTELLE KNIT MINI SKIRT,https://www.zara.com/in/en/pointelle-knit-mini-skirt-p04331079.html,[],"₹ 2,590.00",High-waist skirt featuring an adjustable elasticated waistband with drawstrings. Ruffled hem.
18,TRF ASYMMETRIC DENIM METALLIC SKIRT,https://www.zara.com/in/en/trf-asymmetric-denim-metallic-skirt-p06045017.html,[],"₹ 4,990.00",High-waist midi skirt featuring an asymmetric waist with belt loops. Front and back pockets. Metallic fabric detail. Frayed hem with front slit. Zip and button fastening on the front.
19,MIDI SKIRT WITH GATHERED DETAIL,https://www.zara.com/in/en/midi-skirt-with-gathered-detail-p01971186.html,[],"₹ 3,290.00",High-waist midi skirt. Twisted fabric with tie detail on the side. Hem with crossover opening. Invisible back zip fastening.
20,MIDI PENCIL SKIRT,https://www.zara.com/in/en/midi-pencil-skirt-p08489600.html,[],"₹ 3,290.00","High-waist midi skirt with welt pockets on the front. Front slit at the hem. Front fastening with metal hook, inside button and zip."
21,LONG DENIM TRF SKIRT,https://www.zara.com/in/en/long-denim-trf-skirt-p08197054.html,[],"₹ 3,290.00","Mid-waist long skirt with five pockets. Featuring a seamless hem with a front slit and crossover fastening on the front with inside button, zip and metal button."
22,SKORT WITH SLIT DETAIL,https://www.zara.com/in/en/skort-with-slit-detail-p01608036.html,[],"₹ 2,890.00",High-waist skort featuring a front slit and invisible side zip fastening.
23,ASYMMETRIC SKORT,https://www.zara.com/in/en/asymmetric-skort-p04661515.html,[],"₹ 2,590.00",Not Found
24,VOLUMINOUS MIDI SKIRT,https://www.zara.com/in/en/voluminous-midi-skirt-p04437246.html,[],"₹ 4,990.00",High-waist midi skirt with an elastic waist. Front pockets. Pleated detail.
25,BOX PLEAT SKORT,https://www.zara.com/in/en/box-pleat-skort-p03022792.html,[],"₹ 2,990.00",High-waist skort with front pleats and false golden buttons. Invisible side zip fastening.
26,DENIM TRF SKIRT,https://www.zara.com/in/en/denim-trf-skirt-p04365091.html,[],"₹ 2,990.00",Mid-rise long skirt with a five-pocket design. Faded effect. Front zip fly and metal button fastening.
27,SATIN MIDI SKIRT,https://www.zara.com/in/en/satin-midi-skirt-p07968963.html,[],"₹ 2,990.00",High-waist skirt with an elastic waistband.
28,Z1975 CROSSOVER SKORT WITH BUTTONS,https://www.zara.com/in/en/z1975-crossover-skort-with-buttons-p00108043.html,[],"₹ 2,590.00",High-waist skort with a crossover front. Front pockets and rear patch pockets. Seamless hem. Front fastening with hidden zip and buttons.
31,DENIM TRF CARGO SKIRT,https://www.zara.com/in/en/denim-trf-cargo-skirt-p04365294.html,[],"₹ 2,990.00","Mid-waist short skirt with front pockets, side patch pockets and false flap pockets at the back. Front zip fly and metal top button fastening."
32,LONG DENIM TRF SKIRT,https://www.zara.com/in/en/long-denim-trf-skirt-p06688201.html,[],"₹ 3,290.00",Mid-waist long skirt with five pockets. Featuring a seamless hem with a front slit and fastening on the front with a zip and metal button.
34,LONG LINEN SKIRT,https://www.zara.com/in/en/long-linen-skirt-p07972919.html,[],"₹ 4,990.00",Long mid-rise skirt made of 100% linen. Featuring adjustable drawstrings in the same fabric and a flared hem with frayed trims.
35,SEQUINNED MINISKIRT,https://www.zara.com/in/en/sequinned-miniskirt-p07901500.html,[],"₹ 3,290.00",Mid-rise mini skirt. Contrast bead and sequin details. Matching lining. Invisible side zip fastening.
36,Z1975 DENIM MIDI SKIRT WITH SLIT,https://www.zara.com/in/en/z1975-denim-midi-skirt-with-slit-p06164152.html,[],"₹ 2,990.00",High-waist skirt with five pockets. Seamless hem with a front slit. Front zip and button fastening.
37,ASYMMETRIC SKORT,https://www.zara.com/in/en/asymmetric-skort-p05427407.html,[],"₹ 2,590.00",High-waist skort. False welt pockets on the front. Layered wrap detail in matching fabric. Invisible side zip fastening.
38,Z1975 DENIM MIDI SKIRT WITH FRONT SLIT,https://www.zara.com/in/en/z1975-denim-midi-skirt-with-front-slit-p06164201.html,[],"₹ 2,990.00",Faded high-waist skirt with a five-pocket design. Featuring a front vent at the hem. Zip fly and metal top button fastening.
39,SKORTS WITH BELT,https://www.zara.com/in/en/skorts-with-belt-p01165227.html,[],"₹ 2,990.00",High-waist skort. Belt detail in the same fabric with a lined buckle. Hem with front vents. Invisible side zip fastening.
40,PRINTED DRAPED SKIRT,https://www.zara.com/in/en/printed-draped-skirt-p05039206.html,[],"₹ 2,290.00",Printed high-waist midi skirt and elasticated interior at the waist. Draped fabric detail. Side slit at the hem.
41,ASYMMETRIC CROCHET SKIRT,https://www.zara.com/in/en/asymmetric-crochet-skirt-p02712482.html,[],"₹ 3,990.00","High-waist crochet midi skirt featuring an elastic waist, matching lining and asymmetric hem."
42,SKORT WITH BOW,https://www.zara.com/in/en/skort-with-bow-p03495363.html,[],"₹ 1,990.00",High-waist skort with a matching bow. Ruffled hem. Invisible side zip fastening.
43,GATHERED ORGANZA MIDI SKIRT,https://www.zara.com/in/en/gathered-organza-midi-skirt-p02712849.html,[],"₹ 2,590.00",High-waist midi skirt with an elastic waistband. Gathered fabric detail. Matching lining. Seamless hem.
44,TRF DENIM BOX PLEAT SKIRT,https://www.zara.com/in/en/trf-denim-box-pleat-skirt-p06045204.html,[],"₹ 2,990.00","Mid-waist mini skirt featuring side pockets, a box pleat hem, ripped detailing on the hem and front zip fly and metal top button fastening."
45,CARGO SKORT WITH BELT,https://www.zara.com/in/en/cargo-skort-with-belt-p07102510.html,[],"₹ 2,990.00",Mid-rise skort. Patch pocket detail on the front. Invisible side zip fastening and belt with metal buckle.
46,PRINTED MIDI SKIRT,https://www.zara.com/in/en/printed-midi-skirt-p07685024.html,[],"₹ 4,990.00",High-waist midi skirt. Pleated details at the waist. Invisible zip fastening.
