,Product_Name,Link,Product_Image,Price,Details
0,Z1975 STRAIGHT-FIT HIGH-WAIST LONG LENGTH JEANS,https://www.zara.com/in/en/z1975-straight-fit-high-waist-long-length-jeans-p00108222.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0108/222/407/2/w/448/0108222407_1_1_1.jpg?ts=1689762518756': 'Image 0 of Z1975 STRAIGHT-FIT HIGH-WAIST LONG LENGTH JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0108/222/407/2/w/448/0108222407_2_1_1.jpg?ts=1689937335160': 'Image 1 of Z1975 STRAIGHT-FIT HIGH-WAIST LONG LENGTH JEANS from Zara'}]","₹ 3,290.00",HIGH-WAIST - REGULAR REG - LONG LENGTH - RIGID High-waist jeans with five pockets. Faded effect. Straight-leg and long-leg design. Front zip fly and button fastening.View more
1,FLOWING SATIN SHIRT,https://www.zara.com/in/en/flowing-satin-shirt-p02197745.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2197/745/307/19/w/448/2197745307_1_1_1.jpg?ts=1692689718099': 'Image 0 of FLOWING SATIN SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2197/745/307/19/w/448/2197745307_2_1_1.jpg?ts=1692689717579': 'Image 1 of FLOWING SATIN SHIRT from Zara'}]","₹ 2,290.00","Shirt with a johnny collar, long sleeves and a button-up front."
3,SATIN SHIRT,https://www.zara.com/in/en/satin-shirt-p08741256.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7868/226/800/20/w/448/7868226800_1_1_1.jpg?ts=1690548190890': 'Image 0 of SATIN SHIRT from Zara'}, {'https://static.zara.net/photos///2023/V/0/1/p/8741/256/800/2/w/448/8741256800_6_1_1.jpg?ts=1674043417701': 'Image 1 of SATIN SHIRT from Zara'}]","₹ 1,990.00",Collared shirt with a V-neckline. Long cuffed sleeves. Front button fastening.
4,Z1975 HIGH-WAIST BAGGY PAPERBAG JEANS,https://www.zara.com/in/en/z1975-high-waist-baggy-paperbag-jeans-p05862165.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5862/165/407/2/w/448/5862165407_1_1_1.jpg?ts=1688573296923': 'Image 0 of Z1975 HIGH-WAIST BAGGY PAPERBAG JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5862/165/407/2/w/448/5862165407_2_1_1.jpg?ts=1688573296894': 'Image 1 of Z1975 HIGH-WAIST BAGGY PAPERBAG JEANS from Zara'}]","₹ 3,290.00","HIGH-RISE - BAGGY PAPERBAG - CARROT LEG - ANKLE - RIGIDHigh-waist jeans with an elasticated waistband and gathered details. Featuring front pockets, rear patch pockets, turn-up hems and a zip and button fastening at the front.View more"
5,PRINTED MINI DRESS,https://www.zara.com/in/en/printed-mini-dress-p09878235.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9878/235/031/2/w/448/9878235031_1_1_1.jpg?ts=1690974865321': 'Image 0 of PRINTED MINI DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9878/235/031/2/w/448/9878235031_2_1_1.jpg?ts=1690974866447': 'Image 1 of PRINTED MINI DRESS from Zara'}]","₹ 3,290.00",Slot collar dress with long sleeves with elasticated trims. Front pintuck detail. Ruffled hem. Fastens at the front with buttons.
6,SATIN CROPPED BOMBER JACKET,https://www.zara.com/in/en/satin-cropped-bomber-jacket-p04661770.html,"[{'https://static.zara.net/photos///2023/V/0/1/p/4661/770/800/18/w/448/4661770800_1_1_1.jpg?ts=1685628850347': 'Image 0 of SATIN CROPPED BOMBER JACKET from Zara'}, {'https://static.zara.net/photos///2023/V/0/1/p/4661/770/800/18/w/448/4661770800_2_1_1.jpg?ts=1685628848975': 'Image 1 of SATIN CROPPED BOMBER JACKET from Zara'}]","₹ 4,990.00","Bomber jacket with a round neckline and long sleeves with shoulder pads. Featuring matching ribbed trims, side pockets and snap-button fastening at the front."
8,METALLIC KNIT TOP,https://www.zara.com/in/en/metallic-knit-top-p09325102.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9325/102/808/17/w/448/9325102808_1_1_1.jpg?ts=1690990296250': 'Image 0 of METALLIC KNIT TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9325/102/808/17/w/448/9325102808_2_1_1.jpg?ts=1690990294925': 'Image 1 of METALLIC KNIT TOP from Zara'}]","₹ 2,990.00",Round neck top with short sleeves.
9,FABRIC HIGH-HEEL SANDALS,https://www.zara.com/in/en/fabric-high-heel-sandals-p13326110.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/3326/110/604/2/w/448/3326110604_1_1_1.jpg?ts=1689179487367': 'Image 0 of FABRIC HIGH-HEEL SANDALS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3326/110/604/2/w/448/3326110604_2_1_1.jpg?ts=1689179487421': 'Image 1 of FABRIC HIGH-HEEL SANDALS from Zara'}]","₹ 3,290.00","Fabric high-heel sandals. Wide strap on the front and thin strap on the instep. Square toe. Heel height: 9.5 cm. / 3.7″ AIRFIT®. Flexible technical latex foam insole, designed to offer greater comfort.View more"
10,PRINTED SHIRT WITH POCKET,https://www.zara.com/in/en/printed-shirt-with-pocket-p02183250.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2183/250/400/2/w/448/2183250400_1_1_1.jpg?ts=1691652251111': 'Image 0 of PRINTED SHIRT WITH POCKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2183/250/400/2/w/448/2183250400_2_1_1.jpg?ts=1691652251091': 'Image 1 of PRINTED SHIRT WITH POCKET from Zara'}]","₹ 3,290.00",Shirt made of 100% cotton. Johnny collar and sleeves that fall below the elbow. Chest patch pocket. Asymmetric hem. Button-up front.
12,SHORT PRINTED DRESS,https://www.zara.com/in/en/short-printed-dress-p09878227.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9878/227/070/17/w/448/9878227070_1_1_1.jpg?ts=1690983018753': 'Image 0 of SHORT PRINTED DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9878/227/070/17/w/448/9878227070_2_1_1.jpg?ts=1690983019384': 'Image 1 of SHORT PRINTED DRESS from Zara'}]","₹ 3,290.00",Short dress with a slot collar and long sleeves. Ruffled hem. Front button fastening.
