,Product_Name,Link,Product_Image,Price,Details
0,HEAVY COTTON T-SHIRT,https://www.zara.com/in/en/heavy-cotton-t-shirt-p04424627.html,[],"₹ 1,590.00",ROUND NECK - NORMAL LENGTH - DROP SLEEVEST-shirt made of 100% cotton. Round neck and drop sleeves.
5,DRAPED NECK TOP,https://www.zara.com/in/en/draped-neck-top-p01198626.html,[],"₹ 1,590.00",LOOSE FIT - DRAPED NECK - NORMAL LENGTH Drop sleeve top with a draped round neck.
6,CREPE SHORT SLEEVE T-SHIRT,https://www.zara.com/in/en/crepe-short-sleeve-t-shirt-p00264483.html,[],"₹ 1,590.00",REGULAR FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt made of 100% cotton crepe fabric. Round neckline and short sleeves.
8,EMBROIDERED COLLAR T-SHIRT,https://www.zara.com/in/en/embroidered-collar-t-shirt-p07901631.html,[],"₹ 1,990.00",ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt with a round neck and short sleeves. Layered collar detail with embroidery
9,T-SHIRT WITH CONTRAST PRINT,https://www.zara.com/in/en/t-shirt-with-contrast-print-p00085460.html,[],"₹ 1,990.00",LOOSE FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt with a round neck and short sleeves. Contrast drawstring appliqué and print detail on the front.
10,T-SHIRT WITH SIDE KNOT,https://www.zara.com/in/en/t-shirt-with-side-knot-p01198458.html,[],"₹ 1,990.00",LOOSE FIT - ROUND NECK - NORMAL LENGTH - DROP SLEEVESRound neck T-shirt with drop sleeves. Featuring an asymmetric hem with a side knot in the same fabric.
14,HEAVY COTTON COCOON T-SHIRT,https://www.zara.com/in/en/heavy-cotton-cocoon-t-shirt-p04174468.html,[],"₹ 1,890.00",ROUND NECK - NORMAL LENGTH - SHORT SLEEVES Round neck T-shirt made of 100% cotton with short sleeves.
21,BASIC T-SHIRT WITH ASYMMETRIC HEM,https://www.zara.com/in/en/basic-t-shirt-with-asymmetric-hem-p04174825.html,[],₹ 490.00,REGULAR FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt with a round neck and short sleeves. Asymmetric hem.
31,ASYMMETRIC RHINESTONE T-SHIRT,https://www.zara.com/in/en/asymmetric-rhinestone-t-shirt-p05644642.html,[],"₹ 1,890.00",Not Found
32,T-SHIRT WITH SHIMMER AND SLOGAN,https://www.zara.com/in/en/t-shirt-with-shimmer-and-slogan-p05644460.html,[],"₹ 1,590.00",SLIM FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVESRound neck T-shirt with short sleeves. Slogan detail on the front with rhinestone appliqués.
34,RIBBED STRAPPY VEST TOP,https://www.zara.com/in/en/ribbed-strappy-vest-top-p03253306.html,[],₹ 790.00,Vest top with a round neckline.
35,STRIPED COTTON T-SHIRT,https://www.zara.com/in/en/striped-cotton-t-shirt-p00264479.html,[],"₹ 1,990.00",LOOSE FIT - BOAT NECK - NORMAL LENGTH - LONG SLEEVEST-shirt made of a cotton blend. Boat neck and long sleeves.
36,LIGHTWEIGHT RIBBED T-SHIRT,https://www.zara.com/in/en/lightweight-ribbed-t-shirt-p04174637.html,[],₹ 990.00,SLIM FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVEST-shirt made of a cotton blend. Round neck and short sleeves.
40,PLUSH VEST,https://www.zara.com/in/en/plush-vest-p03253815.html,[],"₹ 1,890.00",Vest made of a cotton blend. V-neck and drop sleeves. Matching ribbed trims.
43,BASIC T-SHIRT,https://www.zara.com/in/en/basic-t-shirt-p03253328.html,[],₹ 690.00,T-shirt made of cotton with a round neck and short sleeves.
45,FADED-EFFECT T-SHIRT WITH SLOGAN,https://www.zara.com/in/en/faded-effect-t-shirt-with-slogan-p05643822.html,[],"₹ 1,890.00","LOOSE FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVESFaded cotton T-shirt featuring a round neck, short sleeves and contrast slogan on the front and back."
47,RIBBED T-SHIRT WITH FOIL,https://www.zara.com/in/en/ribbed-t-shirt-with-foil-p01165695.html,[],"₹ 1,990.00",REGULAR FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVESRound neck T-shirt with short sleeves.
49,COMBINED STRIPED TOP,https://www.zara.com/in/en/combined-striped-top-p00264809.html,[],"₹ 1,990.00",Sleeveless round neck top made of cotton. Featuring contrast fabric on the front with darts and a buttoned opening at the back.
50,CONTRAST HOODIE,https://www.zara.com/in/en/contrast-hoodie-p00085842.html,[],"₹ 3,990.00",Long sleeve hoodie in contrast fabric with a front pouch pocket.
51,LONG SLEEVE CONTRAST STRIPED T-SHIRT,https://www.zara.com/in/en/long-sleeve-contrast-striped-t-shirt-p05644828.html,[],"₹ 2,290.00",T-shirt made of cotton. Round neck and long sleeves. Contrast fabric detail on the back. Asymmetric hem.
52,SHORT SLEEVE CONTRAST STRIPED T-SHIRT,https://www.zara.com/in/en/short-sleeve-contrast-striped-t-shirt-p05644827.html,[],"₹ 1,990.00",T-shirt made of cotton. Round neck and short sleeves. Contrast fabric detail on the back. Asymmetric hem.
53,FADED COTTON T-SHIRT,https://www.zara.com/in/en/faded-cotton-t-shirt-p02335008.html,[],₹ 990.00,SLIM FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVES Faded cotton T-shirt with a round neck and short sleeves.
54,CROPPED STRETCH T-SHIRT,https://www.zara.com/in/en/cropped-stretch-t-shirt-p04424159.html,[],₹ 590.00,SLIM FIT - ROUND NECK - SHORT - SHORT SLEEVESCropped short sleeve T-shirt made of a cotton blend with a round neck.
55,RIBBED LIGHTWEIGHT COTTON T-SHIRT,https://www.zara.com/in/en/ribbed-lightweight-cotton-t-shirt-p04174172.html,[],₹ 890.00,REGULAR FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVESRound neck T-shirt made of cotton with short sleeves.
57,T-SHIRT WITH SLOGAN,https://www.zara.com/in/en/t-shirt-with-slogan-p05643820.html,[],₹ 790.00,ROUND NECK - NORMAL LENGTH - SHORT SLEEVESCotton T-shirt. Round neck and short sleeves. Contrast slogan detail on the front.
