,Product_Name,Link,Product_Image,Price,Details
0,SATIN STRAPLESS TOP,https://www.zara.com/in/en/satin-strapless-top-p03067096.html,[],"₹ 2,590.00","Top with a straight neckline and exposed shoulders. Featuring matching lining, an asymmetric hem and back zip fastening."
1,STRETCH TOP,https://www.zara.com/in/en/stretch-top-p08027717.html,[],"₹ 2,590.00",Fitted top with a square-cut neckline and straps. Fastens at the back with a metal zip.
2,FOIL HALTER TOP,https://www.zara.com/in/en/foil-halter-top-p03067085.html,[],"₹ 2,590.00",V-neck halter top made of metallic fabric. Lining. Open back. Invisible side zip fastening.
3,ASYMMETRIC HALTERNECK TOP,https://www.zara.com/in/en/asymmetric-halterneck-top-p00219810.html,[],"₹ 2,290.00","Top made of pleated satin fabric with a halter neck. Featuring an open back, asymmetric hem and button fastening at the neck."
4,LINEN BLEND CROP TOP,https://www.zara.com/in/en/linen-blend-crop-top-p02712469.html,[],"₹ 2,990.00",Short top made of a linen blend. Straight neckline and exposed shoulders. Pleated detail on the front.
5,RIBBED KNIT TOP,https://www.zara.com/in/en/ribbed-knit-top-p03519101.html,[],"₹ 1,890.00",Sleeveless top made of a cotton blend. Featuring a round neckline.
6,METALLIC MESH KNIT TOP,https://www.zara.com/in/en/metallic-mesh-knit-top-p08146116.html,[],"₹ 3,290.00",Top with a round neck and long sleeves. Matching ribbed trims.
7,PLEATED TOP WITH BELT,https://www.zara.com/in/en/pleated-top-with-belt-p07484165.html,[],"₹ 2,990.00",Sleeveless top featuring a high neck with pleat detail. Tied belt in the same fabric. Concealed buttoned opening at the back.
8,OPEN KNIT CAPE,https://www.zara.com/in/en/open-knit-cape-p02756102.html,[],"₹ 3,290.00",Cape in a textured open knit fabric with an asymmetric neck and sleeve.
9,HALTER NECK BODYSUIT,https://www.zara.com/in/en/halter-neck-bodysuit-p05039670.html,[],"₹ 1,290.00",Halter neck bodysuit with snap-button fastening at the bottom.
12,PLEATED OPEN-BACK TOP,https://www.zara.com/in/en/pleated-open-back-top-p07969232.html,[],"₹ 2,990.00",High neck top with long sleeves. Open back detail. Invisible side zip fastening and buttons.
13,SLEEVELESS CABLE-KNIT TOP,https://www.zara.com/in/en/sleeveless-cable-knit-top-p08851100.html,[],"₹ 1,990.00",Sleeveless round neck top.
14,MESH SEAMLESS TOP WITH RHINESTONES,https://www.zara.com/in/en/mesh-seamless-top-with-rhinestones-p01014838.html,[],"₹ 2,290.00",Top made of stretchy mesh fabric. Round neck and long sleeves. Rhinestone appliqué details.
15,BEADED CROCHET TOP,https://www.zara.com/in/en/beaded-crochet-top-p04340008.html,[],"₹ 5,990.00",Crochet top with multicoloured beads. Round neck and back fastening.
16,SHORT CROCHET TOP,https://www.zara.com/in/en/short-crochet-top-p07521302.html,[],"₹ 2,990.00","Crochet crop top with a V-neckline, wide straps and cutwork fabric detail."
