,Product_Name,Link,Product_Image,Price,Details
0,WIDE WAISTBAND LEGGINGS,https://www.zara.com/in/en/wide-waistband-leggings-p03046233.html,[],"₹ 2,290.00",High-waist leggings with a wide elastic waistband.
1,PLEATED SATIN-FINISH TROUSERS,https://www.zara.com/in/en/pleated-satin-finish-trousers-p00219811.html,[],"₹ 2,990.00",Trousers made of pleated satin fabric. Elastic drawstring waistband. Wide-leg design.
2,PRINTED FOIL TROUSERS,https://www.zara.com/in/en/printed-foil-trousers-p07102509.html,[],"₹ 2,990.00",High-waist trousers with an elasticated waistband and adjustable drawstrings. Metallic print detail.
3,FOIL TROUSERS,https://www.zara.com/in/en/foil-trousers-p08400350.html,[],"₹ 2,990.00",High-waist trousers made of metallic satin fabric. Featuring an elastic waistband and in-seam side pockets.
5,BODY SHAPING LEGGINGS,https://www.zara.com/in/en/body-shaping-leggings-p08372275.html,[],"₹ 2,290.00",High-waist leggings with a fitted elasticated waistband. Invisible side zip fastening.
7,HIGH-WAIST DENIM LEGGINGS WITH BUTTONS,https://www.zara.com/in/en/high-waist-denim-leggings-with-buttons-p04387246.html,[],"₹ 2,290.00",High-waist denim leggings with an elastic waistband. Snap-button and zip fastening at the front.
8,HIGH-WAIST LEGGINGS WITH BUTTONS,https://www.zara.com/in/en/high-waist-leggings-with-buttons-p03046232.html,[],"₹ 2,290.00",High-waist leggings featuring an elasticated waistband and raised golden buttons on the front.
9,HIGH-WAIST TROUSERS,https://www.zara.com/in/en/high-waist-trousers-p07102562.html,[],"₹ 2,590.00","High-waist trousers with seam detail on the front and back. Front welt pockets. Front zip fly, inside button and metal hook fastening."
10,HIGH WAISTED CARROT TROUSERS,https://www.zara.com/in/en/high-waisted-carrot-trousers-p07385502.html,[],"₹ 3,990.00","High-waist trousers with side pockets, back patch pockets and leg pockets. Belt loops with metal buckle on the front. Front zip and inside button fastening."
11,KNIT STRIPED CULOTTES,https://www.zara.com/in/en/knit-striped-culottes-p05802081.html,[],"₹ 3,290.00",High-waist trousers with an elastic waistband and wide-leg design.
12,BARREL TROUSERS WITH CUFFED HEMS,https://www.zara.com/in/en/barrel-trousers-with-cuffed-hems-p01608222.html,[],"₹ 3,290.00",High-waist trousers featuring front pockets and false welt pocket at the back. Front and hem dart details. Front zip fly and button fastening.
13,SATIN CARGO TROUSERS,https://www.zara.com/in/en/satin-cargo-trousers-p09663042.html,[],"₹ 5,990.00",Mid-rise satin trousers made of viscose. Belt loops. Side pockets and multiple patch pockets with flaps. Straight leg. Front zip and button fastening.
15,PRINTED WRAP TROUSERS,https://www.zara.com/in/en/printed-wrap-trousers-p07620631.html,[],"₹ 3,990.00",High-waist trousers with a front knot and a straight-leg design.
16,LONG FLOWING TROUSERS,https://www.zara.com/in/en/long-flowing-trousers-p02731271.html,[],"₹ 2,990.00",Loose-fitting high-waist trousers with a straight-leg design. Invisible side zip fastening.
17,STRAIGHT-LEG TROUSERS WITH TURN-UP HEMS,https://www.zara.com/in/en/straight-leg-trousers-with-turn-up-hems-p01478131.html,[],"₹ 3,290.00","High-waist trousers featuring front pockets and a rear false welt pockets. Straight-leg design and turn-up hems. Front zip fly, interior button and metal hook fastening."
18,WIDE-LEG TROUSERS WITH ZIPS,https://www.zara.com/in/en/wide-leg-trousers-with-zips-p08338507.html,[],"₹ 2,990.00",Mid-rise trousers with belt loops. In-seam zip pockets and rear welt pockets. Matching visible topstitching. Wide leg. Zip-up front.
19,FLARED FULL LENGTH TROUSERS,https://www.zara.com/in/en/flared-full-length-trousers-p02753335.html,[],"₹ 3,290.00","High-waist trousers with front pockets and a back false welt pockets. Flared hems. Front zip fly, interior button and metal hook fastening."
20,CROPPED STRAIGHT-FIT SATIN TROUSERS,https://www.zara.com/in/en/cropped-straight-fit-satin-trousers-p07385503.html,[],"₹ 2,590.00",Mid-rise trousers with an adjustable elasticated waistband with drawstrings.
21,METALLIC PRINT TROUSERS,https://www.zara.com/in/en/metallic-print-trousers-p07102508.html,[],"₹ 2,990.00",Mid-waist flowing trousers with an elasticated waistband and adjustable drawstrings. Metallic print detail.
22,HIGH-RISE STRAIGHT-FIT TRF CARGO TROUSERS,https://www.zara.com/in/en/high-rise-straight-fit-trf-cargo-trousers-p05520165.html,[],"₹ 2,890.00",High-waist trousers with patch pockets on the sides and on the leg and false pockets with flaps on the back. Front zip fly and metal button fastening.
23,FLARED HIGH-WAIST LEGGINGS,https://www.zara.com/in/en/flared-high-waist-leggings-p01198222.html,[],"₹ 2,290.00",HIGH WAIST - FLARE LEG - FULL LENGTH - COMFORTHigh-waist leggings with an elastic waistband. Long flared hem.
25,PAPERBAG TROUSERS WITH BELT,https://www.zara.com/in/en/paperbag-trousers-with-belt-p00779158.html,[],"₹ 3,990.00","High-waist trousers with front darts. Front pockets and side patch pockets with flaps. Adjustable hems with button fastening. Front zip fly, interior button and metal hook fastening. Belt with buckle and metal studs."
26,TEXTURED JACQUARD TROUSERS,https://www.zara.com/in/en/textured-jacquard-trousers-p05039637.html,[],"₹ 2,290.00",High-waist trousers with an inner elasticated waistband. Textured fabric detail. Wide-leg design.
27,TROUSERS WITH LINED BELT,https://www.zara.com/in/en/trousers-with-lined-belt-p04387340.html,[],"₹ 3,290.00","High-waist cropped trousers with darts and a matching lined belt. Front pockets and false rear welt pockets. Front zip fly, interior button and metal hook fastening."
29,FLARED TROUSERS,https://www.zara.com/in/en/flared-trousers-p08372253.html,[],"₹ 3,290.00","Mid-rise trousers. Flared hems. Front zip fly, interior button and metal hook fastening."
30,SEQUINNED SATIN TROUSERS,https://www.zara.com/in/en/sequinned-satin-trousers-p02731092.html,[],"₹ 5,990.00",High-waist trousers made of viscose. Elastic waistband with adjustable drawstrings. Side pockets and rear patch pockets. Embroidery detail with sequin appliqués. Straight-leg design.
32,HIGH-WAIST SLIM FIT TROUSERS,https://www.zara.com/in/en/high-waist-slim-fit-trousers-p08373701.html,[],"₹ 3,290.00","High-waist trousers with belt loops. Side pockets rear false welt pockets. Pronounced seams on the front. Front zip fly, inside button and metal hook fastening."
33,FULL LENGTH LINEN BLEND TROUSERS,https://www.zara.com/in/en/full-length-linen-blend-trousers-p05427422.html,[],"₹ 2,990.00","High-waist trousers in a linen blend. Side pockets and rear false welt pockets. Dart details on the front. Front zip fly, inside button and metal hook fastening."
35,BELTED CARGO TROUSERS,https://www.zara.com/in/en/belted-cargo-trousers-p00779157.html,[],"₹ 3,990.00",High-waist trousers featuring a matching belt. Front pockets and false rear welt pockets. Front zip fly and metal hook fastening.
36,SATIN CARGO TROUSERS,https://www.zara.com/in/en/satin-cargo-trousers-p07845591.html,[],"₹ 3,290.00","High-waist trousers featuring an elasticated waistband at the back. Front pockets and side patch pockets with flaps. Straight-leg design. Front zip fly, interior button and metal hook fastening."
