,Product_Name,Link,Product_Image,Price,Details
0,PLUSH VEST,https://www.zara.com/in/en/plush-vest-p03253815.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3253/815/505/2/w/448/3253815505_1_1_1.jpg?ts=1692865109517': 'Image 0 of PLUSH VEST from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3253/815/505/2/w/448/3253815505_2_1_1.jpg?ts=1692865109462': 'Image 1 of PLUSH VEST from Zara'}]","₹ 1,890.00",Vest made of a cotton blend. V-neck and drop sleeves. Matching ribbed trims.
2,WATER-REPELLENT PUFFER GILET WITH WIND PROTECTION,https://www.zara.com/in/en/water-repellent-puffer-gilet-with-wind-protection-p03046219.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3046/219/706/2/w/448/3046219706_6_1_1.jpg?ts=1692947385890': 'Image 0 of WATER-REPELLENT PUFFER GILET WITH WIND PROTECTION from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3046/219/706/2/w/448/3046219706_6_2_1.jpg?ts=1692947385265': 'Image 1 of WATER-REPELLENT PUFFER GILET WITH WIND PROTECTION from Zara'}]","₹ 4,990.00",WATER-REPELLENT - WIND PROTECTION Long puffer gilet with a high neck and an adjustable drawstring hood. Front zip pockets. Metal zip front fastening.
6,WATER-REPELLENT PUFFER GILET WITH WIND PROTECTION,https://www.zara.com/in/en/water-repellent-puffer-gilet-with-wind-protection-p08073211.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8073/211/084/2/w/448/8073211084_6_1_1.jpg?ts=1692947467421': 'Image 0 of WATER-REPELLENT PUFFER GILET WITH WIND PROTECTION from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8073/211/084/2/w/448/8073211084_6_2_1.jpg?ts=1692947467484': 'Image 1 of WATER-REPELLENT PUFFER GILET WITH WIND PROTECTION from Zara'}]","₹ 3,290.00",WATER-REPELLENT - WIND PROTECTION Puffer gilet with a high neck and an adjustable hood with elastic drawstrings and stoppers. Pockets with fleece lining and in-seam zips. Contrast fabric on the sides. Thermo-sealed zip-up front.View more
8,SHORT TAILORED WAISTCOAT,https://www.zara.com/in/en/short-tailored-waistcoat-p09929329.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/329/704/2/w/448/9929329704_1_1_1.jpg?ts=1693208680604': 'Image 0 of SHORT TAILORED WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/329/704/2/w/448/9929329704_2_1_1.jpg?ts=1693208681036': 'Image 1 of SHORT TAILORED WAISTCOAT from Zara'}]","₹ 2,990.00",V-neck waistcoat. Featuring false welt pockets and button fastening on the front.
9,BELTED TUXEDO WAISTCOAT,https://www.zara.com/in/en/belted-tuxedo-waistcoat-p07848187.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7848/187/800/13/w/448/7848187800_1_1_1.jpg?ts=1690987261599': 'Image 0 of BELTED TUXEDO WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7848/187/800/13/w/448/7848187800_2_1_1.jpg?ts=1690987261358': 'Image 1 of BELTED TUXEDO WAISTCOAT from Zara'}]","₹ 5,990.00",Sleeveless waistcoat with a shawl collar. Tied belt in matching fabric. Matching lining.
11,TAILORED WAISTCOAT,https://www.zara.com/in/en/tailored-waistcoat-p02753535.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2753/535/800/2/w/448/2753535800_1_1_1.jpg?ts=1691758137247': 'Image 0 of TAILORED WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2753/535/800/2/w/448/2753535800_2_1_1.jpg?ts=1691758139956': 'Image 1 of TAILORED WAISTCOAT from Zara'}]","₹ 2,990.00",Sleeveless waistcoat with a V-neck. Front jetted pockets on the front. Button-up front.
12,LINEN BLEND LONG WAISTCOAT,https://www.zara.com/in/en/linen-blend-long-waistcoat-p07942939.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7942/939/052/2/w/448/7942939052_1_1_1.jpg?ts=1686153834906': 'Image 0 of LINEN BLEND LONG WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7942/939/052/2/w/448/7942939052_2_1_1.jpg?ts=1686153834527': 'Image 1 of LINEN BLEND LONG WAISTCOAT from Zara'}]","₹ 5,590.00",Sleeveless waistcoat made of a linen blend. Lapel collar. Front patch pockets. Front button fastening and belt in the same fabric.
13,CONTRAST WAISTCOAT TOP,https://www.zara.com/in/en/contrast-waistcoat-top-p03666163.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3666/163/800/2/w/448/3666163800_1_1_1.jpg?ts=1692360255901': 'Image 0 of CONTRAST WAISTCOAT TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3666/163/800/2/w/448/3666163800_2_1_1.jpg?ts=1692360255855': 'Image 1 of CONTRAST WAISTCOAT TOP from Zara'}]","₹ 2,590.00",Sleeveless V-neck top with satin lapels and metal button fastening at the front.
14,FITTED BUTTONED WAISTCOAT,https://www.zara.com/in/en/fitted-buttoned-waistcoat-p02731287.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2731/287/800/2/w/448/2731287800_1_1_1.jpg?ts=1691568560139': 'Image 0 of FITTED BUTTONED WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2731/287/800/2/w/448/2731287800_2_1_1.jpg?ts=1691568559351': 'Image 1 of FITTED BUTTONED WAISTCOAT from Zara'}]","₹ 3,290.00",Fitted V-neck sleeveless waistcoat. Adjustable strap at the back with buttons. Asymmetric hem with an opening. Matching lining. Button-up front.
15,TAILORED LINEN BLEND WAISTCOAT,https://www.zara.com/in/en/tailored-linen-blend-waistcoat-p05427731.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5427/731/251/12/w/448/5427731251_1_1_1.jpg?ts=1687354189882': 'Image 0 of TAILORED LINEN BLEND WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5427/731/251/12/w/448/5427731251_2_1_1.jpg?ts=1687354189552': 'Image 1 of TAILORED LINEN BLEND WAISTCOAT from Zara'}]","₹ 2,990.00",Sleeveless waistcoat made of a linen blend with a lapel collar and V-neck. Tied hem in the same fabric.
16,LONG WAISTCOAT WITH BELT,https://www.zara.com/in/en/long-waistcoat-with-belt-p08060640.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8060/640/600/2/w/448/8060640600_1_1_1.jpg?ts=1689862657562': 'Image 0 of LONG WAISTCOAT WITH BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8060/640/600/2/w/448/8060640600_2_1_1.jpg?ts=1689862661032': 'Image 1 of LONG WAISTCOAT WITH BELT from Zara'}]","₹ 4,990.00",Waistcoat with lapel collar and front welt pockets. Front double-breasted fastening with buttons and a matching belt.
20,TEXTURED JACQUARD WAISTCOAT,https://www.zara.com/in/en/textured-jacquard-waistcoat-p05039633.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5039/633/707/22/w/448/5039633707_1_1_1.jpg?ts=1691650583834': 'Image 0 of TEXTURED JACQUARD WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5039/633/707/22/w/448/5039633707_2_1_1.jpg?ts=1691650583916': 'Image 1 of TEXTURED JACQUARD WAISTCOAT from Zara'}]","₹ 1,990.00","Waistcoat with a V-neckline. Featuring textured jacquard fabric, an asymmetric hem and button fastening at the front."
