,Product_Name,Link,Product_Image,Price,Details
0,OVERSIZE TRENCH COAT WITH POCKETS,https://www.zara.com/in/en/oversize-trench-coat-with-pockets-p02731259.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2731/259/711/17/w/448/2731259711_1_1_1.jpg?ts=1692952040464': 'Image 0 of OVERSIZE TRENCH COAT WITH POCKETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2731/259/711/17/w/448/2731259711_2_1_1.jpg?ts=1692952041015': 'Image 1 of OVERSIZE TRENCH COAT WITH POCKETS from Zara'}]","₹ 7,590.00",Collared trench coat made of a cotton blend. Featuring long flared sleeves. Front patch pockets. Back vent at the hem. Button-up front.
1,KNIT SWEATER WITH ZIP,https://www.zara.com/in/en/knit-sweater-with-zip-p05536155.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5536/155/401/2/w/448/5536155401_1_1_1.jpg?ts=1693222806360': 'Image 0 of KNIT SWEATER WITH ZIP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5536/155/401/2/w/448/5536155401_2_1_1.jpg?ts=1693222806482': 'Image 1 of KNIT SWEATER WITH ZIP from Zara'}]","₹ 3,290.00","Sweater made of a viscose blend. Featuring a high neck with metal zip, long sleeves and matching ribbed trims."
2,ZW MARINE STRAIGHT FIT HIGH-WAIST POCKET JEANS,https://www.zara.com/in/en/zw-marine-straight-fit-high-waist-pocket-jeans-p09632250.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/9632/250/407/2/w/448/9632250407_1_1_1.jpg?ts=1691403206118': 'Image 0 of ZW MARINE STRAIGHT FIT HIGH-WAIST POCKET JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9632/250/407/2/w/448/9632250407_2_1_1.jpg?ts=1691403206149': 'Image 1 of ZW MARINE STRAIGHT FIT HIGH-WAIST POCKET JEANS from Zara'}]","₹ 3,290.00",Slim Fit - Relaxed Leg - High WaistZW ZARA WOMAN JEANSHigh-waist jeans with belt loops. Patch pockets on the front and back. Contrast visible topstitching detail. Seamless hems. Front zip fly and button fastening.View more
3,CROSSBODY BAG,https://www.zara.com/in/en/crossbody-bag-p16006210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6006/210/800/2/w/448/6006210800_1_1_1.jpg?ts=1692877244799': 'Image 0 of CROSSBODY BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6006/210/800/2/w/448/6006210800_2_1_1.jpg?ts=1692877244300': 'Image 1 of CROSSBODY BAG from Zara'}]","₹ 2,890.00",Crossbody bag with adjustable strap. Lining. Zip closure.Height x Length x Width 17 x 30 x 11 cm. / 6.6 x 11.8 x 4.3″
4,ZW MARINE STRAIGHT-LEG HIGH-WAIST JEANS,https://www.zara.com/in/en/zw-marine-straight-leg-high-waist-jeans-p08307240.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8307/240/407/2/w/448/8307240407_1_1_1.jpg?ts=1692952113181': 'Image 0 of ZW MARINE STRAIGHT-LEG HIGH-WAIST JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8307/240/407/2/w/448/8307240407_2_1_1.jpg?ts=1692952113134': 'Image 1 of ZW MARINE STRAIGHT-LEG HIGH-WAIST JEANS from Zara'}]","₹ 3,290.00",Slim Fit - Relaxed Leg - High WaistZW ZARA WOMAN JEANSHigh-waist jeans with back patch pockets. Seamless hems. Front zip fly and top button fastening.View more
5,STRIPED COTTON T-SHIRT,https://www.zara.com/in/en/striped-cotton-t-shirt-p00264479.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0264/479/104/2/w/448/0264479104_1_1_1.jpg?ts=1692961337737': 'Image 0 of STRIPED COTTON T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0264/479/104/2/w/448/0264479104_2_1_1.jpg?ts=1692961335030': 'Image 1 of STRIPED COTTON T-SHIRT from Zara'}]","₹ 1,990.00",LOOSE FIT - BOAT NECK - NORMAL LENGTH - LONG SLEEVEST-shirt made of a cotton blend. Boat neck and long sleeves.
6,CASHMERE KNIT SWEATER,https://www.zara.com/in/en/cashmere-knit-sweater-p06771126.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6771/126/200/2/w/448/6771126200_1_1_1.jpg?ts=1692790315045': 'Image 0 of CASHMERE KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6771/126/200/2/w/448/6771126200_2_1_1.jpg?ts=1692790313739': 'Image 1 of CASHMERE KNIT SWEATER from Zara'}]","₹ 11,990.00",Sweater made of a cashmere and wool blend. Round neck and long sleeves. Matching ribbed trims.
7,WOOL BLEND BOXY-FIT KNIT SWEATER,https://www.zara.com/in/en/wool-blend-boxy-fit-knit-sweater-p03039102.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3039/102/527/17/w/448/3039102527_1_1_1.jpg?ts=1692892870664': 'Image 0 of WOOL BLEND BOXY-FIT KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3039/102/527/17/w/448/3039102527_2_1_1.jpg?ts=1692892867500': 'Image 1 of WOOL BLEND BOXY-FIT KNIT SWEATER from Zara'}]","₹ 3,990.00",Knit sweater made of a wool blend. Round neck and long sleeves. Matching ribbed trims.
8,CROPPED KNIT SWEATER,https://www.zara.com/in/en/cropped-knit-sweater-p05536125.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5536/125/809/2/w/448/5536125809_1_1_1.jpg?ts=1693222633500': 'Image 0 of CROPPED KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5536/125/809/2/w/448/5536125809_2_1_1.jpg?ts=1693222633527': 'Image 1 of CROPPED KNIT SWEATER from Zara'}]","₹ 2,990.00",Cropped sweater with a round neck and long sleeves. Matching ribbed trims.
10,OPEN KNIT POLO SWEATER,https://www.zara.com/in/en/open-knit-polo-sweater-p06427117.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6427/117/712/2/w/448/6427117712_1_1_1.jpg?ts=1692869351811': 'Image 0 of OPEN KNIT POLO SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6427/117/712/2/w/448/6427117712_2_1_1.jpg?ts=1692869351537': 'Image 1 of OPEN KNIT POLO SWEATER from Zara'}]","₹ 2,990.00",Polo sweater with a Johnny collar and long sleeves. Ribbed trims.
